n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
991,5564.3328997,3276.3486,32.763485,3.2763486,3.2763486E-03,3276348.5,32763.486,3276.3486,3.2763486,1.1873116E-03,3.445739E-02,3.268385,3268.385,3.268385,3268.3848
981,5508.1842327,3231.8872,32.31887,3.2318873,3.2318872E-03,3231887.3,32318.873,3231.8875,3.2318873,2.3415893E-04,1.5302252E-02,3.229413,3229.413,3.229413,3229.4128
971,5452.0355657,3236.2368,32.362366,3.2362368,3.2362367E-03,3236236.8,32362.367,3236.2368,3.2362368,5.1701944E-03,7.190406E-02,3.204819,3204.8188,3.204819,3204.819
961,5395.8868987,3198.5088,31.985088,3.198509,3.1985089E-03,3198509.0,31985.09,3198.509,3.198509,2.462406E-03,4.9622636E-02,3.186446,3186.446,3.186446,3186.4458
951,5339.7382317,3146.8425,31.468426,3.1468425,3.1468426E-03,3146842.5,31468.424,3146.8425,3.1468425,2.1173822E-04,1.4551228E-02,3.146327,3146.327,3.146327,3146.3271
941,5283.5895647,3114.3662,31.143661,3.1143663,3.1143662E-03,3114366.3,31143.662,3114.3662,3.1143663,2.692978E-04,1.6410295E-02,3.111628,3111.6282,3.111628,3111.6282
931,5227.4408977,3076.8752,30.768753,3.0768754,3.0768753E-03,3076875.5,30768.754,3076.8755,3.0768754,2.8729998E-04,1.6949926E-02,3.073162,3073.162,3.073162,3073.162
921,5171.2922307,3096.762,30.967619,3.096762,3.0967619E-03,3096762.0,30967.62,3096.762,3.096762,3.7828647E-03,6.1504997E-02,3.078933,3078.933,3.078933,3078.933
911,5115.1435637,3030.4463,30.304464,3.0304463,3.0304464E-03,3030446.3,30304.463,3030.4463,3.0304463,1.560408E-03,3.9502002E-02,3.020759,3020.759,3.020759,3020.7593
901,5058.9948967,2974.6472,29.746473,2.9746473,2.9746473E-03,2974647.3,29746.473,2974.6472,2.9746473,4.8690144E-04,2.2065843E-02,2.972077,2972.077,2.972077,2972.077
891,5002.8462297,2950.6614,29.506613,2.9506614,2.9506614E-03,2950661.5,29506.613,2950.6614,2.9506614,3.0889404E-03,5.5578236E-02,2.933441,2933.441,2.933441,2933.441
881,4946.6975627,2899.1902,28.991901,2.8991902,2.8991902E-03,2899190.3,28991.902,2899.1902,2.8991902,1.5533488E-04,1.24633415E-02,2.902451,2902.451,2.902451,2902.451
871,4890.5488957,2872.055,28.720549,2.8720548,2.872055E-03,2872054.8,28720.549,2872.055,2.8720548,2.034011E-04,1.4261875E-02,2.873256,2873.2559,2.873256,2873.2559
