n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 857.32196, 8.573219, 0.857322, 8.5732195e-4, 857322.0, 8573.22, 857.32196, 0.857322, 5.1393075e-5, 7.1688965e-3, 0.85656, 856.56, 0.85656, 856.56
2911, 778.3233, 7.783233, 0.77832335, 7.7832333e-4, 778323.4, 7783.2334, 778.32336, 0.77832335, 3.1904467e-5, 5.648404e-3, 0.777446, 777.446, 0.777446, 777.446
2811, 674.96765, 6.7496767, 0.67496765, 6.7496765e-4, 674967.6, 6749.6763, 674.96765, 0.67496765, 2.4845487e-5, 4.9845246e-3, 0.674341, 674.341, 0.674341, 674.34106
2711, 836.0078, 8.360078, 0.83600783, 8.360078e-4, 836007.8, 8360.078, 836.0078, 0.83600783, 1.05798965e-4, 1.0285863e-2, 0.834505, 834.505, 0.834505, 834.505
2611, 754.7771, 7.547771, 0.75477713, 7.547771e-4, 754777.1, 7547.7715, 754.77716, 0.75477713, 3.8350558e-5, 6.192783e-3, 0.755165, 755.165, 0.755165, 755.165
2511, 754.56244, 7.5456243, 0.75456244, 7.5456244e-4, 754562.44, 7545.6245, 754.56244, 0.75456244, 3.3737288e-5, 5.808381e-3, 0.753451, 753.451, 0.753451, 753.451
2411, 708.4132, 7.0841317, 0.7084132, 7.084132e-4, 708413.2, 7084.132, 708.4132, 0.7084132, 8.069717e-5, 8.98316e-3, 0.70528, 705.28, 0.70528, 705.27997
2311, 619.09845, 6.1909842, 0.6190984, 6.190984e-4, 619098.44, 6190.9844, 619.09845, 0.6190984, 2.6182464e-5, 5.1168804e-3, 0.619374, 619.37396, 0.619374, 619.37396
2211, 616.05634, 6.160563, 0.6160563, 6.160563e-4, 616056.3, 6160.563, 616.05634, 0.6160563, 8.822773e-5, 9.392962e-3, 0.612506, 612.506, 0.612506, 612.5059
2111, 566.36304, 5.6636305, 0.56636304, 5.6636304e-4, 566363.06, 5663.6304, 566.36304, 0.56636304, 3.6303198e-5, 6.0252133e-3, 0.564666, 564.66595, 0.564666, 564.666
2011, 503.75906, 5.037591, 0.5037591, 5.037591e-4, 503759.1, 5037.591, 503.7591, 0.5037591, 2.095462e-5, 4.577622e-3, 0.503148, 503.148, 0.503148, 503.148
1911, 591.8945, 5.918945, 0.5918945, 5.918945e-4, 591894.5, 5918.9453, 591.89453, 0.5918945, 3.2283107e-5, 5.6818225e-3, 0.592587, 592.587, 0.592587, 592.587
1811, 582.03534, 5.8203535, 0.58203536, 5.8203534e-4, 582035.4, 5820.3535, 582.03534, 0.58203536, 4.0667674e-5, 6.377121e-3, 0.580567, 580.567, 0.580567, 580.567
1711, 550.6383, 5.506383, 0.5506383, 5.506383e-4, 550638.3, 5506.3833, 550.6383, 0.5506383, 3.4225388e-5, 5.8502466e-3, 0.549687, 549.687, 0.549687, 549.687
1611, 480.95486, 4.8095484, 0.48095486, 4.8095486e-4, 480954.84, 4809.5483, 480.95486, 0.48095486, 1.7278335e-5, 4.1567218e-3, 0.480034, 480.034, 0.480034, 480.03397
1511, 440.7878, 4.407878, 0.44078782, 4.4078782e-4, 440787.8, 4407.8784, 440.7878, 0.44078782, 3.2227214e-5, 5.676902e-3, 0.440066, 440.066, 0.440066, 440.066
1411, 403.27744, 4.0327744, 0.40327743, 4.0327743e-4, 403277.44, 4032.7742, 403.27744, 0.40327743, 2.3381052e-5, 4.8353956e-3, 0.402392, 402.392, 0.402392, 402.392
1311, 348.48648, 3.4848647, 0.34848648, 3.4848647e-4, 348486.47, 3484.8647, 348.48648, 0.34848648, 3.8265e-5, 6.185871e-3, 0.347428, 347.428, 0.347428, 347.428
