n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 857.32196, 8.573219, 0.857322, 8.5732195e-4, 857322.0, 8573.22, 857.32196, 0.857322, 5.1393075e-5, 7.1688965e-3, 0.85656, 856.56, 0.85656, 856.56
3001, 834.4143, 8.344143, 0.8344143, 8.344143e-4, 834414.3, 8344.143, 834.4143, 0.8344143, 2.539143e-4, 1.5934689e-2, 0.830741, 830.74097, 0.830741, 830.741
2991, 815.13684, 8.151368, 0.81513685, 8.151368e-4, 815136.9, 8151.3687, 815.13684, 0.81513685, 4.8523754e-5, 6.9658994e-3, 0.814471, 814.471, 0.814471, 814.471
2981, 884.4518, 8.844518, 0.8844518, 8.844518e-4, 884451.8, 8844.518, 884.4518, 0.8844518, 3.751392e-5, 6.124861e-3, 0.883672, 883.672, 0.883672, 883.672
2971, 862.276, 8.62276, 0.862276, 8.62276e-4, 862276.0, 8622.76, 862.276, 0.862276, 9.6143725e-5, 9.805291e-3, 0.859005, 859.005, 0.859005, 859.00494
2961, 841.48895, 8.414889, 0.84148896, 8.4148895e-4, 841488.94, 8414.89, 841.48895, 0.84148896, 4.3181593e-5, 6.5712705e-3, 0.840649, 840.649, 0.840649, 840.649
2951, 847.2955, 8.472955, 0.84729546, 8.4729545e-4, 847295.44, 8472.955, 847.2955, 0.84729546, 5.3367006e-5, 7.3052724e-3, 0.847258, 847.258, 0.847258, 847.25793
2941, 815.2615, 8.152615, 0.8152615, 8.152615e-4, 815261.5, 8152.6147, 815.2615, 0.8152615, 5.8439375e-5, 7.644565e-3, 0.814291, 814.291, 0.814291, 814.291
2931, 791.71954, 7.9171953, 0.79171956, 7.9171953e-4, 791719.56, 7917.196, 791.71954, 0.79171956, 7.4663425e-5, 8.6408e-3, 0.78904, 789.04004, 0.78904, 789.04
2921, 787.9842, 7.879842, 0.7879842, 7.879842e-4, 787984.2, 7879.842, 787.9842, 0.7879842, 4.8118596e-5, 6.936757e-3, 0.785506, 785.506, 0.785506, 785.506
2911, 778.3233, 7.783233, 0.77832335, 7.7832333e-4, 778323.4, 7783.2334, 778.32336, 0.77832335, 3.1904467e-5, 5.648404e-3, 0.777446, 777.446, 0.777446, 777.446
2901, 760.29504, 7.60295, 0.76029503, 7.60295e-4, 760295.06, 7602.95, 760.29504, 0.76029503, 4.7734997e-5, 6.909052e-3, 0.759705, 759.705, 0.759705, 759.705
2891, 783.8364, 7.838364, 0.7838364, 7.838364e-4, 783836.44, 7838.3643, 783.8364, 0.7838364, 5.5595898e-5, 7.456266e-3, 0.782875, 782.875, 0.782875, 782.875
2881, 788.8659, 7.888659, 0.7888659, 7.888659e-4, 788865.94, 7888.659, 788.8659, 0.7888659, 9.02958e-5, 9.50241e-3, 0.785746, 785.746, 0.785746, 785.746
2871, 785.3243, 7.8532424, 0.7853243, 7.8532426e-4, 785324.25, 7853.2427, 785.3243, 0.7853243, 5.4940185e-5, 7.4121645e-3, 0.784292, 784.292, 0.784292, 784.292
2861, 780.2257, 7.8022575, 0.78022575, 7.8022573e-4, 780225.75, 7802.2573, 780.22577, 0.78022575, 3.8590588e-5, 6.2121325e-3, 0.779887, 779.887, 0.779887, 779.887
2851, 748.13654, 7.4813657, 0.7481365, 7.4813655e-4, 748136.5, 7481.365, 748.13654, 0.7481365, 8.5066684e-5, 9.22316e-3, 0.746865, 746.865, 0.746865, 746.865
2841, 730.12354, 7.3012357, 0.7301235, 7.3012355e-4, 730123.5, 7301.2354, 730.12354, 0.7301235, 7.196314e-5, 8.483109e-3, 0.727943, 727.943, 0.727943, 727.94305
2831, 731.52515, 7.3152514, 0.7315251, 7.315251e-4, 731525.1, 7315.2515, 731.52515, 0.7315251, 5.1340132e-5, 7.165203e-3, 0.730795, 730.79504, 0.730795, 730.79504
2821, 722.60065, 7.2260065, 0.7226007, 7.226007e-4, 722600.7, 7226.007, 722.6007, 0.7226007, 4.439431e-5, 6.6629057e-3, 0.723294, 723.294, 0.723294, 723.29407
2811, 674.96765, 6.7496767, 0.67496765, 6.7496765e-4, 674967.6, 6749.6763, 674.96765, 0.67496765, 2.4845487e-5, 4.9845246e-3, 0.674341, 674.341, 0.674341, 674.34106
2801, 877.551, 8.775511, 0.877551, 8.7755104e-4, 877551.0, 8775.51, 877.551, 0.877551, 7.421978e-5, 8.6150905e-3, 0.87825, 878.25, 0.87825, 878.25
2791, 864.8167, 8.648167, 0.8648167, 8.648167e-4, 864816.75, 8648.167, 864.8167, 0.8648167, 8.511949e-5, 9.226022e-3, 0.862947, 862.94696, 0.862947, 862.94696
2781, 839.28235, 8.392823, 0.83928233, 8.3928235e-4, 839282.3, 8392.823, 839.28235, 0.83928233, 4.5559565e-5, 6.7497827e-3, 0.838783, 838.783, 0.838783, 838.783
2771, 849.4883, 8.494884, 0.8494883, 8.494883e-4, 849488.3, 8494.883, 849.48834, 0.8494883, 5.3897806e-5, 7.3415125e-3, 0.847662, 847.662, 0.847662, 847.662
2761, 833.5085, 8.335085, 0.8335085, 8.335085e-4, 833508.5, 8335.085, 833.5085, 0.8335085, 2.9866142e-5, 5.4649925e-3, 0.833544, 833.544, 0.833544, 833.544
2751, 826.62506, 8.266251, 0.82662505, 8.2662504e-4, 826625.06, 8266.251, 826.62506, 0.82662505, 6.718745e-5, 8.196795e-3, 0.824947, 824.947, 0.824947, 824.947
2741, 842.1277, 8.421277, 0.8421277, 8.4212766e-4, 842127.7, 8421.276, 842.1277, 0.8421277, 2.8439323e-5, 5.332853e-3, 0.84169, 841.69, 0.84169, 841.69
2731, 811.7, 8.117001, 0.8117, 8.117e-4, 811700.0, 8117.0, 811.7, 0.8117, 2.5630345e-5, 5.062642e-3, 0.811207, 811.207, 0.811207, 811.207
2721, 789.8357, 7.898357, 0.7898357, 7.898357e-4, 789835.7, 7898.357, 789.8357, 0.7898357, 3.4096116e-5, 5.839188e-3, 0.78932, 789.32, 0.78932, 789.32
2711, 836.0078, 8.360078, 0.83600783, 8.360078e-4, 836007.8, 8360.078, 836.0078, 0.83600783, 1.05798965e-4, 1.0285863e-2, 0.834505, 834.505, 0.834505, 834.505
