n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3001, 421.14, 4.2114, 0.42114002, 4.2114002e-4, 210570.0, 2105.7002, 210.57, 0.21057001, 3.212644e-5, 5.6680194e-3, 0.209378, 209.378, 0.418756, 418.756
2901, 336.23648, 3.3623648, 0.33623648, 3.3623647e-4, 168118.23, 1681.1824, 168.11824, 0.16811824, 2.1805872e-5, 4.6696756e-3, 0.166784, 166.784, 0.333568, 333.568
2801, 339.72556, 3.3972554, 0.33972555, 3.3972555e-4, 169862.78, 1698.6278, 169.86278, 0.16986278, 4.909756e-5, 7.006965e-3, 0.168267, 168.267, 0.336534, 336.534
2701, 345.2403, 3.4524028, 0.3452403, 3.452403e-4, 172620.14, 1726.2014, 172.62015, 0.17262015, 2.1329273e-5, 4.6183625e-3, 0.171292, 171.292, 0.342584, 342.584
2601, 262.00012, 2.6200013, 0.26200014, 2.6200013e-4, 131000.07, 1310.0007, 131.00008, 0.13100007, 1.6838301e-5, 4.10345e-3, 0.129887, 129.887, 0.259774, 259.77402
2501, 263.99228, 2.6399229, 0.26399228, 2.639923e-4, 131996.14, 1319.9614, 131.99614, 0.13199614, 1.4529903e-5, 3.8118109e-3, 0.131422, 131.422, 0.262844, 262.844
2401, 266.32278, 2.6632278, 0.2663228, 2.6632278e-4, 133161.39, 1331.614, 133.16139, 0.1331614, 2.6645555e-5, 5.161933e-3, 0.131339, 131.339, 0.262678, 262.67798
2301, 255.7475, 2.5574749, 0.2557475, 2.557475e-4, 127873.75, 1278.7374, 127.87375, 0.12787375, 1.8202405e-5, 4.266428e-3, 0.126542, 126.542, 0.253084, 253.084
2201, 260.33957, 2.6033955, 0.26033956, 2.6033956e-4, 130169.78, 1301.6978, 130.16978, 0.13016978, 2.0786016e-5, 4.559168e-3, 0.129029, 129.029, 0.258058, 258.058
2101, 256.8486, 2.568486, 0.2568486, 2.568486e-4, 128424.305, 1284.243, 128.4243, 0.1284243, 1.8657309e-5, 4.319411e-3, 0.127159, 127.159, 0.254318, 254.31801
2001, 192.35023, 1.9235024, 0.19235024, 1.9235024e-4, 96175.12, 961.7512, 96.17512, 9.617512e-2, 2.344514e-5, 4.8420182e-3, 9.4393e-2, 94.393, 0.188786, 188.786
1901, 186.24434, 1.8624434, 0.18624434, 1.8624435e-4, 93122.17, 931.2217, 93.12217, 9.312217e-2, 2.349916e-5, 4.847593e-3, 9.1772e-2, 91.771996, 0.183544, 183.54399
1801, 188.53084, 1.8853085, 0.18853085, 1.8853084e-4, 94265.42, 942.65424, 94.26543, 9.426542e-2, 1.4384698e-5, 3.7927164e-3, 9.288e-2, 92.880005, 0.18576, 185.76
1701, 129.20192, 1.2920191, 0.12920192, 1.2920192e-4, 64600.96, 646.0096, 64.60096, 6.460096e-2, 2.6228065e-6, 1.6195081e-3, 6.4669e-2, 64.669, 0.129338, 129.338
1601, 133.14848, 1.3314848, 0.13314848, 1.3314848e-4, 66574.234, 665.7424, 66.57424, 6.657424e-2, 1.42426015e-5, 3.7739372e-3, 6.5524e-2, 65.523994, 0.131048, 131.048
1501, 130.54419, 1.3054419, 0.13054419, 1.3054418e-4, 65272.094, 652.72095, 65.272095, 6.527209e-2, 6.3393554e-6, 2.5178078e-3, 6.472e-2, 64.71999, 0.12944, 129.44
1401, 168.03052, 1.6803051, 0.16803052, 1.6803051e-4, 84015.26, 840.1526, 84.01526, 8.401526e-2, 9.528683e-6, 3.0868566e-3, 8.3098e-2, 83.098, 0.166196, 166.196
1301, 180.6422, 1.8064219, 0.18064219, 1.806422e-4, 90321.09, 903.21094, 90.32109, 9.0321094e-2, 1.0224666e-4, 1.0111709e-2, 8.6375e-2, 86.375, 0.17275, 172.74998
1201, 177.7158, 1.777158, 0.17771581, 1.777158e-4, 88857.91, 888.57904, 88.8579, 8.8857904e-2, 2.0724743e-5, 4.5524435e-3, 8.7319e-2, 87.319, 0.174638, 174.638
1101, 95.35561, 0.9535562, 9.5355615e-2, 9.5355615e-5, 47677.81, 476.77808, 47.677807, 4.7677808e-2, 1.8777715e-5, 4.333326e-3, 4.6831e-2, 46.831, 9.3662e-2, 93.661995
1001, 92.12747, 0.9212747, 9.212747e-2, 9.212747e-5, 46063.734, 460.63736, 46.063736, 4.6063736e-2, 3.193394e-6, 1.787007e-3, 4.582e-2, 45.82, 9.164e-2, 91.64
901, 94.7048, 0.947048, 9.47048e-2, 9.47048e-5, 47352.4, 473.524, 47.352398, 4.73524e-2, 1.0984962e-5, 3.3143568e-3, 4.6533e-2, 46.533, 9.3066e-2, 93.066
801, 28.050928, 0.2805093, 2.805093e-2, 2.8050928e-5, 14025.465, 140.25465, 14.025465, 1.4025465e-2, 1.2789353e-7, 3.5762205e-4, 1.4017e-2, 14.017, 2.8034e-2, 28.033998
