n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 428.20547, 4.282055, 0.42820546, 4.2820547e-4, 214102.73, 2141.0273, 214.10274, 0.21410273, 1.945001e-5, 4.4102166e-3, 0.214044, 214.044, 0.428088, 428.088
3001, 421.14, 4.2114, 0.42114002, 4.2114002e-4, 210570.0, 2105.7002, 210.57, 0.21057001, 3.212644e-5, 5.6680194e-3, 0.209378, 209.378, 0.418756, 418.756
2991, 337.14343, 3.3714342, 0.33714342, 3.3714343e-4, 168571.7, 1685.7172, 168.57172, 0.16857171, 1.9043022e-5, 4.363831e-3, 0.167476, 167.476, 0.334952, 334.952
2981, 351.17252, 3.5117252, 0.35117254, 3.5117252e-4, 175586.27, 1755.8627, 175.58627, 0.17558627, 1.871949e-5, 4.3266024e-3, 0.174424, 174.424, 0.348848, 348.848
2971, 342.19394, 3.4219394, 0.34219393, 3.4219393e-4, 171096.97, 1710.9696, 171.09697, 0.17109697, 1.5198413e-5, 3.8985142e-3, 0.169637, 169.637, 0.339274, 339.27402
2961, 334.87714, 3.3487713, 0.33487713, 3.3487714e-4, 167438.56, 1674.3856, 167.43857, 0.16743857, 1.5557196e-5, 3.944261e-3, 0.166373, 166.373, 0.332746, 332.74597
2951, 335.61133, 3.3561132, 0.3356113, 3.3561132e-4, 167805.66, 1678.0565, 167.80566, 0.16780566, 1.7015982e-5, 4.1250433e-3, 0.166671, 166.67099, 0.333342, 333.34198
2941, 342.42154, 3.4242153, 0.34242153, 3.4242152e-4, 171210.77, 1712.1077, 171.21077, 0.17121077, 1.1824732e-4, 1.0874159e-2, 0.166329, 166.329, 0.332658, 332.658
2931, 341.2438, 3.4124382, 0.3412438, 3.412438e-4, 170621.9, 1706.219, 170.6219, 0.1706219, 2.5064432e-5, 5.006439e-3, 0.16989, 169.89, 0.33978, 339.78
2921, 343.28082, 3.4328082, 0.34328082, 3.4328082e-4, 171640.4, 1716.404, 171.64041, 0.17164041, 1.8388644e-5, 4.2881984e-3, 0.170269, 170.269, 0.340538, 340.538
2911, 340.42026, 3.4042025, 0.34042025, 3.4042026e-4, 170210.13, 1702.1012, 170.21013, 0.17021012, 2.1501712e-5, 4.6369936e-3, 0.169259, 169.259, 0.338518, 338.518
2901, 336.23648, 3.3623648, 0.33623648, 3.3623647e-4, 168118.23, 1681.1824, 168.11824, 0.16811824, 2.1805872e-5, 4.6696756e-3, 0.166784, 166.784, 0.333568, 333.568
2891, 330.95566, 3.3095567, 0.33095565, 3.3095566e-4, 165477.83, 1654.7783, 165.47783, 0.16547783, 1.8799275e-5, 4.335813e-3, 0.164992, 164.992, 0.329984, 329.984
2881, 353.68866, 3.5368867, 0.35368866, 3.5368867e-4, 176844.33, 1768.4432, 176.84433, 0.17684433, 2.8673874e-5, 5.3547993e-3, 0.175941, 175.94101, 0.351882, 351.88202
2871, 348.46194, 3.4846194, 0.34846193, 3.4846194e-4, 174230.97, 1742.3096, 174.23096, 0.17423096, 3.1448708e-5, 5.6079146e-3, 0.173583, 173.58301, 0.347166, 347.16602
2861, 349.33847, 3.4933846, 0.34933847, 3.4933846e-4, 174669.23, 1746.6924, 174.66924, 0.17466924, 3.7845297e-5, 6.151853e-3, 0.172866, 172.866, 0.345732, 345.732
2851, 345.31107, 3.4531107, 0.34531108, 3.4531107e-4, 172655.53, 1726.5554, 172.65553, 0.17265554, 2.4887693e-5, 4.9887565e-3, 0.171529, 171.52899, 0.343058, 343.05798
2841, 343.91678, 3.439168, 0.3439168, 3.439168e-4, 171958.4, 1719.584, 171.9584, 0.1719584, 2.0449772e-5, 4.5221425e-3, 0.171672, 171.672, 0.343344, 343.344
2831, 348.38647, 3.4838648, 0.34838647, 3.4838647e-4, 174193.23, 1741.9324, 174.19324, 0.17419323, 1.7845023e-5, 4.224337e-3, 0.173825, 173.825, 0.34765, 347.65
2821, 345.41522, 3.4541523, 0.34541523, 3.4541523e-4, 172707.63, 1727.0762, 172.70761, 0.17270762, 6.572576e-5, 8.1071425e-3, 0.170611, 170.611, 0.341222, 341.222
2811, 340.38153, 3.4038153, 0.34038153, 3.4038152e-4, 170190.77, 1701.9077, 170.19077, 0.17019077, 3.4930443e-5, 5.910198e-3, 0.16931, 169.31, 0.33862, 338.62003
2801, 339.72556, 3.3972554, 0.33972555, 3.3972555e-4, 169862.78, 1698.6278, 169.86278, 0.16986278, 4.909756e-5, 7.006965e-3, 0.168267, 168.267, 0.336534, 336.534
2791, 330.82532, 3.308253, 0.3308253, 3.308253e-4, 165412.66, 1654.1265, 165.41264, 0.16541265, 2.0583993e-5, 4.5369584e-3, 0.164452, 164.452, 0.328904, 328.904
2781, 340.5095, 3.4050949, 0.3405095, 3.405095e-4, 170254.75, 1702.5475, 170.25475, 0.17025475, 2.500629e-5, 5.000629e-3, 0.169588, 169.588, 0.339176, 339.17603
2771, 346.40582, 3.4640582, 0.3464058, 3.464058e-4, 173202.9, 1732.029, 173.2029, 0.1732029, 1.5026288e-5, 3.8763755e-3, 0.1726, 172.6, 0.3452, 345.2
2761, 336.2015, 3.362015, 0.33620152, 3.362015e-4, 168100.77, 1681.0076, 168.10075, 0.16810076, 2.2115773e-5, 4.7027413e-3, 0.167438, 167.438, 0.334876, 334.876
2751, 344.5596, 3.445596, 0.3445596, 3.445596e-4, 172279.81, 1722.7981, 172.2798, 0.1722798, 4.3033193e-5, 6.559969e-3, 0.170216, 170.21599, 0.340432, 340.43198
2741, 352.6277, 3.5262768, 0.3526277, 3.5262769e-4, 176313.84, 1763.1384, 176.31384, 0.17631385, 2.9753655e-5, 5.454691e-3, 0.175419, 175.419, 0.350838, 350.838
2731, 353.16736, 3.5316737, 0.35316736, 3.5316736e-4, 176583.67, 1765.8368, 176.58368, 0.17658368, 2.8561588e-5, 5.3443043e-3, 0.174555, 174.55501, 0.34911, 349.11002
2721, 341.13065, 3.4113066, 0.34113064, 3.4113065e-4, 170565.33, 1705.6532, 170.56532, 0.17056532, 3.252894e-5, 5.703415e-3, 0.170497, 170.497, 0.340994, 340.99402
2711, 352.43262, 3.524326, 0.3524326, 3.524326e-4, 176216.3, 1762.1631, 176.21631, 0.1762163, 2.2057347e-5, 4.696525e-3, 0.175003, 175.003, 0.350006, 350.006
2701, 345.2403, 3.4524028, 0.3452403, 3.452403e-4, 172620.14, 1726.2014, 172.62015, 0.17262015, 2.1329273e-5, 4.6183625e-3, 0.171292, 171.292, 0.342584, 342.584
2691, 261.14713, 2.6114712, 0.26114714, 2.6114713e-4, 130573.57, 1305.7357, 130.57358, 0.13057357, 1.4328458e-5, 3.785295e-3, 0.129109, 129.109, 0.258218, 258.218
2681, 255.70561, 2.5570562, 0.25570562, 2.557056e-4, 127852.81, 1278.5281, 127.85281, 0.12785281, 1.35605815e-5, 3.6824695e-3, 0.126746, 126.746, 0.253492, 253.492
2671, 256.31906, 2.5631907, 0.25631908, 2.5631906e-4, 128159.54, 1281.5953, 128.15953, 0.12815954, 1.7943541e-5, 4.2359815e-3, 0.127364, 127.364, 0.254728, 254.72798
2661, 263.44174, 2.6344173, 0.26344174, 2.6344173e-4, 131720.88, 1317.2087, 131.72087, 0.13172087, 2.0050511e-5, 4.47778e-3, 0.130807, 130.80699, 0.261614, 261.61398
2651, 263.70993, 2.6370993, 0.26370993, 2.6370992e-4, 131854.97, 1318.5497, 131.85497, 0.13185497, 1.6878437e-5, 4.1083377e-3, 0.130615, 130.61499, 0.26123, 261.22998
2641, 262.7315, 2.627315, 0.26273152, 2.627315e-4, 131365.77, 1313.6576, 131.36577, 0.13136576, 1.8683024e-5, 4.3223863e-3, 0.12975, 129.75, 0.2595, 259.5
2631, 260.95932, 2.6095932, 0.26095933, 2.6095932e-4, 130479.664, 1304.7966, 130.47966, 0.13047966, 2.9392804e-5, 5.421513e-3, 0.128722, 128.722, 0.257444, 257.444
2621, 265.23868, 2.652387, 0.2652387, 2.652387e-4, 132619.34, 1326.1935, 132.61935, 0.13261935, 2.7581027e-5, 5.2517643e-3, 0.131886, 131.886, 0.263772, 263.772
2611, 266.05618, 2.6605618, 0.26605618, 2.660562e-4, 133028.1, 1330.2809, 133.02809, 0.13302809, 1.2560234e-5, 3.544042e-3, 0.132327, 132.32701, 0.264654, 264.65402
2601, 262.00012, 2.6200013, 0.26200014, 2.6200013e-4, 131000.07, 1310.0007, 131.00008, 0.13100007, 1.6838301e-5, 4.10345e-3, 0.129887, 129.887, 0.259774, 259.77402
2591, 268.56528, 2.685653, 0.2685653, 2.685653e-4, 134282.66, 1342.8265, 134.28265, 0.13428265, 1.6720682e-5, 4.089093e-3, 0.133728, 133.728, 0.267456, 267.456
2581, 262.2147, 2.6221468, 0.2622147, 2.622147e-4, 131107.34, 1311.0735, 131.10735, 0.13110735, 1.445056e-5, 3.8013894e-3, 0.13082, 130.82, 0.26164, 261.64
2571, 262.7631, 2.627631, 0.26276308, 2.627631e-4, 131381.55, 1313.8154, 131.38155, 0.13138154, 1.3409361e-5, 3.6618793e-3, 0.130854, 130.85399, 0.261708, 261.70798
2561, 273.43137, 2.7343135, 0.27343136, 2.7343136e-4, 136715.69, 1367.1569, 136.71568, 0.13671568, 3.3613218e-5, 5.7976907e-3, 0.135763, 135.763, 0.271526, 271.52603
