n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 836.4424, 8.364424, 0.8364424, 8.364424e-4, 418221.22, 4182.212, 418.2212, 0.4182212, 7.604262e-5, 8.7202415e-3, 0.416171, 416.17102, 0.832342, 832.34204
2911, 792.6733, 7.9267325, 0.7926733, 7.9267327e-4, 396336.66, 3963.3665, 396.33664, 0.39633664, 4.488402e-5, 6.6995537e-3, 0.395071, 395.071, 0.790142, 790.14197
2811, 704.8546, 7.0485463, 0.7048546, 7.048546e-4, 352427.3, 3524.273, 352.4273, 0.3524273, 4.0633768e-5, 6.374462e-3, 0.351718, 351.71802, 0.703436, 703.43604
2711, 874.54065, 8.745406, 0.8745406, 8.7454065e-4, 437270.3, 4372.703, 437.27032, 0.4372703, 6.6443994e-5, 8.151319e-3, 0.436517, 436.517, 0.873034, 873.034
2611, 780.6625, 7.8066244, 0.7806625, 7.8066246e-4, 390331.25, 3903.3125, 390.33124, 0.39033124, 3.686859e-5, 6.0719512e-3, 0.390042, 390.042, 0.780084, 780.084
2511, 711.7825, 7.117825, 0.7117825, 7.117825e-4, 355891.25, 3558.9126, 355.89127, 0.35589126, 6.610186e-5, 8.1303045e-3, 0.354152, 354.152, 0.708304, 708.304
2411, 710.0973, 7.100973, 0.7100973, 7.100973e-4, 355048.66, 3550.4866, 355.04865, 0.35504866, 3.4826528e-5, 5.9014005e-3, 0.353577, 353.577, 0.707154, 707.154
2311, 618.7185, 6.1871853, 0.6187185, 6.187185e-4, 309359.25, 3093.5925, 309.35925, 0.30935925, 4.3739357e-5, 6.6135735e-3, 0.307757, 307.757, 0.615514, 615.514
2211, 617.3101, 6.173101, 0.6173101, 6.173101e-4, 308655.06, 3086.5505, 308.65506, 0.30865505, 2.1898806e-4, 1.4798245e-2, 0.303832, 303.832, 0.607664, 607.664
2111, 573.28186, 5.7328186, 0.5732818, 5.7328184e-4, 286640.9, 2866.4092, 286.6409, 0.2866409, 3.034638e-5, 5.508755e-3, 0.285443, 285.443, 0.570886, 570.886
2011, 502.0951, 5.020951, 0.5020951, 5.020951e-4, 251047.55, 2510.4756, 251.04755, 0.25104755, 3.5297307e-5, 5.9411535e-3, 0.249749, 249.74901, 0.49949798, 499.498
1911, 602.8107, 6.028107, 0.6028107, 6.028107e-4, 301405.34, 3014.0535, 301.40533, 0.30140534, 3.2777723e-5, 5.725183e-3, 0.299948, 299.948, 0.599896, 599.896
1811, 610.2323, 6.102323, 0.6102323, 6.102323e-4, 305116.16, 3051.1614, 305.11615, 0.30511615, 3.3640103e-5, 5.800009e-3, 0.30338, 303.38, 0.60676, 606.76
1711, 565.1005, 5.6510053, 0.5651005, 5.651005e-4, 282550.25, 2825.5024, 282.55023, 0.28255025, 3.099283e-5, 5.5671204e-3, 0.281521, 281.521, 0.563042, 563.042
1611, 510.79242, 5.1079245, 0.51079243, 5.107924e-4, 255396.22, 2553.9622, 255.39621, 0.25539622, 3.0226152e-5, 5.4978314e-3, 0.25396, 253.96, 0.50792, 507.92004
1511, 457.03647, 4.5703645, 0.45703647, 4.5703645e-4, 228518.23, 2285.1824, 228.51823, 0.22851823, 2.8192397e-5, 5.309651e-3, 0.227505, 227.505, 0.45501, 455.00998
1411, 401.65427, 4.0165424, 0.40165424, 4.0165425e-4, 200827.13, 2008.2712, 200.82712, 0.20082712, 3.594147e-5, 5.9951204e-3, 0.198861, 198.86101, 0.397722, 397.72202
1311, 367.30563, 3.6730561, 0.3673056, 3.6730562e-4, 183652.8, 1836.5281, 183.6528, 0.1836528, 1.770902e-5, 4.2082085e-3, 0.182525, 182.525, 0.36505, 365.05
1211, 324.94965, 3.2494965, 0.32494965, 3.2494965e-4, 162474.83, 1624.7483, 162.47482, 0.16247483, 1.42284935e-5, 3.7720676e-3, 0.161727, 161.72699, 0.323454, 323.454
1111, 293.9125, 2.939125, 0.2939125, 2.939125e-4, 146956.25, 1469.5625, 146.95625, 0.14695625, 1.0829299e-5, 3.29079e-3, 0.146349, 146.349, 0.292698, 292.698
1011, 244.00726, 2.4400725, 0.24400726, 2.4400726e-4, 122003.63, 1220.0363, 122.00363, 0.12200363, 1.2877062e-5, 3.5884622e-3, 0.120912, 120.912, 0.241824, 241.824
911, 262.70038, 2.6270037, 0.26270038, 2.6270037e-4, 131350.19, 1313.502, 131.35019, 0.13135019, 1.3605537e-5, 3.6885685e-3, 0.130338, 130.338, 0.260676, 260.676
811, 221.14894, 2.2114894, 0.22114894, 2.2114893e-4, 110574.47, 1105.7446, 110.57447, 0.11057447, 1.0486805e-5, 3.2383336e-3, 0.110355, 110.354996, 0.22071, 220.70999
711, 182.09282, 1.8209281, 0.18209282, 1.8209282e-4, 91046.41, 910.46405, 91.04641, 9.104641e-2, 1.21718804e-4, 1.1032624e-2, 8.7718e-2, 87.718, 0.175436, 175.436
611, 178.6364, 1.786364, 0.1786364, 1.786364e-4, 89318.2, 893.182, 89.3182, 8.93182e-2, 2.1606065e-5, 4.6482324e-3, 8.8733e-2, 88.733, 0.177466, 177.466
511, 132.08492, 1.3208491, 0.1320849, 1.3208491e-4, 66042.45, 660.42456, 66.04245, 6.604245e-2, 1.07449505e-5, 3.277949e-3, 6.5059e-2, 65.059, 0.130118, 130.118
411, 94.17488, 0.9417488, 9.417488e-2, 9.417488e-5, 47087.438, 470.8744, 47.087437, 4.708744e-2, 7.0730025e-6, 2.6595118e-3, 4.645e-2, 46.45, 9.29e-2, 92.9
311, 65.822136, 0.6582213, 6.582213e-2, 6.582213e-5, 32911.066, 329.11066, 32.911064, 3.2911066e-2, 6.475369e-6, 2.5446746e-3, 3.2345e-2, 32.345, 6.469e-2, 64.69
211, 38.72167, 0.3872167, 3.872167e-2, 3.8721668e-5, 19360.834, 193.60835, 19.360834, 1.9360835e-2, 2.4547983e-6, 1.5667796e-3, 1.9472e-2, 19.472, 3.8944e-2, 38.944
111, 14.519866, 0.14519866, 1.4519867e-2, 1.4519866e-5, 7259.933, 72.599335, 7.2599335, 7.2599333e-3, 7.2468524e-8, 2.6919978e-4, 7.185e-3, 7.185, 1.437e-2, 14.37
11, 1.4374666, 1.4374666e-2, 1.4374666e-3, 1.4374666e-6, 718.7333, 7.187333, 0.7187333, 7.187333e-4, 2.0814328e-8, 1.4427172e-4, 6.55e-4, 0.655, 1.31e-3, 1.3100001
