n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3001, 408.37485, 4.0837483, 0.40837485, 4.0837485e-4, 408374.84, 4083.7485, 408.37485, 0.40837485, 6.349324e-5, 7.968265e-3, 0.407499, 407.499, 0.407499, 407.499
2901, 343.65356, 3.4365358, 0.3436536, 3.4365358e-4, 343653.6, 3436.536, 343.6536, 0.3436536, 6.6863984e-5, 8.17704e-3, 0.341553, 341.553, 0.341553, 341.553
2801, 334.58298, 3.34583, 0.33458298, 3.34583e-4, 334583.0, 3345.8298, 334.58298, 0.33458298, 3.277182e-5, 5.7246676e-3, 0.333293, 333.293, 0.333293, 333.293
2701, 341.0636, 3.410636, 0.3410636, 3.410636e-4, 341063.6, 3410.636, 341.0636, 0.3410636, 4.4492135e-5, 6.6702426e-3, 0.34023, 340.22998, 0.34023, 340.22998
2601, 254.92162, 2.5492163, 0.25492162, 2.5492162e-4, 254921.61, 2549.216, 254.92162, 0.25492162, 2.6725042e-5, 5.169627e-3, 0.253583, 253.58301, 0.253583, 253.58301
2501, 263.86896, 2.6386895, 0.26386896, 2.6386895e-4, 263868.97, 2638.6897, 263.86896, 0.26386896, 8.257069e-5, 9.086842e-3, 0.261358, 261.358, 0.261358, 261.35797
2401, 268.3149, 2.683149, 0.2683149, 2.683149e-4, 268314.9, 2683.149, 268.3149, 0.2683149, 4.2306863e-5, 6.5043727e-3, 0.266217, 266.21698, 0.266217, 266.21698
2301, 251.66125, 2.5166125, 0.25166127, 2.5166126e-4, 251661.27, 2516.6128, 251.66127, 0.25166127, 3.6964102e-5, 6.079811e-3, 0.250772, 250.772, 0.250772, 250.77199
2201, 254.79684, 2.5479684, 0.25479683, 2.5479685e-4, 254796.83, 2547.9683, 254.79683, 0.25479683, 2.551829e-5, 5.051563e-3, 0.253822, 253.822, 0.253822, 253.82199
2101, 256.08365, 2.5608366, 0.25608364, 2.5608364e-4, 256083.64, 2560.8364, 256.08365, 0.25608364, 4.150529e-5, 6.4424598e-3, 0.254175, 254.175, 0.254175, 254.17502
2001, 183.38017, 1.8338016, 0.18338017, 1.8338017e-4, 183380.17, 1833.8018, 183.38017, 0.18338017, 2.6507032e-5, 5.148498e-3, 0.182577, 182.577, 0.182577, 182.577
1901, 181.75671, 1.8175671, 0.1817567, 1.8175671e-4, 181756.7, 1817.567, 181.7567, 0.1817567, 1.8195973e-5, 4.265674e-3, 0.180918, 180.918, 0.180918, 180.918
1801, 187.08818, 1.8708818, 0.18708818, 1.8708818e-4, 187088.17, 1870.8817, 187.08818, 0.18708818, 3.766923e-5, 6.137526e-3, 0.185392, 185.39201, 0.185392, 185.39201
1701, 124.98704, 1.2498704, 0.12498704, 1.2498704e-4, 124987.04, 1249.8704, 124.98704, 0.124987036, 1.548377e-5, 3.934942e-3, 0.12401, 124.009995, 0.12401, 124.009995
1601, 131.08426, 1.3108426, 0.13108426, 1.3108426e-4, 131084.27, 1310.8427, 131.08426, 0.13108426, 2.0161435e-5, 4.4901487e-3, 0.129383, 129.383, 0.129383, 129.383
1501, 129.94197, 1.2994196, 0.12994197, 1.2994197e-4, 129941.97, 1299.4197, 129.94197, 0.12994197, 2.5930443e-5, 5.0921943e-3, 0.127669, 127.66901, 0.127669, 127.669
1401, 166.2455, 1.6624551, 0.1662455, 1.662455e-4, 166245.5, 1662.4551, 166.2455, 0.1662455, 2.0746571e-5, 4.5548403e-3, 0.16487, 164.87, 0.16487, 164.87
1301, 171.83304, 1.7183303, 0.17183304, 1.7183303e-4, 171833.03, 1718.3303, 171.83304, 0.17183304, 3.455728e-5, 5.878544e-3, 0.170994, 170.994, 0.170994, 170.994
1201, 170.82455, 1.7082455, 0.17082456, 1.7082455e-4, 170824.56, 1708.2456, 170.82455, 0.17082456, 2.1400998e-5, 4.6261214e-3, 0.16939, 169.39, 0.16939, 169.39
1101, 92.08226, 0.92082256, 9.2082255e-2, 9.208226e-5, 92082.26, 920.8226, 92.08225, 9.2082255e-2, 1.6229002e-5, 4.0285233e-3, 9.1344e-2, 91.344, 9.1344e-2, 91.344
1001, 93.31011, 0.9331011, 9.331011e-2, 9.331011e-5, 93310.11, 933.1011, 93.31011, 9.331011e-2, 1.5232538e-5, 3.9028884e-3, 9.2022e-2, 92.022, 9.2022e-2, 92.022
901, 95.67937, 0.95679367, 9.5679365e-2, 9.567937e-5, 95679.37, 956.79364, 95.67937, 9.5679365e-2, 2.7583908e-5, 5.2520386e-3, 9.3571e-2, 93.571, 9.3571e-2, 93.571
801, 29.229698, 0.29229698, 2.9229699e-2, 2.9229699e-5, 29229.7, 292.297, 29.229698, 2.9229699e-2, 7.94269e-6, 2.8182778e-3, 2.8197e-2, 28.197, 2.8197e-2, 28.197
701, 29.554361, 0.2955436, 2.9554361e-2, 2.9554361e-5, 29554.361, 295.5436, 29.554361, 2.9554361e-2, 3.7344319e-6, 1.9324678e-3, 2.9452e-2, 29.452, 2.9452e-2, 29.452
601, 28.816399, 0.288164, 2.88164e-2, 2.88164e-5, 28816.4, 288.164, 28.8164, 2.88164e-2, 5.1539837e-6, 2.2702387e-3, 2.8181e-2, 28.181, 2.8181e-2, 28.181
501, 1.6052002, 1.6052002e-2, 1.6052001e-3, 1.6052002e-6, 1605.2001, 16.052002, 1.6052002, 1.6052001e-3, 2.4308486e-7, 4.9303635e-4, 1.522e-3, 1.522, 1.522e-3, 1.522
401, 1.5634334, 1.5634334e-2, 1.5634334e-3, 1.5634334e-6, 1563.4335, 15.634335, 1.5634334, 1.5634334e-3, 2.015545e-7, 4.489482e-4, 1.454e-3, 1.454, 1.454e-3, 1.454
301, 1.6674664, 1.6674664e-2, 1.6674665e-3, 1.6674664e-6, 1667.4664, 16.674665, 1.6674665, 1.6674665e-3, 1.4834644e-7, 3.8515768e-4, 1.533e-3, 1.533, 1.533e-3, 1.533
