n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 416.73938, 4.1673937, 0.41673937, 4.1673938e-4, 416739.38, 4167.3936, 416.73938, 0.41673937, 5.8112844e-5, 7.623178e-3, 0.414316, 414.316, 0.414316, 414.31598
3001, 408.37485, 4.0837483, 0.40837485, 4.0837485e-4, 408374.84, 4083.7485, 408.37485, 0.40837485, 6.349324e-5, 7.968265e-3, 0.407499, 407.499, 0.407499, 407.499
2991, 334.6544, 3.3465438, 0.3346544, 3.3465438e-4, 334654.4, 3346.544, 334.6544, 0.3346544, 4.7737674e-5, 6.9092456e-3, 0.333117, 333.117, 0.333117, 333.117
2981, 343.6093, 3.436093, 0.3436093, 3.436093e-4, 343609.3, 3436.093, 343.6093, 0.3436093, 6.156196e-5, 7.846143e-3, 0.342881, 342.88098, 0.342881, 342.88098
2971, 342.98077, 3.429808, 0.34298077, 3.4298078e-4, 342980.78, 3429.8076, 342.98077, 0.34298077, 4.5353096e-5, 6.734471e-3, 0.341197, 341.19702, 0.341197, 341.19702
2961, 336.97925, 3.3697925, 0.33697924, 3.3697925e-4, 336979.25, 3369.7925, 336.97925, 0.33697924, 3.0414605e-5, 5.514944e-3, 0.335957, 335.957, 0.335957, 335.95697
2951, 331.59442, 3.3159444, 0.33159444, 3.3159443e-4, 331594.44, 3315.9443, 331.59445, 0.33159444, 3.9995815e-5, 6.3242246e-3, 0.330168, 330.168, 0.330168, 330.168
2941, 335.31827, 3.3531828, 0.33531827, 3.3531827e-4, 335318.28, 3353.1826, 335.31827, 0.33531827, 4.097038e-5, 6.400811e-3, 0.333767, 333.767, 0.333767, 333.767
2931, 342.92886, 3.4292886, 0.34292886, 3.4292886e-4, 342928.84, 3429.2886, 342.92886, 0.34292886, 5.020166e-5, 7.085313e-3, 0.341514, 341.51398, 0.341514, 341.51398
2921, 345.4169, 3.4541688, 0.3454169, 3.454169e-4, 345416.9, 3454.169, 345.4169, 0.3454169, 5.043842e-5, 7.102001e-3, 0.343539, 343.539, 0.343539, 343.539
2911, 340.31287, 3.4031286, 0.34031287, 3.4031286e-4, 340312.88, 3403.1287, 340.31287, 0.34031287, 3.647186e-5, 6.039194e-3, 0.339821, 339.821, 0.339821, 339.821
