n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 421.299, 4.2129903, 0.421299, 4.2129902e-4, 210649.5, 2106.495, 210.6495, 0.2106495, 3.345473e-5, 5.7840063e-3, 0.209272, 209.272, 0.418544, 418.54398
3001, 405.58017, 4.0558014, 0.40558016, 4.0558015e-4, 202790.08, 2027.9008, 202.79008, 0.20279008, 2.075299e-5, 4.555545e-3, 0.201683, 201.683, 0.403366, 403.366
2991, 342.78815, 3.4278815, 0.34278816, 3.4278815e-4, 171394.08, 1713.9408, 171.39407, 0.17139408, 2.317617e-5, 4.8141633e-3, 0.170094, 170.094, 0.340188, 340.18802
2981, 352.36185, 3.5236185, 0.35236186, 3.5236185e-4, 176180.92, 1761.8093, 176.18092, 0.17618093, 1.7024675e-5, 4.1260966e-3, 0.175335, 175.335, 0.35067, 350.67
2971, 349.0724, 3.4907238, 0.3490724, 3.490724e-4, 174536.2, 1745.3619, 174.5362, 0.1745362, 2.8714268e-5, 5.35857e-3, 0.173208, 173.208, 0.346416, 346.416
2961, 348.52817, 3.4852817, 0.34852818, 3.4852818e-4, 174264.1, 1742.6409, 174.26408, 0.17426409, 2.2005122e-5, 4.690962e-3, 0.173473, 173.473, 0.346946, 346.946
2951, 343.86322, 3.438632, 0.34386322, 3.438632e-4, 171931.61, 1719.316, 171.93161, 0.17193161, 2.6049707e-5, 5.1038912e-3, 0.170554, 170.554, 0.341108, 341.10797
2941, 352.809, 3.52809, 0.352809, 3.52809e-4, 176404.5, 1764.045, 176.40451, 0.1764045, 2.0035672e-5, 4.4761226e-3, 0.176339, 176.339, 0.352678, 352.678
2931, 339.4655, 3.394655, 0.3394655, 3.394655e-4, 169732.75, 1697.3275, 169.73274, 0.16973275, 1.7760429e-5, 4.2143124e-3, 0.168923, 168.923, 0.337846, 337.84604
2921, 338.76837, 3.3876839, 0.3387684, 3.3876838e-4, 169384.2, 1693.8419, 169.3842, 0.1693842, 2.36315e-5, 4.8612244e-3, 0.167933, 167.933, 0.335866, 335.866
2911, 339.37106, 3.3937106, 0.33937106, 3.3937106e-4, 169685.53, 1696.8552, 169.68553, 0.16968553, 2.2987164e-5, 4.794493e-3, 0.169089, 169.089, 0.338178, 338.178
2901, 344.72073, 3.4472072, 0.34472072, 3.4472073e-4, 172360.36, 1723.6036, 172.36037, 0.17236036, 2.364814e-5, 4.8629353e-3, 0.170994, 170.994, 0.341988, 341.988
2891, 338.70407, 3.3870406, 0.33870405, 3.3870406e-4, 169352.03, 1693.5203, 169.35202, 0.16935202, 1.8313312e-5, 4.279406e-3, 0.168514, 168.51399, 0.337028, 337.028
2881, 338.33878, 3.3833878, 0.3383388, 3.3833878e-4, 169169.39, 1691.694, 169.1694, 0.1691694, 2.1816963e-5, 4.670863e-3, 0.167968, 167.968, 0.335936, 335.936
2871, 352.77078, 3.5277078, 0.35277078, 3.527708e-4, 176385.39, 1763.8539, 176.38539, 0.17638539, 2.1429269e-5, 4.6291756e-3, 0.175144, 175.144, 0.350288, 350.288
2861, 359.363, 3.59363, 0.35936302, 3.59363e-4, 179681.52, 1796.8151, 179.6815, 0.17968151, 1.8416878e-5, 4.2914893e-3, 0.178714, 178.714, 0.357428, 357.428
2851, 342.27002, 3.4227002, 0.34227002, 3.4227e-4, 171135.02, 1711.3501, 171.13501, 0.17113501, 1.9694293e-5, 4.437825e-3, 0.169666, 169.666, 0.339332, 339.332
2841, 334.87033, 3.3487034, 0.33487034, 3.3487033e-4, 167435.17, 1674.3517, 167.43517, 0.16743517, 1.835745e-5, 4.2845593e-3, 0.166904, 166.904, 0.333808, 333.808
2831, 368.89493, 3.688949, 0.36889493, 3.6889492e-4, 184447.47, 1844.4747, 184.44746, 0.18444747, 4.1338044e-5, 6.429467e-3, 0.182675, 182.675, 0.36535, 365.35
2821, 353.2862, 3.532862, 0.35328618, 3.532862e-4, 176643.1, 1766.4309, 176.64308, 0.17664309, 4.8687728e-4, 2.2065297e-2, 0.169188, 169.18799, 0.338376, 338.37598
2811, 353.6436, 3.5364358, 0.3536436, 3.5364358e-4, 176821.8, 1768.218, 176.8218, 0.1768218, 3.821058e-5, 6.1814706e-3, 0.175264, 175.264, 0.350528, 350.52798
2801, 338.7123, 3.387123, 0.3387123, 3.387123e-4, 169356.16, 1693.5615, 169.35616, 0.16935615, 2.0436877e-5, 4.5207166e-3, 0.167822, 167.822, 0.335644, 335.644
2791, 349.37415, 3.4937413, 0.34937415, 3.4937414e-4, 174687.08, 1746.8707, 174.68707, 0.17468707, 2.2537532e-5, 4.747371e-3, 0.173292, 173.29199, 0.346584, 346.58398
2781, 346.2391, 3.4623911, 0.3462391, 3.462391e-4, 173119.55, 1731.1954, 173.11954, 0.17311954, 2.8636712e-5, 5.3513283e-3, 0.172046, 172.046, 0.344092, 344.092
2771, 359.51434, 3.5951436, 0.35951436, 3.5951435e-4, 179757.17, 1797.5718, 179.75717, 0.17975718, 2.1318414e-5, 4.6171867e-3, 0.178404, 178.404, 0.356808, 356.808
2761, 358.50418, 3.5850418, 0.35850418, 3.5850418e-4, 179252.1, 1792.5209, 179.25209, 0.17925209, 2.3776714e-5, 4.8761372e-3, 0.178021, 178.021, 0.356042, 356.042
2751, 360.76575, 3.6076577, 0.36076576, 3.6076576e-4, 180382.88, 1803.8287, 180.38287, 0.18038288, 2.0408632e-5, 4.5175916e-3, 0.178647, 178.647, 0.357294, 357.29398
2741, 348.75946, 3.4875946, 0.34875947, 3.4875947e-4, 174379.73, 1743.7974, 174.37973, 0.17437974, 1.7431848e-5, 4.1751466e-3, 0.172783, 172.783, 0.345566, 345.566
2731, 367.10275, 3.6710277, 0.36710277, 3.6710277e-4, 183551.39, 1835.5139, 183.55139, 0.18355139, 2.0975256e-5, 4.579875e-3, 0.18219, 182.19, 0.36438, 364.38
2721, 361.35223, 3.6135223, 0.36135224, 3.6135223e-4, 180676.13, 1806.7612, 180.67612, 0.18067612, 2.5038036e-5, 5.003802e-3, 0.179422, 179.42201, 0.358844, 358.844
2711, 354.94608, 3.5494606, 0.35494608, 3.5494607e-4, 177473.03, 1774.7303, 177.47304, 0.17747304, 3.1435604e-5, 5.6067463e-3, 0.17612, 176.12, 0.35224, 352.24
2701, 347.46255, 3.4746256, 0.34746256, 3.4746257e-4, 173731.28, 1737.3129, 173.73128, 0.17373128, 2.4328161e-5, 4.9323584e-3, 0.17247, 172.47, 0.34494, 344.94
2691, 263.9891, 2.6398911, 0.26398912, 2.6398912e-4, 131994.56, 1319.9456, 131.99457, 0.13199456, 9.567238e-6, 3.0930953e-3, 0.131168, 131.168, 0.262336, 262.336
2681, 250.54984, 2.5054984, 0.25054985, 2.5054984e-4, 125274.93, 1252.7493, 125.274925, 0.12527493, 9.482111e-6, 3.0793035e-3, 0.124276, 124.276, 0.24855201, 248.552
2671, 257.25067, 2.5725067, 0.25725067, 2.5725068e-4, 128625.336, 1286.2533, 128.62534, 0.12862533, 1.2651487e-5, 3.556893e-3, 0.127673, 127.673, 0.255346, 255.34601
2661, 260.94653, 2.6094654, 0.26094654, 2.6094654e-4, 130473.27, 1304.7327, 130.47327, 0.13047327, 1.7986378e-5, 4.241035e-3, 0.129592, 129.592, 0.259184, 259.18402
2651, 261.2267, 2.6122673, 0.2612267, 2.6122673e-4, 130613.36, 1306.1335, 130.61336, 0.13061336, 1.7942099e-5, 4.2358115e-3, 0.128815, 128.815, 0.25763, 257.62997
2641, 266.38263, 2.6638262, 0.2663826, 2.6638262e-4, 133191.3, 1331.913, 133.1913, 0.1331913, 1.17484e-5, 3.427594e-3, 0.132294, 132.294, 0.264588, 264.58798
2631, 276.90247, 2.7690246, 0.27690247, 2.7690246e-4, 138451.23, 1384.5123, 138.45123, 0.13845123, 1.3127813e-5, 3.6232325e-3, 0.137875, 137.875, 0.27575, 275.75
2621, 270.02008, 2.7002008, 0.27002007, 2.7002007e-4, 135010.03, 1350.1003, 135.01004, 0.13501003, 2.0738154e-5, 4.5539164e-3, 0.133992, 133.992, 0.267984, 267.984
2611, 264.14447, 2.6414447, 0.26414448, 2.6414447e-4, 132072.23, 1320.7224, 132.07224, 0.13207224, 2.2525543e-5, 4.7461083e-3, 0.130864, 130.864, 0.261728, 261.728
2601, 258.33066, 2.5833066, 0.25833067, 2.5833066e-4, 129165.336, 1291.6533, 129.16533, 0.12916534, 1.25017405e-5, 3.5357801e-3, 0.129277, 129.27701, 0.258554, 258.55402
2591, 279.25012, 2.7925012, 0.27925012, 2.7925012e-4, 139625.06, 1396.2506, 139.62506, 0.13962506, 2.3037062e-5, 4.799694e-3, 0.13865, 138.65, 0.2773, 277.3
2581, 272.1671, 2.721671, 0.27216712, 2.7216712e-4, 136083.56, 1360.8356, 136.08356, 0.13608356, 1.6012915e-5, 4.001614e-3, 0.13527, 135.27, 0.27054, 270.54
2571, 263.7107, 2.637107, 0.26371068, 2.6371068e-4, 131855.34, 1318.5533, 131.85533, 0.13185534, 1.2629836e-5, 3.553848e-3, 0.131024, 131.024, 0.262048, 262.048
