n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 3672177.3, 36721.773, 3672.1772, 3.6721773, 3672177.3, 36721.773, 3672.1772, 3.6721773, 2.1117807e-3, 4.5954116e-2, 3.660431, 3660.431, 3660.431, 3660431.0
2911, 3332503.8, 33325.04, 3332.504, 3.3325038, 3332503.8, 33325.04, 3332.504, 3.3325038, 2.0704747e-3, 4.550247e-2, 3.329041, 3329.041, 3329.041, 3329041.0
2811, 3199703.8, 31997.037, 3199.7036, 3.1997037, 3199703.8, 31997.037, 3199.7036, 3.1997037, 2.7618674e-3, 5.255347e-2, 3.187991, 3187.991, 3187.991, 3187991.0
2711, 2888106.8, 28881.068, 2888.107, 2.8881068, 2888106.8, 28881.068, 2888.107, 2.8881068, 1.4238195e-3, 3.7733532e-2, 2.882564, 2882.564, 2882.564, 2882564.0
2611, 2720959.8, 27209.596, 2720.9597, 2.7209597, 2720959.8, 27209.596, 2720.9597, 2.7209597, 2.3513187e-3, 4.8490398e-2, 2.709098, 2709.0981, 2709.0981, 2709098.0
2511, 2482459.8, 24824.598, 2482.4597, 2.4824598, 2482459.8, 24824.598, 2482.4597, 2.4824598, 1.3977622e-3, 3.738666e-2, 2.476129, 2476.1292, 2476.1292, 2476129.0
2411, 2249213.3, 22492.133, 2249.2131, 2.2492132, 2249213.3, 22492.133, 2249.2131, 2.2492132, 3.1829204e-3, 5.6417376e-2, 2.233206, 2233.206, 2233.206, 2233206.0
2311, 2036487.1, 20364.871, 2036.487, 2.036487, 2036487.1, 20364.871, 2036.487, 2.036487, 1.2771302e-3, 3.573696e-2, 2.029696, 2029.696, 2029.696, 2029696.0
2211, 1859946.6, 18599.467, 1859.9467, 1.8599466, 1859946.6, 18599.467, 1859.9467, 1.8599466, 1.7192048e-3, 4.1463293e-2, 1.848287, 1848.287, 1848.287, 1848287.0
2111, 1648400.8, 16484.008, 1648.4008, 1.6484008, 1648400.8, 16484.008, 1648.4008, 1.6484008, 1.3022281e-3, 3.60864e-2, 1.63859, 1638.59, 1638.59, 1638590.0
2011, 1522375.8, 15223.757, 1522.3757, 1.5223757, 1522375.8, 15223.757, 1522.3757, 1.5223757, 9.371378e-4, 3.0612707e-2, 1.51742, 1517.42, 1517.42, 1517420.0
1911, 1363930.5, 13639.305, 1363.9304, 1.3639305, 1363930.5, 13639.305, 1363.9304, 1.3639305, 1.2008493e-3, 3.4653272e-2, 1.351362, 1351.3619, 1351.3619, 1351362.0
1811, 1245324.9, 12453.248, 1245.3248, 1.2453249, 1245324.9, 12453.248, 1245.3248, 1.2453249, 6.8764517e-4, 2.6222989e-2, 1.241286, 1241.286, 1241.286, 1241286.0
1711, 1081994.5, 10819.945, 1081.9945, 1.0819945, 1081994.5, 10819.945, 1081.9945, 1.0819945, 5.3877704e-4, 2.321157e-2, 1.078481, 1078.481, 1078.481, 1078481.0
1611, 964482.5, 9644.825, 964.4825, 0.9644825, 964482.5, 9644.825, 964.4825, 0.9644825, 4.923475e-4, 2.2188906e-2, 0.961093, 961.093, 961.093, 961093.0
1511, 835662.75, 8356.627, 835.6627, 0.8356627, 835662.75, 8356.627, 835.6627, 0.8356627, 5.608829e-4, 2.3682967e-2, 0.831239, 831.239, 831.239, 831239.0
1411, 716622.5, 7166.2246, 716.6225, 0.7166225, 716622.5, 7166.2246, 716.6225, 0.7166225, 2.8559795e-4, 1.6899643e-2, 0.714011, 714.011, 714.011, 714011.0
1311, 608526.44, 6085.264, 608.5264, 0.6085264, 608526.44, 6085.264, 608.5264, 0.6085264, 2.2897108e-4, 1.513179e-2, 0.6074, 607.4, 607.4, 607400.0
1211, 531464.7, 5314.647, 531.4647, 0.5314647, 531464.7, 5314.647, 531.4647, 0.5314647, 2.9187996e-4, 1.7084494e-2, 0.529141, 529.141, 529.141, 529141.0
1111, 450109.56, 4501.0957, 450.10956, 0.45010957, 450109.56, 4501.0957, 450.10956, 0.45010957, 2.223581e-4, 1.4911677e-2, 0.447287, 447.287, 447.287, 447287.0
1011, 361779.8, 3617.798, 361.77982, 0.3617798, 361779.8, 3617.798, 361.77982, 0.3617798, 1.0022762e-4, 1.0011374e-2, 0.360977, 360.977, 360.977, 360977.0
911, 293106.9, 2931.069, 293.1069, 0.2931069, 293106.9, 2931.069, 293.1069, 0.2931069, 5.4723823e-5, 7.3975553e-3, 0.292198, 292.198, 292.198, 292198.0
811, 250086.48, 2500.8647, 250.08649, 0.2500865, 250086.48, 2500.8647, 250.08649, 0.2500865, 5.1954365e-5, 7.2079375e-3, 0.248887, 248.88701, 248.88701, 248887.0
711, 182112.5, 1821.125, 182.1125, 0.1821125, 182112.5, 1821.125, 182.1125, 0.1821125, 1.952288e-5, 4.4184704e-3, 0.181768, 181.768, 181.768, 181768.0
611, 134816.08, 1348.1608, 134.81609, 0.13481608, 134816.08, 1348.1608, 134.81609, 0.13481608, 1.7028759e-5, 4.1265916e-3, 0.133996, 133.996, 133.996, 133996.0
511, 93621.57, 936.2157, 93.62157, 9.362157e-2, 93621.57, 936.2157, 93.62157, 9.362157e-2, 1.29003565e-5, 3.5917067e-3, 9.2829e-2, 92.828995, 92.828995, 92829.0
