n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 512416.25, 5124.1626, 512.41626, 0.51241624, 512416.25, 5124.1626, 512.41626, 0.51241624, 1.3571422e-4, 1.1649645e-2, 0.510081, 510.081, 510.081, 510081.0
2911, 484945.94, 4849.4595, 484.94595, 0.48494595, 484945.94, 4849.4595, 484.94595, 0.48494595, 1.2784809e-4, 1.1306993e-2, 0.481762, 481.762, 481.762, 481762.0
2811, 447706.9, 4477.069, 447.7069, 0.4477069, 447706.9, 4477.069, 447.7069, 0.4477069, 1.9567291e-4, 1.3988313e-2, 0.445087, 445.08698, 445.08698, 445087.0
2711, 419748.9, 4197.4893, 419.7489, 0.4197489, 419748.9, 4197.4893, 419.7489, 0.4197489, 1.6755516e-4, 1.294431e-2, 0.416843, 416.843, 416.843, 416843.0
2611, 396652.53, 3966.5251, 396.65253, 0.39665252, 396652.53, 3966.5251, 396.65253, 0.39665252, 1.7010517e-4, 1.3042437e-2, 0.393935, 393.935, 393.935, 393935.0
2511, 361515.4, 3615.154, 361.5154, 0.3615154, 361515.4, 3615.154, 361.5154, 0.3615154, 1.0524504e-4, 1.0258901e-2, 0.358187, 358.18698, 358.18698, 358187.0
2411, 337846.72, 3378.4673, 337.84674, 0.33784673, 337846.72, 3378.4673, 337.84674, 0.33784673, 1.2762312e-4, 1.1297041e-2, 0.334974, 334.974, 334.974, 334974.0
2311, 311062.13, 3110.6213, 311.06213, 0.31106213, 311062.13, 3110.6213, 311.06213, 0.31106213, 1.1507737e-4, 1.0727412e-2, 0.308711, 308.711, 308.711, 308711.0
2211, 280613.56, 2806.1357, 280.6136, 0.28061357, 280613.56, 2806.1357, 280.6136, 0.28061357, 9.867132e-5, 9.933344e-3, 0.2784, 278.4, 278.4, 278400.0
2111, 255495.64, 2554.9563, 255.49564, 0.25549564, 255495.64, 2554.9563, 255.49564, 0.25549564, 8.9565874e-5, 9.463925e-3, 0.252658, 252.658, 252.658, 252658.02
2011, 234997.02, 2349.9702, 234.99702, 0.23499702, 234997.02, 2349.9702, 234.99702, 0.23499702, 3.2423723e-5, 5.694183e-3, 0.234945, 234.94499, 234.94499, 234945.0
1911, 211911.36, 2119.1138, 211.91136, 0.21191137, 211911.36, 2119.1138, 211.91136, 0.21191137, 2.9299354e-5, 5.412888e-3, 0.211086, 211.086, 211.086, 211086.0
1811, 187389.3, 1873.893, 187.3893, 0.1873893, 187389.3, 1873.893, 187.3893, 0.1873893, 3.509049e-5, 5.9237224e-3, 0.185938, 185.938, 185.938, 185938.0
1711, 168913.45, 1689.1345, 168.91345, 0.16891345, 168913.45, 1689.1345, 168.91345, 0.16891345, 1.3408655e-5, 3.661783e-3, 0.168866, 168.866, 168.866, 168866.0
1611, 150750.84, 1507.5084, 150.75084, 0.15075085, 150750.84, 1507.5084, 150.75084, 0.15075085, 1.10977335e-5, 3.3313262e-3, 0.150523, 150.52301, 150.52301, 150523.0
1511, 133722.5, 1337.225, 133.7225, 0.1337225, 133722.5, 1337.225, 133.7225, 0.1337225, 7.9988495e-6, 2.8282236e-3, 0.134047, 134.047, 134.047, 134047.0
1411, 114002.805, 1140.028, 114.0028, 0.1140028, 114002.805, 1140.028, 114.0028, 0.1140028, 8.899945e-6, 2.9832777e-3, 0.113342, 113.342, 113.342, 113342.0
1311, 98593.1, 985.931, 98.5931, 9.85931e-2, 98593.1, 985.931, 98.5931, 9.85931e-2, 7.2207467e-6, 2.6871448e-3, 9.8068e-2, 98.068, 98.068, 98068.0
1211, 86361.41, 863.6141, 86.361404, 8.636141e-2, 86361.41, 863.6141, 86.361404, 8.636141e-2, 1.2657825e-5, 3.5577838e-3, 8.5968e-2, 85.968, 85.968, 85968.0
1111, 74875.35, 748.75354, 74.87535, 7.4875355e-2, 74875.35, 748.75354, 74.87535, 7.4875355e-2, 2.7587505e-6, 1.6609486e-3, 7.491e-2, 74.91, 74.91, 74910.0
1011, 63382.805, 633.82806, 63.382805, 6.3382804e-2, 63382.805, 633.82806, 63.382805, 6.3382804e-2, 4.437543e-6, 2.1065476e-3, 6.2959e-2, 62.959, 62.959, 62959.0
911, 51294.3, 512.943, 51.2943, 5.12943e-2, 51294.3, 512.943, 51.2943, 5.12943e-2, 3.3672159e-6, 1.8349976e-3, 5.0852e-2, 50.852, 50.852, 50852.0
811, 42390.23, 423.9023, 42.390232, 4.239023e-2, 42390.23, 423.9023, 42.390232, 4.239023e-2, 3.8917847e-6, 1.9727608e-3, 4.2302e-2, 42.302002, 42.302002, 42302.0
711, 31319.666, 313.19666, 31.319666, 3.1319667e-2, 31319.666, 313.19666, 31.319666, 3.1319667e-2, 1.9791073e-6, 1.4068075e-3, 3.0893e-2, 30.893, 30.893, 30893.0
611, 23792.469, 237.92468, 23.792467, 2.3792468e-2, 23792.469, 237.92468, 23.792467, 2.3792468e-2, 1.9486874e-6, 1.3959539e-3, 2.3314e-2, 23.314, 23.314, 23314.0
511, 17439.1, 174.39099, 17.439098, 1.7439099e-2, 17439.1, 174.39099, 17.439098, 1.7439099e-2, 1.0694935e-6, 1.0341632e-3, 1.7224e-2, 17.224, 17.224, 17224.0
411, 11881.566, 118.81567, 11.881567, 1.1881567e-2, 11881.566, 118.81567, 11.881567, 1.1881567e-2, 4.1292077e-7, 6.425891e-4, 1.1939e-2, 11.939, 11.939, 11939.0
311, 7408.6665, 74.08666, 7.4086666, 7.4086664e-3, 7408.6665, 74.08666, 7.4086666, 7.4086664e-3, 3.2356894e-7, 5.688312e-4, 7.393e-3, 7.393, 7.393, 7393.0
211, 3952.0999, 39.521, 3.9521, 3.9521e-3, 3952.0999, 39.521, 3.9521, 3.9521e-3, 9.491331e-8, 3.0808005e-4, 3.856e-3, 3.856, 3.856, 3856.0
111, 1441.7999, 14.417999, 1.4417999, 1.4417999e-3, 1441.7999, 14.417999, 1.4417999, 1.4417999e-3, 1.313463e-8, 1.1460642e-4, 1.398e-3, 1.398, 1.398, 1398.0
11, 89.6, 0.89599997, 8.96e-2, 8.96e-5, 89.6, 0.89599997, 8.96e-2, 8.96e-5, 4.1324406e-9, 6.428406e-5, 6.3e-5, 6.3e-2, 6.3e-2, 63.0
