n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 512416.25, 5124.1626, 512.41626, 0.51241624, 512416.25, 5124.1626, 512.41626, 0.51241624, 1.3571422e-4, 1.1649645e-2, 0.510081, 510.081, 510.081, 510081.0
3001, 512697.8, 5126.978, 512.6978, 0.5126978, 512697.8, 5126.978, 512.6978, 0.5126978, 2.2204877e-4, 1.4901301e-2, 0.51052, 510.52, 510.52, 510519.97
2991, 516060.72, 5160.607, 516.0607, 0.5160607, 516060.72, 5160.607, 516.0607, 0.5160607, 1.4431764e-4, 1.2013228e-2, 0.512588, 512.588, 512.588, 512588.03
2981, 506505.6, 5065.056, 506.5056, 0.5065056, 506505.6, 5065.056, 506.5056, 0.5065056, 1.795392e-4, 1.3399224e-2, 0.503815, 503.815, 503.815, 503815.0
2971, 505530.06, 5055.301, 505.53006, 0.50553006, 505530.06, 5055.301, 505.53006, 0.50553006, 1.0974845e-4, 1.0476089e-2, 0.503551, 503.551, 503.551, 503551.0
2961, 508881.63, 5088.8164, 508.88162, 0.5088816, 508881.63, 5088.8164, 508.88162, 0.5088816, 2.2802272e-4, 1.5100421e-2, 0.502813, 502.813, 502.813, 502812.97
2951, 495094.34, 4950.9434, 495.09436, 0.49509436, 495094.34, 4950.9434, 495.09436, 0.49509436, 2.0404193e-4, 1.4284325e-2, 0.490604, 490.604, 490.604, 490604.0
2941, 498885.97, 4988.8594, 498.88596, 0.49888596, 498885.97, 4988.8594, 498.88596, 0.49888596, 1.5459959e-4, 1.2433808e-2, 0.496377, 496.37698, 496.37698, 496377.0
2931, 496404.78, 4964.048, 496.4048, 0.4964048, 496404.78, 4964.048, 496.4048, 0.4964048, 1.5096806e-4, 1.2286906e-2, 0.493821, 493.82098, 493.82098, 493821.0
2921, 489873.78, 4898.738, 489.87378, 0.48987377, 489873.78, 4898.738, 489.87378, 0.48987377, 1.5407614e-4, 1.2412741e-2, 0.487837, 487.83698, 487.83698, 487837.0
2911, 484945.94, 4849.4595, 484.94595, 0.48494595, 484945.94, 4849.4595, 484.94595, 0.48494595, 1.2784809e-4, 1.1306993e-2, 0.481762, 481.762, 481.762, 481762.0
2901, 479383.25, 4793.8325, 479.38327, 0.47938326, 479383.25, 4793.8325, 479.38327, 0.47938326, 2.19401e-4, 1.4812191e-2, 0.476176, 476.176, 476.176, 476176.0
2891, 479306.84, 4793.0684, 479.30685, 0.47930685, 479306.84, 4793.0684, 479.30685, 0.47930685, 1.3958507e-4, 1.1814613e-2, 0.477301, 477.301, 477.301, 477301.0
