n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 33797.6, 337.97604, 33.797604, 3.3797603e-2, 33797.6, 337.97604, 33.797604, 3.3797603e-2, 3.21442e-6, 1.7928804e-3, 3.3621e-2, 33.621, 33.621, 33621.0
2911, 32235.0, 322.35, 32.235, 3.2235e-2, 32235.0, 322.35, 32.235, 3.2235e-2, 9.607262e-7, 9.801664e-4, 3.2139e-2, 32.139, 32.139, 32139.0
2811, 30657.768, 306.5777, 30.657768, 3.0657768e-2, 30657.768, 306.5777, 30.657768, 3.0657768e-2, 1.4584226e-6, 1.2076517e-3, 3.0747e-2, 30.747, 30.747, 30747.0
2711, 29581.13, 295.8113, 29.581131, 2.9581131e-2, 29581.13, 295.8113, 29.581131, 2.9581131e-2, 3.7190048e-6, 1.9284722e-3, 2.953e-2, 29.53, 29.53, 29530.0
2611, 27784.701, 277.84702, 27.784702, 2.7784701e-2, 27784.701, 277.84702, 27.784702, 2.7784701e-2, 1.333934e-6, 1.1549606e-3, 2.7779e-2, 27.779, 27.779, 27779.0
2511, 26642.23, 266.4223, 26.642231, 2.6642231e-2, 26642.23, 266.4223, 26.642231, 2.6642231e-2, 1.4015392e-6, 1.1838662e-3, 2.6491e-2, 26.491, 26.491, 26491.0
2411, 24830.232, 248.30234, 24.830233, 2.4830233e-2, 24830.232, 248.30234, 24.830233, 2.4830233e-2, 2.1610206e-6, 1.470041e-3, 2.4529e-2, 24.529001, 24.529001, 24529.0
2311, 23263.771, 232.63771, 23.263771, 2.3263771e-2, 23263.771, 232.63771, 23.263771, 2.3263771e-2, 1.01615e-6, 1.0080427e-3, 2.3226e-2, 23.226, 23.226, 23226.0
2211, 22586.432, 225.86432, 22.586432, 2.2586431e-2, 22586.432, 225.86432, 22.586432, 2.2586431e-2, 4.197385e-6, 2.048752e-3, 2.2114e-2, 22.113998, 22.113998, 22114.0
2111, 20596.334, 205.96335, 20.596334, 2.0596335e-2, 20596.334, 205.96335, 20.596334, 2.0596335e-2, 8.586922e-7, 9.266565e-4, 2.0468e-2, 20.468, 20.468, 20468.0
