n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 843699.44, 8436.994, 843.69946, 0.84369946, 843699.44, 8436.994, 843.69946, 0.84369946, 7.179599e-5, 8.473252e-3, 0.844184, 844.18396, 844.18396, 844184.0
3001, 849620.94, 8496.209, 849.6209, 0.84962094, 849620.94, 8496.209, 849.6209, 0.84962094, 9.591853e-5, 9.7938e-3, 0.849095, 849.095, 849.095, 849095.0
2991, 850433.7, 8504.337, 850.4337, 0.8504337, 850433.7, 8504.337, 850.4337, 0.8504337, 1.348747e-4, 1.1613557e-2, 0.846987, 846.987, 846.987, 846987.0
2981, 831489.5, 8314.8955, 831.4895, 0.8314895, 831489.5, 8314.8955, 831.4895, 0.8314895, 9.489385e-5, 9.741347e-3, 0.831395, 831.39496, 831.39496, 831395.0
2971, 844649.3, 8446.493, 844.6493, 0.8446493, 844649.3, 8446.493, 844.6493, 0.8446493, 9.836288e-5, 9.917806e-3, 0.842981, 842.98096, 842.98096, 842981.0
2961, 824685.3, 8246.854, 824.68536, 0.82468534, 824685.3, 8246.854, 824.68536, 0.82468534, 1.6967668e-4, 1.3026e-2, 0.824567, 824.567, 824.567, 824567.0
2951, 832123.94, 8321.239, 832.12396, 0.83212394, 832123.94, 8321.239, 832.12396, 0.83212394, 8.673636e-5, 9.313236e-3, 0.832065, 832.065, 832.065, 832065.0
2941, 820351.94, 8203.52, 820.3519, 0.82035196, 820351.94, 8203.52, 820.3519, 0.82035196, 6.325238e-5, 7.953136e-3, 0.820231, 820.231, 820.231, 820231.0
2931, 818080.75, 8180.807, 818.08075, 0.8180807, 818080.75, 8180.807, 818.08075, 0.8180807, 8.221074e-5, 9.067014e-3, 0.818937, 818.937, 818.937, 818937.0
2921, 805924.25, 8059.242, 805.92426, 0.80592424, 805924.25, 8059.242, 805.92426, 0.80592424, 8.629428e-5, 9.289471e-3, 0.806213, 806.213, 806.213, 806213.0
2911, 793215.7, 7932.1567, 793.2157, 0.7932157, 793215.7, 7932.1567, 793.2157, 0.7932157, 7.361302e-5, 8.579803e-3, 0.792221, 792.221, 792.221, 792221.0
2901, 810783.8, 8107.838, 810.7838, 0.8107838, 810783.8, 8107.838, 810.7838, 0.8107838, 7.618101e-5, 8.728174e-3, 0.809462, 809.46204, 809.46204, 809462.0
2891, 798181.75, 7981.818, 798.18176, 0.7981818, 798181.75, 7981.818, 798.18176, 0.7981818, 1.6021804e-4, 1.2657726e-2, 0.797727, 797.727, 797.727, 797727.0
2881, 801853.75, 8018.5376, 801.85376, 0.8018538, 801853.75, 8018.5376, 801.85376, 0.8018538, 7.952207e-5, 8.917515e-3, 0.802234, 802.234, 802.234, 802234.0
2871, 806192.94, 8061.929, 806.19293, 0.80619293, 806192.94, 8061.929, 806.19293, 0.80619293, 1.1421515e-4, 1.0687149e-2, 0.806393, 806.393, 806.393, 806393.0
2861, 793434.44, 7934.344, 793.43445, 0.79343444, 793434.44, 7934.344, 793.43445, 0.79343444, 6.833996e-5, 8.266799e-3, 0.794648, 794.648, 794.648, 794648.0
2851, 785876.9, 7858.7686, 785.8769, 0.78587687, 785876.9, 7858.7686, 785.8769, 0.78587687, 6.260319e-5, 7.912218e-3, 0.78665, 786.65, 786.65, 786650.0
2841, 791099.56, 7910.9956, 791.09955, 0.79109955, 791099.56, 7910.9956, 791.09955, 0.79109955, 1.5621934e-4, 1.2498774e-2, 0.789996, 789.99603, 789.99603, 789996.0
2831, 776055.7, 7760.557, 776.05566, 0.7760557, 776055.7, 7760.557, 776.05566, 0.7760557, 5.3769512e-5, 7.3327697e-3, 0.77822, 778.22, 778.22, 778220.0
2821, 786205.6, 7862.0566, 786.2056, 0.78620565, 786205.6, 7862.0566, 786.2056, 0.78620565, 7.715881e-5, 8.784009e-3, 0.784093, 784.093, 784.093, 784093.0
2811, 778506.5, 7785.065, 778.50653, 0.7785065, 778506.5, 7785.065, 778.50653, 0.7785065, 7.2540846e-5, 8.517091e-3, 0.777134, 777.134, 777.134, 777134.0
2801, 783025.9, 7830.259, 783.0259, 0.78302586, 783025.9, 7830.259, 783.0259, 0.78302586, 8.532263e-5, 9.237025e-3, 0.780995, 780.995, 780.995, 780995.0
2791, 779623.06, 7796.2305, 779.62305, 0.77962303, 779623.06, 7796.2305, 779.62305, 0.77962303, 5.335246e-5, 7.304277e-3, 0.780675, 780.675, 780.675, 780675.0
2781, 769064.0, 7690.64, 769.064, 0.769064, 769064.0, 7690.64, 769.064, 0.769064, 7.376258e-5, 8.588514e-3, 0.768463, 768.463, 768.463, 768463.0
2771, 759257.0, 7592.5703, 759.257, 0.759257, 759257.0, 7592.5703, 759.257, 0.759257, 9.6037664e-5, 9.799881e-3, 0.757508, 757.508, 757.508, 757508.0
2761, 762942.1, 7629.4214, 762.94214, 0.76294214, 762942.1, 7629.4214, 762.94214, 0.76294214, 5.145038e-5, 7.172892e-3, 0.763424, 763.42395, 763.42395, 763424.0
2751, 766882.56, 7668.825, 766.88257, 0.76688254, 766882.56, 7668.825, 766.88257, 0.76688254, 7.009197e-5, 8.3720945e-3, 0.766768, 766.768, 766.768, 766768.0
2741, 767806.6, 7678.0664, 767.80664, 0.76780665, 767806.6, 7678.0664, 767.80664, 0.76780665, 3.706819e-4, 1.9253101e-2, 0.765641, 765.641, 765.641, 765641.0
2731, 767522.94, 7675.2295, 767.52295, 0.76752293, 767522.94, 7675.2295, 767.52295, 0.76752293, 9.358732e-5, 9.674054e-3, 0.764944, 764.94403, 764.94403, 764944.0
2721, 757203.8, 7572.038, 757.2038, 0.7572038, 757203.8, 7572.038, 757.2038, 0.7572038, 4.8493992e-5, 6.963763e-3, 0.757637, 757.637, 757.637, 757637.0
2711, 763806.6, 7638.0664, 763.80664, 0.76380664, 763806.6, 7638.0664, 763.80664, 0.76380664, 1.5967805e-4, 1.2636378e-2, 0.763893, 763.893, 763.893, 763893.0
2701, 751582.1, 7515.8213, 751.58215, 0.75158215, 751582.1, 7515.8213, 751.58215, 0.75158215, 4.3151733e-5, 6.5689976e-3, 0.752193, 752.193, 752.193, 752193.0
2691, 758779.8, 7587.7983, 758.77985, 0.7587798, 758779.8, 7587.7983, 758.77985, 0.7587798, 6.379633e-5, 7.987261e-3, 0.756337, 756.337, 756.337, 756337.0
2681, 758087.75, 7580.8774, 758.08777, 0.75808775, 758087.75, 7580.8774, 758.08777, 0.75808775, 7.597206e-5, 8.716195e-3, 0.758888, 758.888, 758.888, 758888.0
2671, 736394.1, 7363.941, 736.3941, 0.7363941, 736394.1, 7363.941, 736.3941, 0.7363941, 5.2257452e-5, 7.2289314e-3, 0.738447, 738.447, 738.447, 738447.0
2661, 750928.44, 7509.2847, 750.92847, 0.75092846, 750928.44, 7509.2847, 750.92847, 0.75092846, 5.50287e-5, 7.4181333e-3, 0.752331, 752.331, 752.331, 752331.0
2651, 738623.75, 7386.2373, 738.6237, 0.73862374, 738623.75, 7386.2373, 738.6237, 0.73862374, 7.5138385e-5, 8.66824e-3, 0.738034, 738.034, 738.034, 738034.0
2641, 726528.0, 7265.28, 726.528, 0.726528, 726528.0, 7265.28, 726.528, 0.726528, 5.6845427e-5, 7.539591e-3, 0.724357, 724.357, 724.357, 724357.0
2631, 722433.44, 7224.3345, 722.4335, 0.72243345, 722433.44, 7224.3345, 722.4335, 0.72243345, 7.052192e-5, 8.397733e-3, 0.722538, 722.53796, 722.53796, 722538.0
2621, 721099.5, 7210.995, 721.0995, 0.7210995, 721099.5, 7210.995, 721.0995, 0.7210995, 5.6326993e-5, 7.505131e-3, 0.719489, 719.48895, 719.48895, 719489.0
2611, 734940.4, 7349.4033, 734.94037, 0.73494035, 734940.4, 7349.4033, 734.94037, 0.73494035, 1.2920568e-4, 1.1366867e-2, 0.733368, 733.368, 733.368, 733368.0
2601, 716458.06, 7164.581, 716.45807, 0.7164581, 716458.06, 7164.581, 716.45807, 0.7164581, 7.4061514e-5, 8.6059e-3, 0.715726, 715.726, 715.726, 715726.0
2591, 722111.06, 7221.1104, 722.111, 0.72211105, 722111.06, 7221.1104, 722.111, 0.72211105, 7.7368924e-5, 8.795961e-3, 0.724346, 724.346, 724.346, 724346.0
2581, 709471.3, 7094.713, 709.4713, 0.7094713, 709471.3, 7094.713, 709.4713, 0.7094713, 3.5662562e-4, 1.8884534e-2, 0.706433, 706.433, 706.433, 706433.0
2571, 705401.5, 7054.0146, 705.4015, 0.7054015, 705401.5, 7054.0146, 705.4015, 0.7054015, 1.2702578e-4, 1.12705715e-2, 0.703866, 703.866, 703.866, 703866.0
2561, 705572.8, 7055.7285, 705.5728, 0.70557284, 705572.8, 7055.7285, 705.5728, 0.70557284, 5.976648e-5, 7.7308784e-3, 0.707109, 707.10895, 707.10895, 707109.0
2551, 710278.7, 7102.787, 710.2787, 0.7102787, 710278.7, 7102.787, 710.2787, 0.7102787, 5.6582478e-5, 7.5221327e-3, 0.711427, 711.427, 711.427, 711427.0
2541, 696106.9, 6961.0684, 696.1069, 0.69610685, 696106.9, 6961.0684, 696.1069, 0.69610685, 5.5274017e-5, 7.43465e-3, 0.698223, 698.223, 698.223, 698223.0
2531, 704103.1, 7041.0313, 704.1031, 0.7041031, 704103.1, 7041.0313, 704.1031, 0.7041031, 5.4513595e-5, 7.383332e-3, 0.705049, 705.04895, 705.04895, 705049.0
2521, 691823.2, 6918.232, 691.8232, 0.6918232, 691823.2, 6918.232, 691.8232, 0.6918232, 4.3505755e-5, 6.595889e-3, 0.691089, 691.089, 691.089, 691089.0
2511, 701613.44, 7016.1343, 701.6134, 0.7016134, 701613.44, 7016.1343, 701.6134, 0.7016134, 6.655962e-5, 8.158408e-3, 0.701608, 701.60803, 701.60803, 701608.0
2501, 693264.8, 6932.6484, 693.26483, 0.69326484, 693264.8, 6932.6484, 693.26483, 0.69326484, 6.119034e-5, 7.822425e-3, 0.694979, 694.979, 694.979, 694979.0
2491, 695144.0, 6951.44, 695.144, 0.695144, 695144.0, 6951.44, 695.144, 0.695144, 3.653521e-5, 6.0444362e-3, 0.69714, 697.13995, 697.13995, 697140.0
2481, 679094.44, 6790.9443, 679.0944, 0.67909443, 679094.44, 6790.9443, 679.0944, 0.67909443, 5.2270272e-5, 7.2298185e-3, 0.682535, 682.535, 682.535, 682535.0
2471, 682728.5, 6827.285, 682.7285, 0.6827285, 682728.5, 6827.285, 682.7285, 0.6827285, 1.03611e-4, 1.0178949e-2, 0.681755, 681.755, 681.755, 681755.0
2461, 681144.8, 6811.448, 681.14484, 0.68114483, 681144.8, 6811.448, 681.14484, 0.68114483, 6.134525e-5, 7.832321e-3, 0.680707, 680.707, 680.707, 680707.0
2451, 684228.4, 6842.2837, 684.22833, 0.68422836, 684228.4, 6842.2837, 684.22833, 0.68422836, 4.8573576e-5, 6.9694747e-3, 0.682363, 682.363, 682.363, 682363.0
2441, 676127.06, 6761.271, 676.1271, 0.6761271, 676127.06, 6761.271, 676.1271, 0.6761271, 4.1230276e-4, 2.030524e-2, 0.671113, 671.11304, 671.11304, 671113.0
2431, 681032.25, 6810.3223, 681.0322, 0.68103224, 681032.25, 6810.3223, 681.0322, 0.68103224, 5.652385e-5, 7.5182347e-3, 0.68297, 682.97, 682.97, 682970.0
2421, 686822.06, 6868.2207, 686.8221, 0.68682206, 686822.06, 6868.2207, 686.8221, 0.68682206, 4.4610395e-5, 6.6791014e-3, 0.68886, 688.86, 688.86, 688860.0
