n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 18382.533, 183.82533, 18.382532, 1.8382533e-2, 18382.533, 183.82533, 18.382532, 1.8382533e-2, 5.866546e-7, 7.6593383e-4, 1.8216e-2, 18.216002, 18.216002, 18216.0
2911, 18057.635, 180.57635, 18.057634, 1.8057635e-2, 18057.635, 180.57635, 18.057634, 1.8057635e-2, 5.1986285e-7, 7.2101515e-4, 1.8059e-2, 18.059, 18.059, 18059.0
2811, 17935.633, 179.35634, 17.935635, 1.7935634e-2, 17935.633, 179.35634, 17.935635, 1.7935634e-2, 1.9294562e-6, 1.3890486e-3, 1.7531e-2, 17.531, 17.531, 17531.0
2711, 16028.499, 160.28499, 16.0285, 1.60285e-2, 16028.499, 160.28499, 16.0285, 1.60285e-2, 5.61788e-7, 7.495252e-4, 1.5855e-2, 15.855, 15.855, 15854.999
2611, 15755.467, 157.55467, 15.755467, 1.5755467e-2, 15755.467, 157.55467, 15.755467, 1.5755467e-2, 1.1334632e-6, 1.0646423e-3, 1.5503e-2, 15.502999, 15.502999, 15503.0
2511, 13937.234, 139.37234, 13.937234, 1.3937234e-2, 13937.234, 139.37234, 13.937234, 1.3937234e-2, 6.851148e-7, 8.277166e-4, 1.3834e-2, 13.834, 13.834, 13834.0
2411, 13207.666, 132.07666, 13.207665, 1.3207666e-2, 13207.666, 132.07666, 13.207665, 1.3207666e-2, 5.87204e-7, 7.662924e-4, 1.309e-2, 13.089999, 13.089999, 13090.0
2311, 12721.5, 127.215004, 12.7215, 1.27215e-2, 12721.5, 127.215004, 12.7215, 1.27215e-2, 7.69178e-7, 8.770279e-4, 1.2645e-2, 12.6449995, 12.6449995, 12645.0
2211, 11529.935, 115.29935, 11.529935, 1.1529935e-2, 11529.935, 115.29935, 11.529935, 1.1529935e-2, 4.866471e-7, 6.9760095e-4, 1.133e-2, 11.33, 11.33, 11330.0
2111, 10942.101, 109.421005, 10.942101, 1.0942101e-2, 10942.101, 109.421005, 10.942101, 1.0942101e-2, 2.6423334e-7, 5.1403634e-4, 1.0929e-2, 10.929, 10.929, 10929.0
2011, 10016.9, 100.16901, 10.0169, 1.00169005e-2, 10016.9, 100.16901, 10.0169, 1.00169005e-2, 8.13853e-7, 9.02138e-4, 9.676e-3, 9.676, 9.676, 9676.0
1911, 9364.133, 93.64133, 9.364133, 9.364133e-3, 9364.133, 93.64133, 9.364133, 9.364133e-3, 4.0315476e-7, 6.349447e-4, 9.233e-3, 9.233, 9.233, 9233.0
1811, 8578.633, 85.78633, 8.578633, 8.578633e-3, 8578.633, 85.78633, 8.578633, 8.578633e-3, 1.8502253e-7, 4.3014245e-4, 8.552e-3, 8.552, 8.552, 8552.0
1711, 8141.201, 81.41201, 8.141201, 8.141201e-3, 8141.201, 81.41201, 8.141201, 8.141201e-3, 2.9018977e-7, 5.3869264e-4, 8.036e-3, 8.035999, 8.035999, 8035.9995
1611, 7454.933, 74.54933, 7.454933, 7.454933e-3, 7454.933, 74.54933, 7.454933, 7.454933e-3, 3.0981064e-7, 5.566064e-4, 7.392e-3, 7.3919997, 7.3919997, 7392.0
1511, 6681.0327, 66.81033, 6.681033, 6.681033e-3, 6681.0327, 66.81033, 6.681033, 6.681033e-3, 3.8342486e-7, 6.192131e-4, 6.632e-3, 6.632, 6.632, 6632.0
1411, 5865.7, 58.657, 5.8657002, 5.8657e-3, 5865.7, 58.657, 5.8657002, 5.8657e-3, 1.0585355e-7, 3.2535143e-4, 5.845e-3, 5.8450003, 5.8450003, 5845.0
1311, 5631.9004, 56.319004, 5.6319003, 5.6319004e-3, 5631.9004, 56.319004, 5.6319003, 5.6319004e-3, 1.269822e-6, 1.1268638e-3, 5.391e-3, 5.391, 5.391, 5391.0
1211, 4569.2334, 45.692333, 4.5692334, 4.5692334e-3, 4569.2334, 45.692333, 4.5692334, 4.5692334e-3, 9.41733e-8, 3.068767e-4, 4.557e-3, 4.557, 4.557, 4557.0
1111, 4094.033, 40.94033, 4.0940332, 4.094033e-3, 4094.033, 40.94033, 4.0940332, 4.094033e-3, 1.2311646e-7, 3.5087956e-4, 4.073e-3, 4.073, 4.073, 4073.0
1011, 3413.7668, 34.13767, 3.4137669, 3.4137669e-3, 3413.7668, 34.13767, 3.4137669, 3.4137669e-3, 1.3350721e-7, 3.653864e-4, 3.348e-3, 3.348, 3.348, 3348.0
911, 2858.2998, 28.582998, 2.8582997, 2.8582998e-3, 2858.2998, 28.582998, 2.8582997, 2.8582998e-3, 1.0480516e-7, 3.2373625e-4, 2.802e-3, 2.8019998, 2.8019998, 2802.0
811, 2257.7336, 22.577335, 2.2577336, 2.2577336e-3, 2257.7336, 22.577335, 2.2577336, 2.2577336e-3, 3.699901e-8, 1.9235126e-4, 2.27e-3, 2.27, 2.27, 2270.0
711, 1819.233, 18.192331, 1.8192331, 1.8192331e-3, 1819.233, 18.192331, 1.8192331, 1.8192331e-3, 1.6817914e-8, 1.296839e-4, 1.81e-3, 1.8100001, 1.8100001, 1810.0
611, 1485.9999, 14.859999, 1.486, 1.4859999e-3, 1485.9999, 14.859999, 1.486, 1.4859999e-3, 1.0815134e-8, 1.0399584e-4, 1.485e-3, 1.485, 1.485, 1485.0
511, 1215.3667, 12.1536665, 1.2153666, 1.2153666e-3, 1215.3667, 12.1536665, 1.2153666, 1.2153666e-3, 5.4286975e-8, 2.3299565e-4, 1.156e-3, 1.1559999, 1.1559999, 1156.0
411, 904.53326, 9.045333, 0.90453327, 9.0453326e-4, 904.53326, 9.045333, 0.90453327, 9.0453326e-4, 1.9338179e-8, 1.3906178e-4, 8.76e-4, 0.876, 0.876, 876.0
311, 661.4334, 6.6143336, 0.6614334, 6.614334e-4, 661.4334, 6.6143336, 0.6614334, 6.614334e-4, 8.060978e-9, 8.9782945e-5, 6.51e-4, 0.651, 0.651, 651.0
211, 375.36664, 3.7536666, 0.37536666, 3.7536665e-4, 375.36664, 3.7536666, 0.37536666, 3.7536665e-4, 2.945765e-9, 5.42749e-5, 3.91e-4, 0.391, 0.391, 391.0
111, 163.56665, 1.6356666, 0.16356665, 1.6356666e-4, 163.56665, 1.6356666, 0.16356665, 1.6356666e-4, 8.4504553e-10, 2.9069666e-5, 1.48e-4, 0.148, 0.148, 148.0
11, 14.666669, 0.14666669, 1.4666669e-2, 1.4666669e-5, 14.666669, 0.14666669, 1.4666669e-2, 1.4666669e-5, 3.4422222e-11, 5.8670453e-6, 1.2e-5, 1.2e-2, 1.2e-2, 12.0
