n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 18382.533, 183.82533, 18.382532, 1.8382533e-2, 18382.533, 183.82533, 18.382532, 1.8382533e-2, 5.866546e-7, 7.6593383e-4, 1.8216e-2, 18.216002, 18.216002, 18216.0
3001, 18664.635, 186.64636, 18.664637, 1.8664636e-2, 18664.635, 186.64636, 18.664637, 1.8664636e-2, 9.629863e-7, 9.813186e-4, 1.8311e-2, 18.310999, 18.310999, 18311.0
2991, 18567.264, 185.67264, 18.567265, 1.8567264e-2, 18567.264, 185.67264, 18.567265, 1.8567264e-2, 7.56118e-7, 8.6955045e-4, 1.8427e-2, 18.427, 18.427, 18427.0
2981, 18214.732, 182.14732, 18.214733, 1.8214732e-2, 18214.732, 182.14732, 18.214733, 1.8214732e-2, 2.1376903e-7, 4.6235163e-4, 1.8291e-2, 18.291, 18.291, 18291.0
2971, 18380.166, 183.80167, 18.380167, 1.8380167e-2, 18380.166, 183.80167, 18.380167, 1.8380167e-2, 1.6333812e-6, 1.278038e-3, 1.8126e-2, 18.126, 18.126, 18126.0
2961, 18340.068, 183.40068, 18.340069, 1.8340068e-2, 18340.068, 183.40068, 18.340069, 1.8340068e-2, 7.24003e-7, 8.5088366e-4, 1.8416e-2, 18.416, 18.416, 18416.0
2951, 18242.834, 182.42834, 18.242834, 1.8242834e-2, 18242.834, 182.42834, 18.242834, 1.8242834e-2, 4.7829207e-7, 6.9158664e-4, 1.8084e-2, 18.084002, 18.084002, 18084.0
2941, 18712.537, 187.12537, 18.712538, 1.8712537e-2, 18712.537, 187.12537, 18.712538, 1.8712537e-2, 3.435091e-6, 1.8533998e-3, 1.8585e-2, 18.585001, 18.585001, 18585.0
2931, 17978.734, 179.78735, 17.978735, 1.7978735e-2, 17978.734, 179.78735, 17.978735, 1.7978735e-2, 4.7474032e-7, 6.8901404e-4, 1.7827e-2, 17.827, 17.827, 17827.0
2921, 18622.936, 186.22935, 18.622934, 1.8622935e-2, 18622.936, 186.22935, 18.622934, 1.8622935e-2, 1.1114284e-6, 1.0542431e-3, 1.8755e-2, 18.755, 18.755, 18755.0
2911, 18057.635, 180.57635, 18.057634, 1.8057635e-2, 18057.635, 180.57635, 18.057634, 1.8057635e-2, 5.1986285e-7, 7.2101515e-4, 1.8059e-2, 18.059, 18.059, 18059.0
2901, 18465.432, 184.65431, 18.465431, 1.8465431e-2, 18465.432, 184.65431, 18.465431, 1.8465431e-2, 2.8834845e-6, 1.6980825e-3, 1.8097e-2, 18.097, 18.097, 18097.0
2891, 18152.268, 181.52267, 18.152267, 1.8152267e-2, 18152.268, 181.52267, 18.152267, 1.8152267e-2, 9.752368e-7, 9.875408e-4, 1.8152e-2, 18.152, 18.152, 18152.0
2881, 17697.729, 176.9773, 17.69773, 1.769773e-2, 17697.729, 176.9773, 17.69773, 1.769773e-2, 5.79196e-7, 7.610493e-4, 1.767e-2, 17.67, 17.67, 17670.0
2871, 17567.367, 175.67366, 17.567366, 1.7567366e-2, 17567.367, 175.67366, 17.567366, 1.7567366e-2, 4.2049018e-7, 6.4845214e-4, 1.7654e-2, 17.654, 17.654, 17654.0
2861, 17957.664, 179.57663, 17.957663, 1.7957663e-2, 17957.664, 179.57663, 17.957663, 1.7957663e-2, 1.85206e-6, 1.3609041e-3, 1.7698e-2, 17.698, 17.698, 17698.0
2851, 17370.2, 173.702, 17.3702, 1.73702e-2, 17370.2, 173.702, 17.3702, 1.73702e-2, 3.2584202e-7, 5.7082577e-4, 1.7335e-2, 17.335, 17.335, 17335.0
2841, 17335.133, 173.35133, 17.335135, 1.7335134e-2, 17335.133, 173.35133, 17.335135, 1.7335134e-2, 5.684068e-7, 7.5392757e-4, 1.7161e-2, 17.161001, 17.161001, 17161.0
