n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
991,1404.0488,1005.05725,10.050572,1.0050572,1.0050572E-03,1005057.2,10050.572,1005.0572,1.0050572,2.6071808E-04,1.6146766E-02,1.003071,1003.0709,1.003071,1003.071
981,1389.8808,1000.79224,10.007922,1.0007923,1.0007923E-03,1000792.25,10007.923,1000.79224,1.0007923,3.0599357E-04,1.7492672E-02,0.996187,996.18695,0.996187,996.18695
971,1375.7128,993.54785,9.935478,0.99354786,9.935478E-04,993547.9,9935.479,993.54785,0.99354786,2.8383572E-04,1.6847424E-02,0.993464,993.464,0.99346405,993.46405
961,1361.5448,989.27795,9.892779,0.98927796,9.89278E-04,989278.0,9892.78,989.278,0.989278,2.2473495E-04,1.4991162E-02,0.984021,984.021,0.984021,984.021
951,1347.3768,973.25433,9.732543,0.9732543,9.732543E-04,973254.3,9732.543,973.25433,0.9732543,2.0993195E-04,1.4489029E-02,0.971467,971.46704,0.971467,971.467
941,1333.2088,975.234,9.75234,0.97523403,9.75234E-04,975234.06,9752.34,975.234,0.97523403,2.2534447E-04,1.5011478E-02,0.974682,974.68195,0.974682,974.682
931,1319.0408,964.93854,9.649385,0.9649385,9.6493855E-04,964938.5,9649.385,964.93854,0.9649385,2.4403668E-04,1.5621673E-02,0.961705,961.705,0.961705,961.7051
921,1304.8728,952.55457,9.525546,0.9525546,9.525546E-04,952554.56,9525.546,952.55457,0.9525546,2.8301438E-04,1.6823031E-02,0.952249,952.24896,0.952249,952.24896
911,1290.7048,941.00214,9.410022,0.94100213,9.4100216E-04,941002.1,9410.021,941.00214,0.94100213,2.1640882E-04,1.471084E-02,0.940571,940.571,0.940571,940.57104
901,1276.5368,946.74713,9.467471,0.9467471,9.4674714E-04,946747.1,9467.472,946.74713,0.9467471,1.3077965E-03,3.6163468E-02,0.93791,937.91003,0.93791,937.91
891,1262.3688,931.6199,9.316199,0.9316199,9.316199E-04,931619.9,9316.199,931.6199,0.9316199,2.7468643E-04,1.6573668E-02,0.928928,928.92804,0.928928,928.92804
881,1248.2008,928.5838,9.285838,0.9285838,9.285838E-04,928583.8,9285.838,928.5838,0.9285838,2.497862E-04,1.5804626E-02,0.925604,925.604,0.925604,925.60394
871,1234.0328,921.34796,9.213479,0.9213479,9.2134794E-04,921347.94,9213.4795,921.3479,0.9213479,2.2895755E-04,1.5131343E-02,0.918899,918.899,0.918899,918.89905
861,1219.8648,915.2416,9.152416,0.9152416,9.152416E-04,915241.6,9152.416,915.2416,0.9152416,2.783687E-04,1.6684385E-02,0.912815,912.815,0.912815,912.815
851,1205.6968,905.24335,9.052433,0.90524334,9.0524333E-04,905243.3,9052.434,905.24335,0.90524334,2.520955E-04,1.5877515E-02,0.901666,901.666,0.901666,901.666
841,1191.5288,901.2156,9.012156,0.9012156,9.012156E-04,901215.6,9012.156,901.21564,0.9012156,2.3579957E-04,1.5355767E-02,0.898753,898.753,0.898753,898.753
831,1177.3608,890.6574,8.906574,0.8906574,8.906574E-04,890657.44,8906.574,890.6574,0.8906574,4.4561163E-04,2.1109516E-02,0.891468,891.468,0.891468,891.46796
821,1163.1928,876.71185,8.767118,0.87671185,8.7671186E-04,876711.9,8767.118,876.71185,0.87671185,2.573687E-04,1.6042715E-02,0.874951,874.951,0.874951,874.951
811,1149.0248,873.63763,8.736376,0.8736376,8.736376E-04,873637.6,8736.376,873.63763,0.8736376,1.994738E-04,1.4123519E-02,0.873279,873.279,0.873279,873.279
801,1134.8568,871.0776,8.710776,0.8710776,8.710776E-04,871077.6,8710.776,871.0776,0.8710776,2.0973737E-04,1.4482312E-02,0.869649,869.649,0.869649,869.649
791,1120.6888,867.40594,8.67406,0.86740595,8.6740596E-04,867405.94,8674.06,867.40594,0.86740595,2.8082158E-04,1.6757732E-02,0.866659,866.659,0.866659,866.659
781,1106.5208,860.6844,8.606844,0.8606844,8.606844E-04,860684.4,8606.844,860.6844,0.8606844,4.1017542E-04,2.0252788E-02,0.857648,857.648,0.857648,857.648
771,1092.3528,841.39026,8.413903,0.8413903,8.413903E-04,841390.3,8413.903,841.3903,0.8413903,2.4639594E-04,1.5697004E-02,0.836749,836.749,0.836749,836.749
761,1078.1848,835.54645,8.355465,0.8355465,8.3554647E-04,835546.5,8355.465,835.5465,0.8355465,2.0210826E-04,1.4216479E-02,0.834071,834.071,0.834071,834.071
751,1064.0168,833.79736,8.337974,0.8337974,8.337974E-04,833797.4,8337.974,833.7974,0.8337974,4.7896605E-04,2.1885293E-02,0.826916,826.91595,0.826916,826.91595
741,1049.8488,824.2426,8.242426,0.8242426,8.242426E-04,824242.56,8242.426,824.2426,0.8242426,2.765177E-04,1.6628822E-02,0.820553,820.553,0.820553,820.553
731,1035.6808,812.6228,8.126227,0.8126228,8.126228E-04,812622.8,8126.228,812.6228,0.8126228,2.4403121E-04,1.5621498E-02,0.814956,814.956,0.814956,814.95605
721,1021.5128,810.6897,8.106897,0.8106897,8.106897E-04,810689.7,8106.897,810.6897,0.8106897,6.5060443E-04,2.5506949E-02,0.80433,804.33,0.80433,804.33
711,1007.3448,797.1316,7.971316,0.79713154,7.9713156E-04,797131.56,7971.3154,797.13153,0.79713154,1.8995166E-04,1.3782295E-02,0.797994,797.994,0.797994,797.994
701,993.1768,782.26953,7.8226953,0.78226954,7.822695E-04,782269.56,7822.6953,782.26953,0.78226954,1.9844064E-04,1.4086896E-02,0.780631,780.631,0.780631,780.63104
691,979.0088,779.3798,7.793798,0.7793798,7.793798E-04,779379.8,7793.798,779.37976,0.7793798,1.7056403E-04,1.3060017E-02,0.780812,780.812,0.780812,780.812
681,964.8408,766.6334,7.666334,0.76663345,7.666334E-04,766633.44,7666.3345,766.6334,0.76663345,2.1564339E-04,1.4684801E-02,0.764181,764.181,0.764181,764.181
671,950.6728,759.34033,7.5934033,0.75934035,7.5934036E-04,759340.4,7593.4033,759.34033,0.75934035,2.7619587E-04,1.6619142E-02,0.756376,756.37604,0.756376,756.37604
661,936.5048,759.4713,7.594713,0.7594713,7.594713E-04,759471.3,7594.713,759.4713,0.7594713,5.1724777E-04,2.2743082E-02,0.755467,755.467,0.755467,755.467
651,922.3368,744.46606,7.4446607,0.74446607,7.444661E-04,744466.06,7444.6606,744.46606,0.74446607,2.0317404E-04,1.4253913E-02,0.745208,745.208,0.745208,745.208
641,908.1688,738.00305,7.3800306,0.7380031,7.3800306E-04,738003.06,7380.031,738.00305,0.7380031,2.0267136E-04,1.42362695E-02,0.739481,739.48096,0.739481,739.48096
631,894.0008,730.4308,7.3043075,0.7304308,7.3043077E-04,730430.8,7304.3076,730.4308,0.7304308,1.8519688E-04,1.3608706E-02,0.730973,730.973,0.730973,730.973
621,879.8328,724.16156,7.241616,0.72416157,7.2416157E-04,724161.56,7241.6157,724.16156,0.72416157,1.8074604E-04,1.3444182E-02,0.725292,725.29205,0.725292,725.292
611,865.6648,713.60175,7.136018,0.71360177,7.1360177E-04,713601.75,7136.0176,713.60175,0.71360177,2.5809926E-04,1.6065467E-02,0.71065,710.65,0.71065,710.65
601,851.4968,706.4024,7.064024,0.7064024,7.064024E-04,706402.44,7064.0244,706.4024,0.7064024,2.1036818E-04,1.4504074E-02,0.710078,710.078,0.710078,710.078
591,837.3288,696.59283,6.9659286,0.69659287,6.9659285E-04,696592.9,6965.9287,696.5929,0.69659287,1.657311E-04,1.2873659E-02,0.697294,697.294,0.697294,697.294
581,823.1608,692.6156,6.9261556,0.69261557,6.926156E-04,692615.56,6926.156,692.61554,0.69261557,1.733113E-04,1.3164775E-02,0.690662,690.66205,0.690662,690.662
571,808.9928,679.4389,6.7943892,0.67943895,6.7943893E-04,679438.94,6794.3896,679.43896,0.67943895,1.610921E-04,1.2692207E-02,0.680135,680.135,0.680135,680.135
561,794.8248,666.5603,6.665603,0.6665603,6.665603E-04,666560.3,6665.603,666.5603,0.6665603,1.341244E-04,1.15812095E-02,0.666571,666.57104,0.666571,666.57104
551,780.6568,661.75714,6.6175714,0.6617571,6.6175713E-04,661757.1,6617.5713,661.75714,0.6617571,1.2485382E-04,1.1173801E-02,0.661799,661.799,0.661799,661.799
541,766.4888,653.68097,6.53681,0.653681,6.53681E-04,653681.0,6536.8096,653.68097,0.653681,2.363931E-04,1.53750805E-02,0.657238,657.23804,0.657238,657.23804
