n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
991,5534.3386,3502.4224,35.024223,3.5024223,3.5024222E-03,3502422.3,35024.223,3502.4224,3.5024223,2.256354E-03,4.7501095E-02,3.485686,3485.686,3.485686,3485.686
981,5478.4926,3487.7087,34.877087,3.4877088,3.4877087E-03,3487708.8,34877.09,3487.7087,3.4877088,4.288438E-03,6.548616E-02,3.470914,3470.9138,3.470914,3470.914
971,5422.6466,3460.134,34.601337,3.460134,3.460134E-03,3460134.0,34601.34,3460.134,3.460134,4.2527826E-03,6.521336E-02,3.435379,3435.379,3.435379,3435.3792
961,5366.8006,3432.734,34.32734,3.432734,3.432734E-03,3432734.0,34327.34,3432.7341,3.432734,4.4025574E-03,6.635177E-02,3.40831,3408.31,3.40831,3408.31
951,5310.9546,3451.2603,34.512604,3.4512603,3.4512603E-03,3451260.3,34512.6,3451.2603,3.4512603,1.6485902E-02,0.12839743,3.405049,3405.049,3.405049,3405.049
941,5255.1086,3330.6855,33.306854,3.3306854,3.3306854E-03,3330685.5,33306.855,3330.6853,3.3306854,8.86629E-04,2.9776316E-02,3.322148,3322.1482,3.322148,3322.148
931,5199.2626,3314.894,33.14894,3.3148942,3.3148942E-03,3314894.3,33148.94,3314.8943,3.3148942,3.174959E-03,5.6346774E-02,3.302474,3302.474,3.302474,3302.474
921,5143.4166,3274.195,32.74195,3.2741952,3.2741951E-03,3274195.3,32741.951,3274.1953,3.2741952,2.4824964E-03,4.9824655E-02,3.258913,3258.913,3.258913,3258.913
911,5087.5706,3227.2236,32.272236,3.2272236,3.2272236E-03,3227223.8,32272.236,3227.2236,3.2272236,2.5361343E-03,5.0360046E-02,3.211336,3211.336,3.211336,3211.336
901,5031.7246,3199.3877,31.993877,3.1993878,3.1993878E-03,3199387.8,31993.877,3199.3877,3.1993878,4.016993E-03,6.337975E-02,3.177256,3177.256,3.177256,3177.256
891,4975.8786,3179.9102,31.7991,3.1799102,3.1799101E-03,3179910.3,31799.102,3179.9102,3.1799102,9.36064E-03,9.67504E-02,3.135721,3135.721,3.135721,3135.721
881,4920.0326,3124.1929,31.241928,3.1241927,3.1241928E-03,3124192.8,31241.928,3124.1926,3.1241927,6.567608E-03,8.104078E-02,3.085897,3085.897,3.085897,3085.897
871,4864.1866,3064.3987,30.643986,3.0643988,3.0643987E-03,3064398.8,30643.988,3064.3987,3.0643988,2.4037098E-03,4.9027644E-02,3.045583,3045.583,3.045583,3045.583
861,4808.3406,3054.3162,30.543161,3.054316,3.0543162E-03,3054316.0,30543.16,3054.3162,3.054316,4.8517156E-03,6.9654256E-02,3.023986,3023.986,3.023986,3023.986
851,4752.4946,3018.4282,30.18428,3.018428,3.018428E-03,3018428.0,30184.281,3018.428,3.018428,3.2779612E-03,5.725348E-02,2.99391,2993.9102,2.99391,2993.9102
841,4696.6486,2972.5461,29.72546,2.972546,2.972546E-03,2972546.0,29725.46,2972.5461,2.972546,3.597113E-03,5.9975937E-02,2.948891,2948.8909,2.948891,2948.8909
831,4640.8026,2942.4932,29.424932,2.9424932,2.9424932E-03,2942493.3,29424.932,2942.4932,2.9424932,2.4312944E-03,4.930816E-02,2.917915,2917.915,2.917915,2917.915
821,4584.9566,2936.4294,29.364294,2.9364293,2.9364293E-03,2936429.3,29364.293,2936.4292,2.9364293,5.9112804E-03,7.688485E-02,2.908314,2908.314,2.908314,2908.314
811,4529.1106,2844.5698,28.445698,2.8445697,2.8445697E-03,2844569.8,28445.697,2844.5696,2.8445697,2.4642525E-04,1.5697937E-02,2.839109,2839.109,2.839109,2839.109
801,4473.2646,2845.0322,28.450321,2.8450322,2.8450321E-03,2845032.3,28450.322,2845.0322,2.8450322,2.6572733E-03,5.1548745E-02,2.834333,2834.333,2.834333,2834.3328
791,4417.4186,2814.9253,28.149252,2.8149252,2.8149253E-03,2814925.3,28149.252,2814.9253,2.8149252,4.8298E-03,6.9496766E-02,2.783899,2783.8992,2.783899,2783.899
781,4361.5726,2775.764,27.757639,2.7757638,2.7757639E-03,2775763.8,27757.637,2775.7637,2.7757638,2.9978522E-03,5.4752644E-02,2.756937,2756.937,2.756937,2756.937
