n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3001, 1518.3684, 15.183683, 1.5183684, 1.5183684e-3, 1518368.4, 15183.684, 1518.3684, 1.5183684, 1.5979171e-4, 1.2640875e-2, 1.517262, 1517.262, 1.517262, 1517.262
2901, 1401.69, 14.016899, 1.40169, 1.40169e-3, 1401690.0, 14016.9, 1401.6901, 1.40169, 6.083818e-4, 2.4665397e-2, 1.393413, 1393.413, 1.393413, 1393.413
2801, 1332.0579, 13.320579, 1.3320578, 1.3320579e-3, 1332057.9, 13320.578, 1332.0579, 1.3320578, 1.1947726e-4, 1.0930565e-2, 1.331922, 1331.922, 1.331922, 1331.922
2701, 1229.6531, 12.29653, 1.229653, 1.229653e-3, 1229653.0, 12296.53, 1229.653, 1.229653, 2.1917319e-4, 1.4804499e-2, 1.228206, 1228.206, 1.228206, 1228.206
2601, 1196.656, 11.96656, 1.196656, 1.196656e-3, 1196656.0, 11966.56, 1196.656, 1.196656, 1.4194666e-4, 1.1914137e-2, 1.195004, 1195.004, 1.195004, 1195.004
2501, 1148.105, 11.4810505, 1.148105, 1.148105e-3, 1148105.0, 11481.05, 1148.105, 1.148105, 1.07544394e-4, 1.0370362e-2, 1.146521, 1146.521, 1.146521, 1146.521
2401, 1094.536, 10.94536, 1.0945361, 1.094536e-3, 1094536.1, 10945.36, 1094.536, 1.0945361, 1.8292204e-4, 1.3524868e-2, 1.093539, 1093.539, 1.093539, 1093.539
2301, 1034.888, 10.34888, 1.034888, 1.034888e-3, 1034888.0, 10348.88, 1034.8881, 1.034888, 9.772814e-5, 9.885754e-3, 1.034579, 1034.579, 1.034579, 1034.579
2201, 953.26215, 9.532621, 0.95326215, 9.5326215e-4, 953262.1, 9532.621, 953.26215, 0.95326215, 2.7381183e-4, 1.654726e-2, 0.949853, 949.853, 0.949853, 949.85297
2101, 914.4032, 9.144032, 0.9144032, 9.144032e-4, 914403.2, 9144.032, 914.4032, 0.9144032, 5.1858882e-5, 7.201311e-3, 0.912704, 912.704, 0.912704, 912.704
2001, 868.95056, 8.689506, 0.86895055, 8.6895056e-4, 868950.56, 8689.506, 868.95056, 0.86895055, 7.8139405e-5, 8.839649e-3, 0.867392, 867.392, 0.867392, 867.39197
1901, 826.86224, 8.268622, 0.8268622, 8.2686223e-4, 826862.2, 8268.622, 826.86224, 0.8268622, 1.1358263e-4, 1.0657515e-2, 0.824669, 824.669, 0.824669, 824.669
1801, 764.4704, 7.644704, 0.7644704, 7.644704e-4, 764470.4, 7644.704, 764.4704, 0.7644704, 1.0627512e-4, 1.0308983e-2, 0.762587, 762.58704, 0.762587, 762.58704
1701, 730.0151, 7.300151, 0.7300151, 7.300151e-4, 730015.1, 7300.151, 730.0151, 0.7300151, 7.1500814e-5, 8.455816e-3, 0.727856, 727.85596, 0.727856, 727.856
1601, 652.60913, 6.5260916, 0.65260917, 6.5260916e-4, 652609.2, 6526.092, 652.6092, 0.65260917, 6.0405273e-5, 7.772083e-3, 0.653904, 653.904, 0.653904, 653.90405
1501, 636.0293, 6.360293, 0.6360293, 6.360293e-4, 636029.3, 6360.293, 636.0293, 0.6360293, 7.3633535e-5, 8.5809985e-3, 0.634825, 634.825, 0.634825, 634.82495
1401, 560.44574, 5.604457, 0.5604457, 5.604457e-4, 560445.75, 5604.457, 560.44574, 0.5604457, 4.9403774e-5, 7.028782e-3, 0.559857, 559.857, 0.559857, 559.857
1301, 548.699, 5.48699, 0.548699, 5.48699e-4, 548699.0, 5486.99, 548.69904, 0.548699, 1.1229437e-4, 1.0596904e-2, 0.546678, 546.678, 0.546678, 546.67804
1201, 473.56863, 4.7356863, 0.47356862, 4.7356862e-4, 473568.63, 4735.686, 473.5686, 0.47356862, 4.463607e-5, 6.681023e-3, 0.471786, 471.78598, 0.471786, 471.78598
1101, 419.04803, 4.19048, 0.41904804, 4.1904804e-4, 419048.03, 4190.4805, 419.04803, 0.41904804, 4.5735796e-5, 6.7628245e-3, 0.418084, 418.08398, 0.418084, 418.084
1001, 395.64313, 3.9564312, 0.39564312, 3.9564312e-4, 395643.13, 3956.4312, 395.64313, 0.39564312, 1.7704516e-4, 1.3305832e-2, 0.393613, 393.613, 0.393613, 393.613
901, 337.268, 3.37268, 0.337268, 3.37268e-4, 337268.0, 3372.68, 337.268, 0.337268, 2.6571519e-5, 5.154757e-3, 0.336085, 336.085, 0.336085, 336.085
801, 282.13916, 2.8213916, 0.28213918, 2.8213917e-4, 282139.2, 2821.3918, 282.1392, 0.28213918, 1.3294289e-5, 3.6461335e-3, 0.282253, 282.253, 0.282253, 282.253
701, 237.2957, 2.372957, 0.2372957, 2.372957e-4, 237295.7, 2372.957, 237.2957, 0.2372957, 1.5194572e-5, 3.8980215e-3, 0.237431, 237.431, 0.237431, 237.431
601, 203.79561, 2.0379562, 0.20379561, 2.0379561e-4, 203795.61, 2037.9562, 203.79561, 0.20379561, 2.3431352e-5, 4.8405943e-3, 0.203312, 203.312, 0.203312, 203.312
501, 144.67146, 1.4467146, 0.14467146, 1.4467146e-4, 144671.45, 1446.7146, 144.67145, 0.14467146, 1.691439e-5, 4.1127107e-3, 0.144137, 144.137, 0.144137, 144.137
401, 124.46513, 1.2446513, 0.12446514, 1.2446514e-4, 124465.13, 1244.6512, 124.46513, 0.12446513, 1.6873124e-5, 4.107691e-3, 0.122978, 122.978004, 0.122978, 122.978004
301, 82.886925, 0.8288692, 8.288693e-2, 8.288692e-5, 82886.93, 828.86926, 82.886925, 8.288693e-2, 7.866127e-6, 2.8046616e-3, 8.232e-2, 82.32, 8.232e-2, 82.31999
