n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
3011,829.144621843854,1504.5991,15.045991,1.5045991,1.5045991E-03,1504599.1,15045.991,1504.5991,1.5045991,2.2332683E-04,1.4944124E-02,1.502359,1502.359
3001,826.390903405316,1518.3684,15.183683,1.5183684,1.5183684E-03,1518368.4,15183.684,1518.3684,1.5183684,1.5979171E-04,1.2640875E-02,1.517262,1517.262
2991,823.637184966777,1377.7441,13.777441,1.3777441,1.3777441E-03,1377744.1,13777.44,1377.744,1.3777441,6.7249604E-04,2.5932528E-02,1.370883,1370.8829
2981,820.883466528239,1363.3396,13.633396,1.3633395,1.3633396E-03,1363339.5,13633.3955,1363.3396,1.3633395,2.4980673E-04,1.5805276E-02,1.363053,1363.053
2971,818.129748089701,1472.308,14.72308,1.4723079,1.472308E-03,1472307.9,14723.079,1472.3079,1.4723079,3.7155498E-04,1.9275762E-02,1.469455,1469.455
2961,815.376029651163,1488.7367,14.887367,1.4887367,1.4887367E-03,1488736.8,14887.367,1488.7367,1.4887367,2.1644197E-04,1.4711967E-02,1.486341,1486.341
2951,812.622311212625,1441.4963,14.414963,1.4414963,1.4414963E-03,1441496.3,14414.963,1441.4962,1.4414963,2.6522938E-04,1.6285865E-02,1.438166,1438.166
2941,809.868592774086,1460.8612,14.608612,1.4608612,1.4608612E-03,1460861.3,14608.612,1460.8612,1.4608612,1.7481801E-04,1.3221876E-02,1.460883,1460.883
2931,807.114874335548,1461.0588,14.610588,1.4610589,1.4610589E-03,1461058.9,14610.589,1461.0588,1.4610589,2.3325073E-04,1.5272548E-02,1.460861,1460.861
2921,804.36115589701,1495.1163,14.951164,1.4951164,1.4951164E-03,1495116.4,14951.163,1495.1163,1.4951164,6.67749E-04,2.584084E-02,1.489274,1489.274
2911,801.607437458472,1366.8479,13.668479,1.3668479,1.3668479E-03,1366847.9,13668.479,1366.8479,1.3668479,1.5758233E-04,1.255318E-02,1.364238,1364.238
2901,798.853719019934,1401.69,14.016899,1.40169,1.40169E-03,1401690.0,14016.9,1401.6901,1.40169,6.083818E-04,2.4665397E-02,1.393413,1393.413
2891,796.100000581395,1474.1013,14.741014,1.4741013,1.4741013E-03,1474101.3,14741.013,1474.1013,1.4741013,5.2872073E-04,2.2993928E-02,1.470664,1470.6641
2881,793.346282142857,1416.5643,14.165644,1.4165643,1.4165643E-03,1416564.4,14165.644,1416.5643,1.4165643,2.147061E-04,1.4652853E-02,1.417015,1417.015
2871,790.592563704319,1390.4886,13.904887,1.3904887,1.3904887E-03,1390488.8,13904.888,1390.4888,1.3904887,2.1091057E-04,1.452276E-02,1.387926,1387.926
2861,787.838845265781,1357.8438,13.578438,1.3578438,1.3578438E-03,1357843.8,13578.4375,1357.8438,1.3578438,2.7510026E-04,1.6586147E-02,1.351912,1351.912
2851,785.085126827243,1310.9154,13.109155,1.3109155,1.3109155E-03,1310915.5,13109.154,1310.9155,1.3109155,5.281734E-04,2.2982024E-02,1.306071,1306.071
2841,782.331408388704,1365.0967,13.650967,1.3650967,1.3650967E-03,1365096.8,13650.967,1365.0967,1.3650967,1.7106939E-04,1.307935E-02,1.365708,1365.708
2831,779.577689950166,1358.7712,13.587712,1.3587712,1.3587712E-03,1358771.3,13587.712,1358.7712,1.3587712,2.323295E-04,1.5242359E-02,1.357362,1357.362
2821,776.823971511628,1349.0253,13.4902525,1.3490252,1.3490253E-03,1349025.3,13490.253,1349.0253,1.3490252,1.81772E-04,1.3482285E-02,1.345911,1345.911
2811,774.07025307309,1396.9121,13.969122,1.3969121,1.3969122E-03,1396912.1,13969.121,1396.9121,1.3969121,1.8529488E-04,1.3612306E-02,1.39684,1396.84
2801,771.316534634551,1332.0579,13.320579,1.3320578,1.3320579E-03,1332057.9,13320.578,1332.0579,1.3320578,1.1947726E-04,1.0930565E-02,1.331922,1331.922
2791,768.562816196013,1392.4191,13.924191,1.3924191,1.3924191E-03,1392419.1,13924.191,1392.4191,1.3924191,2.4430495E-04,1.5630258E-02,1.390124,1390.124
2781,765.809097757475,1302.0835,13.020835,1.3020835,1.3020835E-03,1302083.5,13020.835,1302.0835,1.3020835,8.950427E-04,2.9917264E-02,1.295414,1295.414
