n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
3011, 1728.873, 17.28873, 1.728873, 1.728873e-3, 518661.9, 5186.619, 518.6619, 0.5186619, 1.1102215e-4, 1.0536705e-2, 0.517277, 517.277
3001, 1635.4064, 16.354065, 1.6354064, 1.6354064e-3, 490621.94, 4906.219, 490.62192, 0.49062192, 7.86547e-4, 2.8045446e-2, 0.483003, 483.003
2991, 1493.3107, 14.933106, 1.4933107, 1.4933107e-3, 447993.22, 4479.932, 447.99323, 0.44799322, 1.08697604e-4, 1.0425814e-2, 0.44672, 446.72
2981, 1461.9966, 14.619966, 1.4619966, 1.4619966e-3, 438599.0, 4385.9897, 438.599, 0.438599, 1.20084514e-4, 1.0958308e-2, 0.436758, 436.75803
2971, 1594.9015, 15.949015, 1.5949014, 1.5949014e-3, 478470.4, 4784.704, 478.47043, 0.4784704, 7.138832e-5, 8.4491605e-3, 0.477007, 477.007
2961, 1517.4838, 15.174837, 1.5174837, 1.5174837e-3, 455245.1, 4552.451, 455.24512, 0.4552451, 2.0485937e-4, 1.4312909e-2, 0.454284, 454.28403
2951, 1483.7529, 14.83753, 1.483753, 1.483753e-3, 445125.9, 4451.2593, 445.12592, 0.4451259, 9.695045e-5, 9.846342e-3, 0.446946, 446.94598
2941, 1501.8492, 15.018493, 1.5018493, 1.5018493e-3, 450554.78, 4505.548, 450.55478, 0.4505548, 6.6774395e-5, 8.17156e-3, 0.449971, 449.97098
2931, 1431.4513, 14.314513, 1.4314513, 1.4314513e-3, 429435.4, 4294.354, 429.4354, 0.4294354, 1.8948044e-4, 1.376519e-2, 0.428616, 428.616
2921, 1503.9265, 15.039265, 1.5039265, 1.5039265e-3, 451177.94, 4511.7793, 451.17792, 0.45117792, 9.2936185e-5, 9.640342e-3, 0.448884, 448.884
2911, 1476.6755, 14.766755, 1.4766755, 1.4766755e-3, 443002.66, 4430.0264, 443.00266, 0.44300264, 1.1665304e-4, 1.0800604e-2, 0.442087, 442.087
2901, 1422.357, 14.223571, 1.4223571, 1.422357e-3, 426707.13, 4267.0713, 426.70712, 0.42670712, 1.4064548e-4, 1.1859405e-2, 0.424915, 424.91498
2891, 1576.0538, 15.760538, 1.5760537, 1.5760538e-3, 472816.13, 4728.1616, 472.81613, 0.47281614, 3.635237e-4, 1.9066297e-2, 0.465545, 465.545
2881, 1446.6344, 14.466344, 1.4466344, 1.4466344e-3, 433990.34, 4339.9033, 433.99033, 0.43399033, 9.233974e-5, 9.6093565e-3, 0.43375, 433.75
2871, 1672.1133, 16.721132, 1.6721133, 1.6721133e-3, 501634.0, 5016.34, 501.634, 0.501634, 1.0678479e-4, 1.0333673e-2, 0.500792, 500.79202
2861, 1482.1239, 14.8212385, 1.4821239, 1.4821239e-3, 444637.16, 4446.3716, 444.63715, 0.44463715, 3.2656975e-4, 1.8071242e-2, 0.44176, 441.76
2851, 1355.6002, 13.556002, 1.3556002, 1.3556002e-3, 406680.06, 4066.8005, 406.68005, 0.40668005, 1.3311444e-4, 1.1537523e-2, 0.406573, 406.573
2841, 1458.6992, 14.586992, 1.4586992, 1.4586992e-3, 437609.75, 4376.0977, 437.60977, 0.43760976, 7.225461e-5, 8.5002715e-3, 0.436413, 436.413
2831, 1325.4813, 13.254813, 1.3254813, 1.3254813e-3, 397644.4, 3976.444, 397.6444, 0.3976444, 8.174914e-5, 9.041523e-3, 0.395271, 395.271
2821, 1615.9078, 16.159079, 1.6159079, 1.6159079e-3, 484772.34, 4847.7236, 484.77237, 0.48477235, 1.16232426e-4, 1.0781114e-2, 0.48335, 483.35
2811, 1471.3506, 14.713506, 1.4713506, 1.4713506e-3, 441405.2, 4414.052, 441.40518, 0.44140518, 7.704027e-5, 8.777259e-3, 0.443432, 443.432
2801, 1420.1547, 14.201547, 1.4201547, 1.4201547e-3, 426046.4, 4260.464, 426.0464, 0.4260464, 7.8275756e-5, 8.847359e-3, 0.424455, 424.455
2791, 1489.813, 14.898129, 1.489813, 1.489813e-3, 446943.9, 4469.439, 446.9439, 0.4469439, 6.845589e-5, 8.273807e-3, 0.446234, 446.23398
2781, 1494.9985, 14.9499855, 1.4949986, 1.4949986e-3, 448499.56, 4484.9956, 448.49957, 0.44849956, 7.249015e-5, 8.514115e-3, 0.446918, 446.918
2771, 1500.5725, 15.005726, 1.5005726, 1.5005725e-3, 450171.78, 4501.718, 450.17178, 0.45017177, 6.886793e-5, 8.29867e-3, 0.449479, 449.479
2761, 1407.6469, 14.076468, 1.4076468, 1.4076468e-3, 422294.06, 4222.9404, 422.29404, 0.42229405, 8.4600826e-5, 9.197871e-3, 0.422857, 422.857
2751, 1499.9828, 14.999827, 1.4999828, 1.4999828e-3, 449994.84, 4499.948, 449.99484, 0.44999483, 7.4015996e-5, 8.603255e-3, 0.450426, 450.42603
2741, 1470.7172, 14.707171, 1.4707172, 1.4707171e-3, 441215.13, 4412.1514, 441.21512, 0.44121513, 1.2699162e-4, 1.1269056e-2, 0.440935, 440.935
2731, 1480.4148, 14.804148, 1.4804147, 1.4804148e-3, 444124.44, 4441.244, 444.12442, 0.44412443, 1.4611158e-4, 1.2087662e-2, 0.442865, 442.86502
2721, 1347.6243, 13.476242, 1.3476242, 1.3476242e-3, 404287.28, 4042.8728, 404.2873, 0.40428728, 8.1975784e-5, 9.054048e-3, 0.402749, 402.749
2711, 1347.0233, 13.470233, 1.3470232, 1.3470233e-3, 404106.97, 4041.0698, 404.10696, 0.40410697, 7.356424e-5, 8.576959e-3, 0.402124, 402.124
2701, 1429.7003, 14.297003, 1.4297003, 1.4297003e-3, 428910.06, 4289.1006, 428.91006, 0.42891008, 7.381861e-5, 8.591776e-3, 0.428004, 428.004
2691, 1308.6007, 13.086006, 1.3086007, 1.3086007e-3, 392580.2, 3925.8018, 392.58017, 0.39258018, 7.716618e-5, 8.784428e-3, 0.391977, 391.97702
2681, 1515.4302, 15.154302, 1.5154302, 1.5154302e-3, 454629.03, 4546.2905, 454.62903, 0.45462903, 5.430755e-5, 7.3693655e-3, 0.45249, 452.49
2671, 1228.9906, 12.2899065, 1.2289907, 1.2289906e-3, 368697.2, 3686.972, 368.6972, 0.3686972, 2.99036e-4, 1.7292658e-2, 0.364499, 364.499
2661, 1291.5763, 12.915763, 1.2915763, 1.2915763e-3, 387472.9, 3874.729, 387.4729, 0.3874729, 1.4263927e-4, 1.1943168e-2, 0.383642, 383.642
2651, 1523.2234, 15.232234, 1.5232234, 1.5232234e-3, 456967.0, 4569.67, 456.967, 0.456967, 1.18190685e-4, 1.0871554e-2, 0.456049, 456.04898
2641, 1177.6815, 11.776814, 1.1776814, 1.1776815e-3, 353304.44, 3533.0444, 353.30444, 0.35330445, 7.997188e-5, 8.9427e-3, 0.353145, 353.145
2631, 1275.6455, 12.756454, 1.2756455, 1.2756455e-3, 382693.63, 3826.9363, 382.6936, 0.38269362, 1.0987828e-4, 1.0482284e-2, 0.381324, 381.324
2621, 1213.8567, 12.138567, 1.2138567, 1.2138567e-3, 364157.03, 3641.5703, 364.157, 0.36415702, 7.6095464e-5, 8.723271e-3, 0.363131, 363.13098
2611, 1275.7179, 12.757178, 1.2757179, 1.2757179e-3, 382715.34, 3827.1536, 382.71533, 0.38271534, 5.0943378e-5, 7.137463e-3, 0.38122, 381.22
2601, 1270.9973, 12.709973, 1.2709973, 1.2709973e-3, 381299.2, 3812.992, 381.2992, 0.3812992, 1.2565662e-4, 1.1209666e-2, 0.378629, 378.629
2591, 1116.7992, 11.167992, 1.1167992, 1.1167992e-3, 335039.75, 3350.3977, 335.03976, 0.33503976, 7.798999e-5, 8.831195e-3, 0.335744, 335.744
2581, 1281.4794, 12.814794, 1.2814794, 1.2814794e-3, 384443.8, 3844.4382, 384.44382, 0.38444382, 7.0513466e-5, 8.39723e-3, 0.383281, 383.281
2571, 1225.285, 12.25285, 1.225285, 1.225285e-3, 367585.5, 3675.855, 367.5855, 0.3675855, 8.611648e-5, 9.2798965e-3, 0.366182, 366.182
2561, 1303.2075, 13.032075, 1.3032075, 1.3032075e-3, 390962.25, 3909.6223, 390.96225, 0.39096224, 8.213269e-5, 9.062708e-3, 0.38863, 388.63
2551, 1260.3197, 12.603197, 1.2603197, 1.2603197e-3, 378095.94, 3780.9592, 378.09592, 0.37809592, 9.8568424e-5, 9.928163e-3, 0.376797, 376.797
2541, 1274.9972, 12.749972, 1.2749972, 1.2749973e-3, 382499.16, 3824.9917, 382.49915, 0.38249916, 6.8124966e-5, 8.253785e-3, 0.379628, 379.628
2531, 1269.0188, 12.690187, 1.2690188, 1.2690187e-3, 380705.63, 3807.0562, 380.70563, 0.38070562, 6.634111e-5, 8.145005e-3, 0.37918, 379.18002
2521, 1309.2736, 13.092735, 1.3092735, 1.3092735e-3, 392782.06, 3927.8206, 392.78207, 0.39278206, 4.6655365e-5, 6.8304734e-3, 0.392372, 392.372
2511, 1277.8833, 12.778833, 1.2778833, 1.2778833e-3, 383364.97, 3833.6497, 383.365, 0.38336498, 1.07616266e-4, 1.0373826e-2, 0.383078, 383.078
2501, 1235.8738, 12.358738, 1.2358738, 1.2358738e-3, 370762.13, 3707.6213, 370.76215, 0.37076214, 7.582572e-5, 8.707796e-3, 0.370621, 370.621
2491, 1227.5042, 12.275041, 1.2275041, 1.2275041e-3, 368251.22, 3682.5125, 368.25122, 0.36825123, 8.0167054e-5, 8.953606e-3, 0.366627, 366.627
2481, 1275.5056, 12.755056, 1.2755057, 1.2755056e-3, 382651.7, 3826.5168, 382.65167, 0.3826517, 7.0262744e-5, 8.382288e-3, 0.382702, 382.702
2471, 1251.7697, 12.517696, 1.2517695, 1.2517696e-3, 375530.88, 3755.3086, 375.53088, 0.37553087, 5.773703e-5, 7.5984886e-3, 0.375263, 375.263
2461, 1228.1831, 12.281832, 1.2281832, 1.2281832e-3, 368454.94, 3684.5493, 368.45493, 0.36845493, 7.0103786e-5, 8.3728e-3, 0.367691, 367.691
2451, 1123.7517, 11.237517, 1.1237518, 1.1237517e-3, 337125.5, 3371.2551, 337.12552, 0.3371255, 8.175025e-5, 9.041585e-3, 0.335465, 335.46503
2441, 1234.2527, 12.342527, 1.2342527, 1.2342527e-3, 370275.78, 3702.758, 370.2758, 0.3702758, 1.112006e-4, 1.054517e-2, 0.366065, 366.065
2431, 1192.8746, 11.928746, 1.1928747, 1.1928746e-3, 357862.38, 3578.6238, 357.8624, 0.35786238, 7.740634e-5, 8.798087e-3, 0.357229, 357.229
2421, 1323.2153, 13.232153, 1.3232154, 1.3232153e-3, 396964.63, 3969.646, 396.9646, 0.3969646, 2.0708755e-4, 1.4390537e-2, 0.395157, 395.157
2411, 1140.7136, 11.407136, 1.1407136, 1.1407136e-3, 342214.06, 3422.1409, 342.21408, 0.34221408, 5.5318167e-5, 7.4376184e-3, 0.343139, 343.139
2401, 1167.6824, 11.676824, 1.1676823, 1.1676823e-3, 350304.7, 3503.0469, 350.3047, 0.3503047, 9.062118e-5, 9.519516e-3, 0.34821, 348.21002
2391, 1177.0354, 11.770354, 1.1770353, 1.1770354e-3, 353110.63, 3531.1062, 353.11063, 0.3531106, 1.0842363e-4, 1.0412667e-2, 0.352374, 352.374
2381, 1098.7343, 10.987342, 1.0987343, 1.0987342e-3, 329620.28, 3296.2026, 329.62027, 0.32962027, 6.1716986e-5, 7.856016e-3, 0.33075, 330.75
2371, 1167.6273, 11.676272, 1.1676273, 1.1676273e-3, 350288.2, 3502.8818, 350.28818, 0.35028818, 4.743614e-5, 6.88739e-3, 0.350462, 350.46198
2361, 1103.5087, 11.035087, 1.1035086, 1.1035086e-3, 331052.6, 3310.5261, 331.0526, 0.3310526, 5.5494897e-5, 7.4494896e-3, 0.328608, 328.608
2351, 1197.8503, 11.978503, 1.1978503, 1.1978503e-3, 359355.1, 3593.551, 359.3551, 0.3593551, 1.0099162e-4, 1.0049459e-2, 0.35774, 357.74002
2341, 1180.9078, 11.809078, 1.1809078, 1.1809078e-3, 354272.34, 3542.7234, 354.27234, 0.35427234, 4.2144486e-5, 6.4918785e-3, 0.353434, 353.434
2331, 1176.2765, 11.762765, 1.1762764, 1.1762765e-3, 352882.94, 3528.8296, 352.88297, 0.35288295, 6.525588e-5, 8.078111e-3, 0.351414, 351.414
2321, 1203.9993, 12.039992, 1.2039993, 1.2039993e-3, 361199.78, 3611.998, 361.1998, 0.3611998, 8.978139e-5, 9.475304e-3, 0.360857, 360.857
2311, 1091.6741, 10.91674, 1.0916741, 1.0916741e-3, 327502.22, 3275.0222, 327.50223, 0.32750222, 7.8500896e-5, 8.860073e-3, 0.324955, 324.955
2301, 1116.142, 11.16142, 1.116142, 1.116142e-3, 334842.6, 3348.426, 334.8426, 0.3348426, 7.361241e-5, 8.579767e-3, 0.334876, 334.876
2291, 1113.0281, 11.1302805, 1.113028, 1.113028e-3, 333908.4, 3339.084, 333.90842, 0.3339084, 3.53009e-5, 5.941456e-3, 0.333232, 333.232
2281, 1114.2659, 11.142659, 1.1142659, 1.1142659e-3, 334279.75, 3342.7974, 334.27975, 0.33427975, 8.093528e-5, 8.996404e-3, 0.333695, 333.695
2271, 1100.8037, 11.008038, 1.1008037, 1.1008037e-3, 330241.13, 3302.4111, 330.24112, 0.3302411, 5.832319e-5, 7.636962e-3, 0.329003, 329.00302
2261, 1196.7781, 11.96778, 1.196778, 1.196778e-3, 359033.4, 3590.334, 359.03342, 0.3590334, 4.982734e-5, 7.058848e-3, 0.358218, 358.21802
2251, 1128.031, 11.280311, 1.128031, 1.128031e-3, 338409.3, 3384.093, 338.4093, 0.3384093, 4.3869724e-5, 6.6234223e-3, 0.338014, 338.014
2241, 1086.8707, 10.868707, 1.0868707, 1.0868707e-3, 326061.22, 3260.6123, 326.06122, 0.32606122, 5.007169e-5, 7.0761354e-3, 0.324738, 324.738
2231, 1043.1385, 10.431386, 1.0431385, 1.0431386e-3, 312941.6, 3129.4158, 312.9416, 0.31294158, 1.140294e-4, 1.0678455e-2, 0.31025, 310.25
2221, 1061.5364, 10.615364, 1.0615363, 1.0615364e-3, 318460.9, 3184.6091, 318.4609, 0.3184609, 7.0637754e-5, 8.4046265e-3, 0.318582, 318.582
2211, 1085.1094, 10.851094, 1.0851095, 1.0851094e-3, 325532.8, 3255.3281, 325.53284, 0.32553282, 5.077974e-5, 7.1259905e-3, 0.325185, 325.185
2201, 1009.07697, 10.09077, 1.009077, 1.009077e-3, 302723.1, 3027.2307, 302.72308, 0.30272308, 4.258746e-5, 6.5259067e-3, 0.301171, 301.171
2191, 1120.5879, 11.205879, 1.120588, 1.1205879e-3, 336176.4, 3361.764, 336.1764, 0.3361764, 7.0785725e-5, 8.413426e-3, 0.335946, 335.94598
2181, 1022.64703, 10.22647, 1.022647, 1.022647e-3, 306794.1, 3067.9412, 306.7941, 0.3067941, 3.8307273e-5, 6.189287e-3, 0.306822, 306.822
2171, 1031.4453, 10.314453, 1.0314454, 1.0314453e-3, 309433.6, 3094.3362, 309.43362, 0.3094336, 4.4111188e-5, 6.6416254e-3, 0.309584, 309.58398
2161, 1056.4075, 10.5640745, 1.0564075, 1.0564075e-3, 316922.25, 3169.2224, 316.92224, 0.31692225, 8.163393e-5, 9.03515e-3, 0.315273, 315.27298
2151, 1089.0239, 10.890239, 1.089024, 1.0890239e-3, 326707.16, 3267.0715, 326.70715, 0.32670715, 5.4980228e-5, 7.4148653e-3, 0.326807, 326.807
2141, 942.4892, 9.424891, 0.9424892, 9.424892e-4, 282746.75, 2827.4675, 282.74677, 0.28274676, 2.2567045e-4, 1.5022332e-2, 0.279091, 279.091
2131, 1018.5157, 10.185157, 1.0185157, 1.0185157e-3, 305554.72, 3055.547, 305.55472, 0.30555472, 3.5908644e-5, 5.9923823e-3, 0.30504, 305.04
2121, 1080.7394, 10.807394, 1.0807394, 1.0807394e-3, 324221.8, 3242.2183, 324.22183, 0.32422182, 5.7706005e-5, 7.5964467e-3, 0.324366, 324.366
