n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
3011, 896814.5, 8968.1455, 896.8145, 0.8968145, 896814.5, 8968.1455, 896.8145, 0.8968145, 6.3067906e-5, 7.94153e-3, 0.8982, 898.19995
2911, 846304.9, 8463.049, 846.3049, 0.8463049, 846304.9, 8463.049, 846.3049, 0.8463049, 1.457559e-4, 1.207294e-2, 0.846462, 846.46204
2811, 740812.3, 7408.123, 740.8123, 0.7408123, 740812.3, 7408.123, 740.8123, 0.7408123, 8.0492195e-5, 8.971744e-3, 0.740431, 740.431
2711, 679365.44, 6793.655, 679.3655, 0.67936546, 679365.44, 6793.655, 679.3655, 0.67936546, 1.307861e-4, 1.1436175e-2, 0.676538, 676.53796
2611, 668616.4, 6686.1636, 668.61633, 0.66861635, 668616.4, 6686.1636, 668.61633, 0.66861635, 7.637073e-5, 8.739035e-3, 0.665503, 665.50305
2511, 580279.56, 5802.796, 580.2796, 0.5802796, 580279.56, 5802.796, 580.2796, 0.5802796, 4.924819e-5, 7.0177056e-3, 0.579363, 579.363
2411, 535189.06, 5351.89, 535.189, 0.53518903, 535189.06, 5351.89, 535.189, 0.53518903, 5.475835e-5, 7.3998887e-3, 0.534672, 534.672
2311, 528080.3, 5280.8027, 528.08026, 0.5280803, 528080.3, 5280.8027, 528.08026, 0.5280803, 8.701642e-5, 9.328259e-3, 0.526805, 526.805
2211, 454163.16, 4541.632, 454.16318, 0.45416316, 454163.16, 4541.632, 454.16318, 0.45416316, 2.8349787e-5, 5.3244517e-3, 0.453754, 453.754
2111, 408792.4, 4087.924, 408.79242, 0.4087924, 408792.4, 4087.924, 408.79242, 0.4087924, 4.2994783e-5, 6.557041e-3, 0.407578, 407.578
2011, 368068.9, 3680.689, 368.0689, 0.3680689, 368068.9, 3680.689, 368.0689, 0.3680689, 2.3678695e-5, 4.8660757e-3, 0.367642, 367.642
1911, 334791.03, 3347.9104, 334.79105, 0.33479103, 334791.03, 3347.9104, 334.79105, 0.33479103, 3.9944767e-5, 6.3201874e-3, 0.333918, 333.918
1811, 287393.84, 2873.9385, 287.39383, 0.28739384, 287393.84, 2873.9385, 287.39383, 0.28739384, 1.37734205e-5, 3.711256e-3, 0.286935, 286.935
1711, 250694.61, 2506.946, 250.6946, 0.2506946, 250694.61, 2506.946, 250.6946, 0.2506946, 2.4734954e-5, 4.9734246e-3, 0.249174, 249.174
1611, 224801.23, 2248.0122, 224.80122, 0.22480123, 224801.23, 2248.0122, 224.80122, 0.22480123, 2.4993655e-5, 4.9993657e-3, 0.222648, 222.648
1511, 187727.14, 1877.2714, 187.72714, 0.18772714, 187727.14, 1877.2714, 187.72714, 0.18772714, 1.8219485e-5, 4.268429e-3, 0.188753, 188.75299
1411, 166317.83, 1663.1783, 166.31784, 0.16631784, 166317.83, 1663.1783, 166.31784, 0.16631784, 1.0678715e-5, 3.2678302e-3, 0.165768, 165.76799
1311, 150765.9, 1507.659, 150.76591, 0.15076591, 150765.9, 1507.659, 150.76591, 0.15076591, 6.350678e-6, 2.5200553e-3, 0.151486, 151.486
1211, 121825.734, 1218.2573, 121.82573, 0.12182573, 121825.734, 1218.2573, 121.82573, 0.12182573, 7.466288e-6, 2.7324508e-3, 0.121357, 121.357
1111, 100658.77, 1006.58777, 100.658775, 0.100658774, 100658.77, 1006.58777, 100.658775, 0.100658774, 1.5640697e-5, 3.954832e-3, 9.9721e-2, 99.721
1011, 83036.625, 830.3662, 83.03662, 8.3036624e-2, 83036.625, 830.3662, 83.03662, 8.3036624e-2, 7.274484e-6, 2.697125e-3, 8.2713e-2, 82.713
911, 66063.09, 660.6309, 66.06309, 6.606309e-2, 66063.09, 660.6309, 66.06309, 6.606309e-2, 1.9891568e-5, 4.4599962e-3, 6.5892e-2, 65.892006
811, 46584.836, 465.84836, 46.58484, 4.6584837e-2, 46584.836, 465.84836, 46.58484, 4.6584837e-2, 3.4498364e-6, 1.8573735e-3, 4.6315e-2, 46.315
711, 36942.797, 369.42798, 36.9428, 3.69428e-2, 36942.797, 369.42798, 36.9428, 3.69428e-2, 2.0855573e-6, 1.4441459e-3, 3.6981e-2, 36.981003
611, 30002.537, 300.02536, 30.002537, 3.0002536e-2, 30002.537, 300.02536, 30.002537, 3.0002536e-2, 7.604366e-7, 8.7203016e-4, 3.0173e-2, 30.173
511, 18294.365, 182.94366, 18.294367, 1.8294366e-2, 18294.365, 182.94366, 18.294367, 1.8294366e-2, 1.1884684e-6, 1.090169e-3, 1.7973e-2, 17.973
411, 12391.468, 123.91467, 12.391468, 1.2391468e-2, 12391.468, 123.91467, 12.391468, 1.2391468e-2, 7.4292336e-7, 8.6193e-4, 1.2166e-2, 12.166
311, 6653.5337, 66.53534, 6.653534, 6.653534e-3, 6653.5337, 66.53534, 6.653534, 6.653534e-3, 2.6434958e-7, 5.141494e-4, 6.417e-3, 6.4170003
211, 3264.433, 32.64433, 3.264433, 3.264433e-3, 3264.433, 32.64433, 3.264433, 3.264433e-3, 7.447193e-8, 2.7289544e-4, 3.179e-3, 3.179
111, 922.8667, 9.228667, 0.9228667, 9.228667e-4, 922.8667, 9.228667, 0.9228667, 9.228667e-4, 2.046472e-8, 1.4305496e-4, 8.73e-4, 0.873
11, 27.999998, 0.27999997, 2.7999999e-2, 2.7999999e-5, 27.999998, 0.27999997, 2.7999999e-2, 2.7999999e-5, 1.08733335e-10, 1.0427528e-5, 2.6e-5, 2.6e-2
