n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
3011, 896814.5, 8968.1455, 896.8145, 0.8968145, 896814.5, 8968.1455, 896.8145, 0.8968145, 6.3067906e-5, 7.94153e-3, 0.8982, 898.19995
3001, 891969.6, 8919.696, 891.9696, 0.8919696, 891969.6, 8919.696, 891.9696, 0.8919696, 4.3456577e-5, 6.59216e-3, 0.892028, 892.02795
2991, 873681.3, 8736.813, 873.68134, 0.8736813, 873681.3, 8736.813, 873.68134, 0.8736813, 8.301974e-5, 9.111517e-3, 0.871931, 871.931
2981, 878606.4, 8786.063, 878.6064, 0.8786064, 878606.4, 8786.063, 878.6064, 0.8786064, 1.3666655e-4, 1.1690447e-2, 0.876595, 876.59503
2971, 877991.7, 8779.917, 877.9917, 0.8779917, 877991.7, 8779.917, 877.9917, 0.8779917, 9.0585105e-5, 9.51762e-3, 0.877591, 877.591
2961, 858913.1, 8589.131, 858.91315, 0.8589131, 858913.1, 8589.131, 858.91315, 0.8589131, 9.616861e-5, 9.806559e-3, 0.857888, 857.888
2951, 878910.5, 8789.1045, 878.91046, 0.8789105, 878910.5, 8789.1045, 878.91046, 0.8789105, 1.0868822e-4, 1.0425365e-2, 0.877588, 877.58795
2941, 846649.5, 8466.495, 846.64954, 0.8466495, 846649.5, 8466.495, 846.64954, 0.8466495, 6.906149e-4, 2.6279554e-2, 0.842092, 842.092
2931, 824807.9, 8248.079, 824.80786, 0.8248079, 824807.9, 8248.079, 824.80786, 0.8248079, 1.747348e-4, 1.3218729e-2, 0.823676, 823.67596
2921, 871629.94, 8716.3, 871.62994, 0.87162995, 871629.94, 8716.3, 871.62994, 0.87162995, 1.19027296e-4, 1.0909963e-2, 0.870622, 870.622
2911, 846304.9, 8463.049, 846.3049, 0.8463049, 846304.9, 8463.049, 846.3049, 0.8463049, 1.457559e-4, 1.207294e-2, 0.846462, 846.46204
2901, 863592.44, 8635.925, 863.59247, 0.86359245, 863592.44, 8635.925, 863.59247, 0.86359245, 5.78398e-5, 7.605248e-3, 0.864665, 864.665
2891, 809498.0, 8094.98, 809.498, 0.809498, 809498.0, 8094.98, 809.498, 0.809498, 8.359623e-5, 9.143097e-3, 0.809719, 809.71906
2881, 821692.56, 8216.926, 821.69257, 0.8216926, 821692.56, 8216.926, 821.69257, 0.8216926, 8.8850335e-5, 9.426045e-3, 0.818324, 818.32404
2871, 805836.3, 8058.3633, 805.8363, 0.8058363, 805836.3, 8058.3633, 805.8363, 0.8058363, 1.2795089e-4, 1.1311538e-2, 0.805496, 805.496
2861, 816978.7, 8169.787, 816.9787, 0.8169787, 816978.7, 8169.787, 816.9787, 0.8169787, 4.855438e-5, 6.9680973e-3, 0.818706, 818.706
