n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
301,147.23329,1.472333,0.14723329,1.472333E-04,147.23329,1.472333,0.14723329,1.472333E-04,5.889599E-08,2.4268495E-04,8.3E-05,8.3E-02
311,117.56668,1.1756668,0.11756668,1.17566684E-04,117.56668,1.1756668,0.11756668,1.17566684E-04,3.7793786E-09,6.1476654E-05,1.01E-04,0.100999996
321,112.36666,1.1236666,0.11236666,1.1236666E-04,112.36666,1.1236666,0.11236666,1.1236666E-04,2.7418987E-09,5.2363142E-05,9.3E-05,9.3E-02
331,118.23335,1.1823335,0.11823335,1.1823335E-04,118.23335,1.1823335,0.11823335,1.1823335E-04,3.573312E-09,5.9777187E-05,9.9E-05,9.9E-02
341,122.73333,1.2273333,0.122733325,1.2273333E-04,122.73333,1.2273333,0.122733325,1.2273333E-04,9.45393E-09,9.723132E-05,9.7E-05,9.6999995E-02
351,168.79999,1.6879998,0.1688,1.6879999E-04,168.79999,1.6879998,0.1688,1.6879999E-04,7.599555E-08,2.756729E-04,9.6E-05,9.6E-02
361,116.70002,1.1670002,0.11670002,1.1670002E-04,116.70002,1.1670002,0.11670002,1.1670002E-04,7.707676E-09,8.779337E-05,9.8E-05,9.8E-02
371,90.26667,0.90266675,9.0266675E-02,9.026667E-05,90.26667,0.90266675,9.0266675E-02,9.026667E-05,8.068396E-09,8.982425E-05,7E-05,7E-02
381,150.96667,1.5096668,0.15096667,1.5096668E-04,150.96667,1.5096668,0.15096667,1.5096668E-04,3.4551655E-09,5.8780657E-05,1.37E-04,0.137
391,170.36667,1.7036667,0.17036666,1.7036666E-04,170.36667,1.7036667,0.17036666,1.7036666E-04,1.3666256E-07,3.69679E-04,8.3E-05,8.3E-02
401,114.63332,1.1463332,0.11463332,1.1463332E-04,114.63332,1.1463332,0.11463332,1.1463332E-04,1.0706833E-08,1.0347382E-04,8.7E-05,8.7E-02
411,190.33336,1.9033337,0.19033337,1.9033336E-04,190.33336,1.9033337,0.19033337,1.9033336E-04,1.0820155E-08,1.0401998E-04,1.58E-04,0.15799999
421,123.33333,1.2333333,0.123333335,1.2333333E-04,123.33333,1.2333333,0.123333335,1.2333333E-04,6.916688E-09,8.3166626E-05,9.7E-05,9.6999995E-02
431,100.233315,1.0023332,0.10023332,1.00233316E-04,100.233315,1.0023332,0.10023332,1.00233316E-04,3.6535786E-09,6.044484E-05,8E-05,8E-02
441,155.83333,1.5583333,0.15583333,1.5583333E-04,155.83333,1.5583333,0.15583333,1.5583333E-04,1.5164606E-08,1.2314465E-04,1.2E-04,0.12
451,150.2,1.502,0.1502,1.502E-04,150.2,1.502,0.1502,1.502E-04,9.82596E-09,9.912598E-05,1.23E-04,0.123
461,79.10001,0.7910001,7.910001E-02,7.910001E-05,79.10001,0.7910001,7.910001E-02,7.910001E-05,2.7012235E-09,5.1973297E-05,6.4E-05,6.4E-02
471,153.59999,1.5359999,0.15359999,1.5359999E-04,153.59999,1.5359999,0.15359999,1.5359999E-04,1.0722839E-08,1.0355114E-04,1.18E-04,0.118
481,152.6,1.5260001,0.1526,1.5260001E-04,152.6,1.5260001,0.1526,1.5260001E-04,1.1715307E-08,1.0823727E-04,1.08E-04,0.108
491,221.06665,2.2106667,0.22106665,2.2106666E-04,221.06665,2.2106667,0.22106665,2.2106666E-04,1.807053E-08,1.3442668E-04,1.8E-04,0.18
501,246.30002,2.463,0.24630001,2.463E-04,246.30002,2.463,0.24630001,2.463E-04,2.8842956E-07,5.3705636E-04,1.33E-04,0.133
511,128.23332,1.2823333,0.12823333,1.2823333E-04,128.23332,1.2823333,0.12823333,1.2823333E-04,9.855511E-09,9.927493E-05,9.7E-05,9.6999995E-02
521,144.9,1.449,0.1449,1.449E-04,144.9,1.449,0.1449,1.449E-04,2.2195625E-08,1.4898196E-04,1.09E-04,0.109
531,162.6,1.626,0.1626,1.626E-04,162.6,1.626,0.1626,1.626E-04,2.1855772E-08,1.4783698E-04,1.21E-04,0.121
541,173.13333,1.7313334,0.17313333,1.7313333E-04,173.13333,1.7313334,0.17313333,1.7313333E-04,2.2049582E-08,1.4849102E-04,1.34E-04,0.134
551,215.49998,2.1549997,0.21549998,2.1549998E-04,215.49998,2.1549997,0.21549998,2.1549998E-04,1.6472516E-08,1.283453E-04,1.77E-04,0.177
561,133.03333,1.3303334,0.13303334,1.3303333E-04,133.03333,1.3303334,0.13303334,1.3303333E-04,8.238499E-09,9.0766174E-05,1.03E-04,0.103
571,137.7,1.377,0.1377,1.377E-04,137.7,1.377,0.1377,1.377E-04,1.6579742E-08,1.2876235E-04,1.01E-04,0.100999996
581,148.9,1.489,0.1489,1.489E-04,148.9,1.489,0.1489,1.489E-04,7.76909E-09,8.814244E-05,1.17E-04,0.117000006
591,263.03336,2.6303334,0.26303336,2.6303335E-04,263.03336,2.6303334,0.26303336,2.6303335E-04,3.3570515E-07,5.794007E-04,1.36E-04,0.136
601,574.5667,5.745667,0.5745667,5.745667E-04,574.5667,5.745667,0.5745667,5.745667E-04,1.9936698E-07,4.465053E-04,4.86E-04,0.486
611,671.1001,6.711001,0.6711001,6.711001E-04,671.1001,6.711001,0.6711001,6.711001E-04,2.7043538E-07,5.20034E-04,5.74E-04,0.574
621,478.90002,4.7890005,0.47890005,4.7890004E-04,478.90002,4.7890005,0.47890005,4.7890004E-04,2.2933446E-07,4.7888877E-04,3.67E-04,0.367
631,577.13336,5.7713337,0.57713336,5.771334E-04,577.13336,5.7713337,0.57713336,5.771334E-04,7.0511152E-09,8.397092E-05,5.72E-04,0.57199997
641,502.30005,5.0230002,0.5023,5.0230004E-04,502.30005,5.0230002,0.5023,5.0230004E-04,2.2926172E-07,4.788128E-04,4.15E-04,0.415
651,583.39996,5.8339996,0.58339995,5.8339996E-04,583.39996,5.8339996,0.58339995,5.8339996E-04,4.269354E-07,6.5340294E-04,4.59E-04,0.459
661,496.2667,4.962667,0.4962667,4.962667E-04,496.2667,4.962667,0.4962667,4.962667E-04,1.0009596E-08,1.0004797E-04,4.86E-04,0.486
671,762.3,7.6229997,0.76229995,7.623E-04,762.3,7.6229997,0.76229995,7.623E-04,2.6299932E-07,5.128346E-04,6.44E-04,0.644
681,507.2,5.072,0.5072,5.072E-04,507.2,5.072,0.5072,5.072E-04,1.3187958E-08,1.1483883E-04,4.9E-04,0.49
691,512.7999,5.1279993,0.5127999,5.1279995E-04,512.7999,5.1279993,0.5127999,5.1279995E-04,2.654035E-07,5.1517325E-04,4.18E-04,0.418
701,655.0666,6.550666,0.65506655,6.550666E-04,655.0666,6.550666,0.65506655,6.550666E-04,2.9782596E-08,1.7257634E-04,5.73E-04,0.573
711,510.3,5.1029997,0.5103,5.103E-04,510.3,5.1029997,0.5103,5.103E-04,6.0286776E-09,7.764456E-05,4.89E-04,0.489
721,552.76666,5.5276666,0.5527667,5.5276667E-04,552.76666,5.5276666,0.5527667,5.5276667E-04,7.374579E-09,8.587537E-05,5.33E-04,0.533
731,655.7001,6.557001,0.6557001,6.557001E-04,655.7001,6.557001,0.6557001,6.557001E-04,8.007742E-09,8.948599E-05,6.38E-04,0.638
741,493.56668,4.935667,0.4935667,4.935667E-04,493.56668,4.935667,0.4935667,4.935667E-04,3.6917127E-09,6.0759467E-05,4.86E-04,0.486
751,559.76666,5.5976667,0.55976665,5.5976666E-04,559.76666,5.5976667,0.55976665,5.5976666E-04,6.2051786E-09,7.877296E-05,5.45E-04,0.545
761,674.1667,6.7416673,0.67416674,6.741667E-04,674.1667,6.7416673,0.67416674,6.741667E-04,4.1270994E-07,6.4242503E-04,5.61E-04,0.56100005
771,654.4,6.544,0.65440005,6.5440004E-04,654.4,6.544,0.65440005,6.5440004E-04,8.003907E-09,8.946456E-05,6.38E-04,0.638
781,455.76672,4.5576673,0.4557667,4.557667E-04,455.76672,4.5576673,0.4557667,4.557667E-04,7.503247E-09,8.662129E-05,4.41E-04,0.441
791,623.76666,6.2376666,0.62376666,6.237667E-04,623.76666,6.2376666,0.62376666,6.237667E-04,8.460767E-07,9.198243E-04,4.23E-04,0.42299998
801,518.1,5.1809998,0.51809996,5.181E-04,518.1,5.1809998,0.51809996,5.181E-04,4.6939217E-08,2.166546E-04,4.63E-04,0.463
811,744.5334,7.445334,0.74453336,7.445334E-04,744.5334,7.445334,0.74453336,7.445334E-04,3.7502982E-08,1.9365687E-04,7.02E-04,0.70199996
821,722.1,7.2209997,0.72209996,7.2209997E-04,722.1,7.2209997,0.72209996,7.2209997E-04,1.8150892E-08,1.3472525E-04,6.96E-04,0.696
831,621.26666,6.2126665,0.62126666,6.2126666E-04,621.26666,6.2126665,0.62126666,6.2126666E-04,2.4022798E-08,1.549929E-04,5.99E-04,0.59900004
841,475.06665,4.7506666,0.47506666,4.7506666E-04,475.06665,4.7506666,0.47506666,4.7506666E-04,7.573463E-09,8.702564E-05,4.6E-04,0.46
851,703.19995,7.0319996,0.7031999,7.0319994E-04,703.19995,7.0319996,0.7031999,7.0319994E-04,3.9150684E-08,1.9786532E-04,6.68E-04,0.66800004
861,574.76666,5.7476664,0.57476664,5.7476666E-04,574.76666,5.7476664,0.57476664,5.7476666E-04,1.2791244E-08,1.1309838E-04,5.58E-04,0.558
871,626.8334,6.2683334,0.6268334,6.2683335E-04,626.8334,6.2683334,0.6268334,6.2683335E-04,4.7099644E-07,6.862918E-04,4.75E-04,0.475
881,681.7333,6.817333,0.6817333,6.817333E-04,681.7333,6.817333,0.6817333,6.817333E-04,3.5097E-08,1.8734192E-04,6.28E-04,0.628
