n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
11,231.90001,2.319,0.2319,2.319E-04,231.90001,2.319,0.2319,2.319E-04,4.6368234E-09,6.8094225E-05,2.06E-04,0.206
111,10683.166,106.83166,10.683166,1.0683166E-02,10683.166,106.83166,10.683166,1.0683166E-02,1.4578333E-07,3.8181583E-04,1.0671E-02,10.671
211,37445.504,374.45505,37.445503,3.7445504E-02,37445.504,374.45505,37.445503,3.7445504E-02,3.32504E-06,1.8234693E-03,3.7088E-02,37.087997
311,84651.4,846.514,84.6514,8.4651396E-02,84651.4,846.514,84.6514,8.4651396E-02,2.693187E-06,1.6410933E-03,8.4722E-02,84.722
411,147234.38,1472.3438,147.23438,0.14723438,147234.38,1472.3438,147.23438,0.14723438,9.401042E-06,3.0661118E-03,0.146215,146.21501
511,231796.97,2317.9697,231.79697,0.23179697,231796.97,2317.9697,231.79697,0.23179697,1.4072488E-05,3.7513315E-03,0.230657,230.657
611,334449.13,3344.4912,334.44913,0.3344491,334449.13,3344.4912,334.44913,0.3344491,3.1520605E-05,5.614321E-03,0.333499,333.49902
711,443115.25,4431.1523,443.11523,0.44311523,443115.25,4431.1523,443.11523,0.44311523,2.493384E-05,4.9933796E-03,0.443039,443.039
811,609756.4,6097.5635,609.75635,0.60975635,609756.4,6097.5635,609.75635,0.60975635,2.9030274E-05,5.387975E-03,0.60903,609.03
911,793059.9,7930.5986,793.0599,0.7930599,793059.9,7930.5986,793.0599,0.7930599,1.1634179E-04,1.0786185E-02,0.78959,789.59
1011,991194.56,9911.945,991.1945,0.99119455,991194.56,9911.945,991.1945,0.99119455,1.869048E-05,4.3232488E-03,0.99094,990.94
1111,1222799.3,12227.993,1222.7993,1.2227993,1222799.3,12227.993,1222.7993,1.2227993,6.245637E-05,7.902934E-03,1.221295,1221.295
1211,1473599.1,14735.991,1473.5991,1.4735991,1473599.1,14735.991,1473.5991,1.4735991,5.46091E-05,7.389797E-03,1.471506,1471.506
1311,1712363.8,17123.637,1712.3638,1.7123637,1712363.8,17123.637,1712.3638,1.7123637,1.228596E-04,1.1084205E-02,1.711726,1711.726
1411,2050199.3,20501.992,2050.1992,2.0501993,2050199.3,20501.992,2050.1992,2.0501993,2.7182995E-04,1.6487267E-02,2.045382,2045.3821
1511,2412865.5,24128.654,2412.8655,2.4128654,2412865.5,24128.654,2412.8655,2.4128654,1.11512694E-04,1.05599575E-02,2.41022,2410.22
1611,2674267.0,26742.67,2674.267,2.674267,2674267.0,26742.67,2674.267,2.674267,1.2876147E-04,1.1347312E-02,2.673425,2673.425
1711,3048028.0,30480.28,3048.028,3.048028,3048028.0,30480.28,3048.028,3.048028,9.6858545E-05,9.841674E-03,3.049615,3049.615
1811,3579175.5,35791.754,3579.1755,3.5791755,3579175.5,35791.754,3579.1755,3.5791755,2.6154346E-04,1.6172305E-02,3.578137,3578.137
1911,3838249.0,38382.49,3838.249,3.838249,3838249.0,38382.49,3838.249,3.838249,7.564355E-05,8.69733E-03,3.840147,3840.147
2011,4377944.0,43779.44,4377.944,4.377944,4377944.0,43779.44,4377.944,4.377944,2.203056E-02,0.14842695,4.296707,4296.707
2111,4789388.5,47893.887,4789.3887,4.7893887,4789388.5,47893.887,4789.3887,4.7893887,7.192932E-04,2.6819643E-02,4.782368,4782.368
2211,5397746.0,53977.46,5397.746,5.397746,5397746.0,53977.46,5397.746,5.397746,1.1347276E-03,3.3685718E-02,5.386653,5386.653
2311,5994576.0,59945.76,5994.576,5.994576,5994576.0,59945.76,5994.576,5.994576,2.370287E-03,4.868559E-02,5.980154,5980.154
2411,6390916.0,63909.16,6390.916,6.390916,6390916.0,63909.16,6390.916,6.390916,1.4489794E-03,3.8065463E-02,6.375767,6375.767
2511,6940050.0,69400.5,6940.0503,6.94005,6940050.0,69400.5,6940.0503,6.94005,9.693177E-04,3.1133868E-02,6.928433,6928.433
2611,7661831.5,76618.31,7661.8315,7.6618314,7661831.5,76618.31,7661.8315,7.6618314,1.7738234E-03,4.2116784E-02,7.654534,7654.5337
2711,8198260.5,81982.6,8198.261,8.19826,8198260.5,81982.6,8198.261,8.19826,1.4893244E-03,3.8591765E-02,8.182762,8182.762
2811,9134521.0,91345.2,9134.5205,9.134521,9134521.0,91345.2,9134.5205,9.134521,1.4433446E-03,3.7991375E-02,9.123865,9123.865
2911,9944152.0,99441.516,9944.152,9.944152,9944152.0,99441.516,9944.152,9.944152,3.982478E-03,6.310688E-02,9.929812,9929.8125
3011,1.0499289E+07,104992.88,10499.288,10.499289,1.0499289E+07,104992.88,10499.288,10.499289,3.1704025E-03,5.630633E-02,10.483036,10483.036
