n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
11,231.90001,2.319,0.2319,2.319E-04,231.90001,2.319,0.2319,2.319E-04,4.6368234E-09,6.8094225E-05,2.06E-04,0.206
21,611.0334,6.110334,0.6110334,6.110334E-04,611.0334,6.110334,0.6110334,6.110334E-04,1.0636631E-08,1.0313404E-04,5.74E-04,0.574
31,1201.4666,12.014666,1.2014666,1.2014665E-03,1201.4666,12.014666,1.2014666,1.2014665E-03,1.3171981E-08,1.1476925E-04,1.168E-03,1.1680001
41,1776.1002,17.761002,1.7761003,1.7761003E-03,1776.1002,17.761002,1.7761003,1.7761003E-03,3.250682E-08,1.8029647E-04,1.726E-03,1.726
51,2665.3665,26.653666,2.6653664,2.6653665E-03,2665.3665,26.653666,2.6653664,2.6653665E-03,7.7868325E-09,8.824303E-05,2.647E-03,2.6469998
61,3576.0671,35.76067,3.576067,3.576067E-03,3576.0671,35.76067,3.576067,3.576067E-03,1.2627632E-07,3.5535378E-04,3.5E-03,3.5
71,4489.866,44.898663,4.4898663,4.489866E-03,4489.866,44.898663,4.4898663,4.489866E-03,2.4263251E-08,1.5576665E-04,4.468E-03,4.468
81,5660.4663,56.604664,5.660466,5.6604664E-03,5660.4663,56.604664,5.660466,5.6604664E-03,5.4653306E-08,2.3378046E-04,5.618E-03,5.618
91,7581.9,75.819,7.5818996,7.5819E-03,7581.9,75.819,7.5818996,7.5819E-03,9.373308E-08,3.061586E-04,7.544E-03,7.544
101,8923.4,89.234,8.9234,8.9234E-03,8923.4,89.234,8.9234,8.9234E-03,1.2012943E-07,3.4659693E-04,8.827E-03,8.827
111,10683.166,106.83166,10.683166,1.0683166E-02,10683.166,106.83166,10.683166,1.0683166E-02,1.4578333E-07,3.8181583E-04,1.0671E-02,10.671
121,12903.665,129.03665,12.903666,1.2903665E-02,12903.665,129.03665,12.903666,1.2903665E-02,1.6039439E-07,4.004927E-04,1.2879E-02,12.879
131,15071.964,150.71964,15.071964,1.5071964E-02,15071.964,150.71964,15.071964,1.5071964E-02,8.2750154E-07,9.0967113E-04,1.4832E-02,14.832
141,17958.068,179.58069,17.958069,1.795807E-02,17958.068,179.58069,17.958069,1.795807E-02,2.2464866E-07,4.7397116E-04,1.7822E-02,17.821999
151,19330.436,193.30437,19.330437,1.9330436E-02,19330.436,193.30437,19.330437,1.9330436E-02,6.4660725E-07,8.041189E-04,1.9256E-02,19.255999
161,22744.996,227.44997,22.744997,2.2744996E-02,22744.996,227.44997,22.744997,2.2744996E-02,4.9221825E-07,7.015827E-04,2.2617E-02,22.616999
171,24062.8,240.628,24.062801,2.4062801E-02,24062.8,240.628,24.062801,2.4062801E-02,3.501073E-07,5.916987E-04,2.3905E-02,23.904999
181,27293.963,272.93964,27.293962,2.7293963E-02,27293.963,272.93964,27.293962,2.7293963E-02,8.3752553E-07,9.151642E-04,2.7137E-02,27.137001
191,30871.195,308.71194,30.871195,3.0871196E-02,30871.195,308.71194,30.871195,3.0871196E-02,1.2959084E-06,1.1383797E-03,3.0872E-02,30.872
201,36487.297,364.87296,36.487297,3.6487296E-02,36487.297,364.87296,36.487297,3.6487296E-02,1.0495975E-06,1.0244986E-03,3.6398E-02,36.398003
211,37445.504,374.45505,37.445503,3.7445504E-02,37445.504,374.45505,37.445503,3.7445504E-02,3.32504E-06,1.8234693E-03,3.7088E-02,37.087997
221,42786.566,427.86566,42.786564,4.2786565E-02,42786.566,427.86566,42.786564,4.2786565E-02,2.163865E-06,1.4710082E-03,4.2308E-02,42.308
231,46488.164,464.88165,46.488167,4.6488166E-02,46488.164,464.88165,46.488167,4.6488166E-02,1.3423412E-06,1.1585945E-03,4.6188E-02,46.188
241,52975.43,529.75433,52.97543,5.297543E-02,52975.43,529.75433,52.97543,5.297543E-02,3.1206525E-06,1.7665369E-03,5.2622E-02,52.622
251,54952.23,549.5223,54.95223,5.495223E-02,54952.23,549.5223,54.95223,5.495223E-02,2.4747008E-06,1.5731181E-03,5.4595E-02,54.595
261,57512.29,575.1229,57.51229,5.751229E-02,57512.29,575.1229,57.51229,5.751229E-02,1.9831546E-06,1.4082452E-03,5.7306E-02,57.306
271,64557.574,645.57574,64.55757,6.4557575E-02,64557.574,645.57574,64.55757,6.4557575E-02,2.1503724E-06,1.4664148E-03,6.4187E-02,64.187
281,70754.54,707.54535,70.75453,7.0754535E-02,70754.54,707.54535,70.75453,7.0754535E-02,5.54292E-06,2.3543406E-03,7.04E-02,70.4
291,72968.34,729.6834,72.96834,7.296834E-02,72968.34,729.6834,72.96834,7.296834E-02,3.3554093E-06,1.8317776E-03,7.2944E-02,72.944
301,76828.734,768.28735,76.828735,7.682873E-02,76828.734,768.28735,76.828735,7.682873E-02,3.6570245E-06,1.9123348E-03,7.6566E-02,76.566
311,84651.4,846.514,84.6514,8.4651396E-02,84651.4,846.514,84.6514,8.4651396E-02,2.693187E-06,1.6410933E-03,8.4722E-02,84.722
321,91576.49,915.76495,91.57649,9.1576494E-02,91576.49,915.76495,91.57649,9.1576494E-02,6.963014E-06,2.6387523E-03,9.161E-02,91.61
331,94949.4,949.494,94.9494,9.49494E-02,94949.4,949.494,94.9494,9.49494E-02,2.453445E-06,1.5663477E-03,9.4575E-02,94.575005
341,101509.18,1015.09174,101.50918,0.101509176,101509.18,1015.09174,101.50918,0.101509176,3.1573788E-06,1.7769014E-03,0.101511,101.511
351,106608.875,1066.0887,106.60887,0.106608875,106608.875,1066.0887,106.60887,0.106608875,4.1990556E-06,2.0491597E-03,0.1067,106.700005
