n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 457.0405, 4.570405, 0.4570405, 4.570405e-4, 457040.5, 4570.405, 457.0405, 0.4570405, 9.861882e-4, 3.1403635e-2, 0.451469, 451.469, 0.451469, 451.469
3001, 444.02206, 4.440221, 0.44402206, 4.4402207e-4, 444022.06, 4440.2207, 444.02206, 0.44402206, 8.007287e-5, 8.948345e-3, 0.442331, 442.331, 0.442331, 442.331
2991, 450.05127, 4.5005126, 0.45005128, 4.5005127e-4, 450051.28, 4500.5127, 450.05127, 0.45005128, 3.5719935e-5, 5.9766155e-3, 0.44913, 449.13, 0.44913, 449.13
2981, 454.85196, 4.5485196, 0.45485196, 4.5485195e-4, 454851.97, 4548.5195, 454.85196, 0.45485196, 4.8238428e-5, 6.945389e-3, 0.45247, 452.47, 0.45247, 452.47
2971, 445.159, 4.45159, 0.44515902, 4.45159e-4, 445159.03, 4451.5903, 445.15903, 0.44515902, 6.149249e-5, 7.841715e-3, 0.444694, 444.694, 0.444694, 444.694
2961, 441.41284, 4.4141283, 0.44141284, 4.4141285e-4, 441412.84, 4414.1284, 441.41284, 0.44141284, 3.4624056e-5, 5.884221e-3, 0.440406, 440.406, 0.440406, 440.406
2951, 443.2808, 4.432808, 0.4432808, 4.432808e-4, 443280.78, 4432.808, 443.2808, 0.4432808, 5.4559867e-5, 7.386465e-3, 0.441541, 441.541, 0.441541, 441.541
2941, 435.46994, 4.354699, 0.43546993, 4.3546993e-4, 435469.94, 4354.699, 435.46994, 0.43546993, 4.6773315e-5, 6.839102e-3, 0.434161, 434.161, 0.434161, 434.161
2931, 428.74115, 4.2874117, 0.42874116, 4.2874116e-4, 428741.16, 4287.4116, 428.74115, 0.42874116, 9.152875e-5, 9.567066e-3, 0.42619, 426.19, 0.42619, 426.19
2921, 422.36716, 4.2236714, 0.42236716, 4.2236716e-4, 422367.16, 4223.6714, 422.36716, 0.42236716, 4.928087e-5, 7.0200334e-3, 0.420009, 420.00897, 0.420009, 420.009
2911, 418.3984, 4.1839843, 0.4183984, 4.183984e-4, 418398.4, 4183.984, 418.3984, 0.4183984, 5.96812e-5, 7.725361e-3, 0.415481, 415.481, 0.415481, 415.481
2901, 425.0072, 4.250072, 0.4250072, 4.250072e-4, 425007.2, 4250.072, 425.0072, 0.4250072, 5.2247182e-5, 7.2282213e-3, 0.423618, 423.61798, 0.423618, 423.61798
2891, 417.01358, 4.170136, 0.4170136, 4.170136e-4, 417013.6, 4170.1357, 417.01358, 0.4170136, 5.0581628e-5, 7.112076e-3, 0.41543, 415.43002, 0.41543, 415.43
2881, 421.40427, 4.2140427, 0.42140424, 4.2140426e-4, 421404.25, 4214.0425, 421.40424, 0.42140424, 5.0732055e-5, 7.1226438e-3, 0.419937, 419.937, 0.419937, 419.937
2871, 418.90372, 4.1890373, 0.4189037, 4.189037e-4, 418903.72, 4189.037, 418.90372, 0.4189037, 4.438389e-5, 6.6621234e-3, 0.416554, 416.55402, 0.416554, 416.55402
2861, 415.5029, 4.155029, 0.4155029, 4.155029e-4, 415502.9, 4155.0293, 415.5029, 0.4155029, 6.0113296e-5, 7.7532763e-3, 0.41282, 412.82, 0.41282, 412.82004
2851, 411.09622, 4.1109624, 0.41109625, 4.1109623e-4, 411096.25, 4110.9624, 411.09625, 0.41109625, 7.441094e-5, 8.626178e-3, 0.408044, 408.044, 0.408044, 408.044
2841, 403.51953, 4.0351954, 0.40351954, 4.0351955e-4, 403519.53, 4035.1953, 403.51953, 0.40351954, 5.8749043e-5, 7.6647922e-3, 0.401769, 401.769, 0.401769, 401.769
2831, 404.24136, 4.0424137, 0.40424135, 4.0424135e-4, 404241.34, 4042.4136, 404.24136, 0.40424135, 5.3057596e-5, 7.2840643e-3, 0.403541, 403.541, 0.403541, 403.541
2821, 394.22708, 3.9422708, 0.39422706, 3.9422707e-4, 394227.06, 3942.2705, 394.22705, 0.39422706, 6.0098384e-5, 7.7523147e-3, 0.392805, 392.80502, 0.392805, 392.805
2811, 432.9916, 4.329916, 0.4329916, 4.329916e-4, 432991.6, 4329.916, 432.9916, 0.4329916, 4.175018e-5, 6.461438e-3, 0.431347, 431.34702, 0.431347, 431.347
2801, 430.0223, 4.300223, 0.4300223, 4.300223e-4, 430022.3, 4300.223, 430.0223, 0.4300223, 6.110766e-5, 7.817139e-3, 0.428244, 428.244, 0.428244, 428.24402
2791, 423.64716, 4.2364717, 0.42364714, 4.2364714e-4, 423647.13, 4236.471, 423.64713, 0.42364714, 5.96786e-5, 7.7251927e-3, 0.421721, 421.721, 0.421721, 421.721
2781, 420.50555, 4.2050557, 0.42050555, 4.2050556e-4, 420505.56, 4205.0557, 420.50555, 0.42050555, 4.4911616e-5, 6.701613e-3, 0.420053, 420.053, 0.420053, 420.053
2771, 419.0522, 4.1905217, 0.41905218, 4.1905217e-4, 419052.2, 4190.522, 419.0522, 0.41905218, 5.6200963e-5, 7.49673e-3, 0.417746, 417.746, 0.417746, 417.74603
2761, 419.19705, 4.1919703, 0.41919705, 4.1919705e-4, 419197.06, 4191.9707, 419.19705, 0.41919705, 4.439718e-5, 6.663121e-3, 0.418777, 418.77698, 0.418777, 418.777
2751, 413.74277, 4.137428, 0.41374275, 4.1374276e-4, 413742.75, 4137.4277, 413.74274, 0.41374275, 3.8414724e-5, 6.1979615e-3, 0.412109, 412.10898, 0.412109, 412.10898
2741, 419.8096, 4.198096, 0.4198096, 4.198096e-4, 419809.63, 4198.096, 419.8096, 0.4198096, 5.9790087e-5, 7.732405e-3, 0.418671, 418.67102, 0.418671, 418.671
2731, 409.8749, 4.098749, 0.40987492, 4.0987492e-4, 409874.9, 4098.749, 409.8749, 0.40987492, 1.3032598e-4, 1.141604e-2, 0.4065, 406.5, 0.4065, 406.5
2721, 415.33743, 4.1533747, 0.41533744, 4.1533745e-4, 415337.44, 4153.3745, 415.33743, 0.41533744, 6.245221e-5, 7.902671e-3, 0.413986, 413.986, 0.413986, 413.98602
2711, 414.10498, 4.14105, 0.414105, 4.14105e-4, 414105.0, 4141.05, 414.105, 0.414105, 3.601224e-5, 6.00102e-3, 0.412851, 412.851, 0.412851, 412.851
2701, 405.29108, 4.052911, 0.40529108, 4.0529107e-4, 405291.1, 4052.911, 405.29108, 0.40529108, 4.404053e-5, 6.636304e-3, 0.404485, 404.485, 0.404485, 404.485
2691, 399.823, 3.99823, 0.399823, 3.99823e-4, 399823.0, 3998.23, 399.823, 0.399823, 4.299705e-5, 6.5572136e-3, 0.398803, 398.803, 0.398803, 398.803
2681, 396.64224, 3.9664226, 0.39664224, 3.9664225e-4, 396642.25, 3966.4224, 396.64224, 0.39664224, 5.5665278e-5, 7.460917e-3, 0.394405, 394.405, 0.394405, 394.405
2671, 391.43747, 3.9143746, 0.39143747, 3.9143747e-4, 391437.47, 3914.3748, 391.43747, 0.39143747, 3.4949026e-5, 5.9117703e-3, 0.390099, 390.099, 0.390099, 390.09897
2661, 393.0495, 3.930495, 0.3930495, 3.930495e-4, 393049.5, 3930.495, 393.0495, 0.3930495, 6.121277e-5, 7.823859e-3, 0.391338, 391.33798, 0.391338, 391.33798
2651, 387.45065, 3.8745065, 0.38745067, 3.8745065e-4, 387450.66, 3874.5066, 387.45065, 0.38745067, 2.8769642e-5, 5.363734e-3, 0.386476, 386.476, 0.386476, 386.476
2641, 387.09415, 3.8709416, 0.38709417, 3.8709416e-4, 387094.16, 3870.9417, 387.09418, 0.38709417, 7.5775635e-5, 8.70492e-3, 0.386362, 386.362, 0.386362, 386.362
2631, 388.33524, 3.8833523, 0.38833523, 3.8833523e-4, 388335.22, 3883.3523, 388.33524, 0.38833523, 8.8001616e-5, 9.380918e-3, 0.385822, 385.822, 0.385822, 385.822
2621, 390.7332, 3.907332, 0.39073318, 3.9073318e-4, 390733.2, 3907.3318, 390.7332, 0.39073318, 9.169933e-5, 9.575977e-3, 0.388553, 388.55298, 0.388553, 388.55298
2611, 380.78787, 3.8078787, 0.38078788, 3.8078788e-4, 380787.88, 3807.879, 380.78787, 0.38078788, 9.717576e-5, 9.857777e-3, 0.377791, 377.791, 0.377791, 377.791
2601, 382.7024, 3.827024, 0.38270238, 3.827024e-4, 382702.38, 3827.024, 382.7024, 0.38270238, 4.337307e-5, 6.5858234e-3, 0.380644, 380.64398, 0.380644, 380.64398
2591, 374.98636, 3.7498636, 0.37498635, 3.7498635e-4, 374986.34, 3749.8635, 374.98636, 0.37498635, 3.180375e-5, 5.6394814e-3, 0.373761, 373.761, 0.373761, 373.761
2581, 369.6206, 3.6962059, 0.3696206, 3.696206e-4, 369620.6, 3696.2058, 369.6206, 0.3696206, 3.1790816e-5, 5.6383344e-3, 0.370013, 370.013, 0.370013, 370.013
2571, 366.25964, 3.6625965, 0.36625966, 3.6625966e-4, 366259.66, 3662.5967, 366.25967, 0.36625966, 2.9362045e-5, 5.4186755e-3, 0.365899, 365.899, 0.365899, 365.89902
2561, 373.84464, 3.7384465, 0.37384465, 3.7384464e-4, 373844.66, 3738.4465, 373.84467, 0.37384465, 2.8355968e-5, 5.325032e-3, 0.373866, 373.866, 0.373866, 373.866
2551, 354.04437, 3.5404437, 0.35404438, 3.5404437e-4, 354044.38, 3540.4438, 354.04437, 0.35404438, 6.084076e-5, 7.8000487e-3, 0.353058, 353.058, 0.353058, 353.058
2541, 367.79303, 3.67793, 0.36779302, 3.6779302e-4, 367793.03, 3677.9302, 367.79303, 0.36779302, 3.1396234e-5, 5.6032343e-3, 0.366703, 366.703, 0.366703, 366.703
2531, 368.58682, 3.6858683, 0.36858684, 3.6858683e-4, 368586.84, 3685.8684, 368.58685, 0.36858684, 2.974524e-5, 5.4539195e-3, 0.368072, 368.072, 0.368072, 368.07202
2521, 360.49338, 3.6049337, 0.36049336, 3.6049337e-4, 360493.38, 3604.9336, 360.49335, 0.36049336, 4.4610144e-5, 6.6790828e-3, 0.359152, 359.15198, 0.359152, 359.15198
2511, 368.0236, 3.6802359, 0.36802357, 3.6802358e-4, 368023.56, 3680.2358, 368.02356, 0.36802357, 6.605483e-5, 8.127413e-3, 0.36601, 366.01, 0.36601, 366.01
2501, 350.4866, 3.5048661, 0.3504866, 3.504866e-4, 350486.6, 3504.866, 350.4866, 0.3504866, 2.7369719e-5, 5.2316077e-3, 0.349491, 349.491, 0.349491, 349.491
2491, 354.4944, 3.5449438, 0.35449436, 3.5449438e-4, 354494.38, 3544.9436, 354.49435, 0.35449436, 5.6997247e-5, 7.549652e-3, 0.352832, 352.832, 0.352832, 352.832
2481, 353.20108, 3.5320108, 0.3532011, 3.532011e-4, 353201.1, 3532.011, 353.20108, 0.3532011, 5.3184784e-5, 7.29279e-3, 0.351, 351.0, 0.351, 351.00003
2471, 348.06628, 3.4806628, 0.34806627, 3.4806627e-4, 348066.28, 3480.6626, 348.06628, 0.34806627, 4.93128e-5, 7.0223073e-3, 0.348, 348.0, 0.348, 348.0
2461, 339.80734, 3.3980732, 0.33980733, 3.3980733e-4, 339807.34, 3398.0732, 339.80734, 0.33980733, 1.9908974e-5, 4.4619474e-3, 0.339112, 339.112, 0.339112, 339.112
2451, 352.94037, 3.5294037, 0.35294038, 3.5294038e-4, 352940.38, 3529.4038, 352.94037, 0.35294038, 5.915556e-5, 7.691265e-3, 0.351182, 351.182, 0.351182, 351.182
2441, 342.78644, 3.4278643, 0.34278643, 3.4278643e-4, 342786.44, 3427.8643, 342.78644, 0.34278643, 3.447114e-5, 5.871213e-3, 0.341765, 341.76498, 0.341765, 341.765
2431, 339.92645, 3.3992646, 0.33992645, 3.3992645e-4, 339926.44, 3399.2644, 339.92645, 0.33992645, 4.8051937e-5, 6.9319503e-3, 0.338421, 338.421, 0.338421, 338.421
2421, 338.67245, 3.3867245, 0.33867246, 3.3867246e-4, 338672.47, 3386.7246, 338.67245, 0.33867246, 7.2870775e-5, 8.536438e-3, 0.335893, 335.893, 0.335893, 335.893
2411, 334.13846, 3.3413846, 0.33413845, 3.3413846e-4, 334138.44, 3341.3845, 334.13846, 0.33413845, 3.0505178e-5, 5.5231494e-3, 0.333265, 333.265, 0.333265, 333.26498
2401, 335.4596, 3.354596, 0.3354596, 3.354596e-4, 335459.6, 3354.596, 335.4596, 0.3354596, 3.3735367e-5, 5.8082156e-3, 0.333682, 333.682, 0.333682, 333.682
2391, 321.46362, 3.2146363, 0.3214636, 3.2146362e-4, 321463.63, 3214.6362, 321.46362, 0.3214636, 4.5686513e-5, 6.7591798e-3, 0.320717, 320.717, 0.320717, 320.71698
2381, 322.97928, 3.2297926, 0.32297927, 3.2297926e-4, 322979.28, 3229.7927, 322.97928, 0.32297927, 3.9847553e-5, 6.312492e-3, 0.3209, 320.9, 0.3209, 320.9
2371, 316.7079, 3.1670787, 0.31670788, 3.1670788e-4, 316707.88, 3167.0789, 316.7079, 0.31670788, 5.1976556e-5, 7.209477e-3, 0.314875, 314.875, 0.314875, 314.875
2361, 327.85, 3.2784998, 0.32784998, 3.2785e-4, 327849.97, 3278.4998, 327.84998, 0.32784998, 2.8142476e-5, 5.3049484e-3, 0.326367, 326.367, 0.326367, 326.36697
2351, 325.26053, 3.2526054, 0.32526055, 3.2526054e-4, 325260.56, 3252.6055, 325.26056, 0.32526055, 3.052197e-5, 5.5246693e-3, 0.324999, 324.999, 0.324999, 324.99902
2341, 320.87265, 3.2087264, 0.32087263, 3.2087264e-4, 320872.63, 3208.7263, 320.87262, 0.32087263, 6.3167965e-5, 7.947828e-3, 0.31925, 319.25, 0.31925, 319.25
2331, 319.8038, 3.198038, 0.3198038, 3.198038e-4, 319803.8, 3198.038, 319.8038, 0.3198038, 4.3972148e-5, 6.63115e-3, 0.318779, 318.779, 0.318779, 318.779
2321, 318.07578, 3.1807575, 0.31807578, 3.1807576e-4, 318075.78, 3180.7578, 318.07578, 0.31807578, 3.489031e-5, 5.9068017e-3, 0.316496, 316.496, 0.316496, 316.496
2311, 305.87607, 3.058761, 0.30587608, 3.0587608e-4, 305876.06, 3058.7607, 305.87607, 0.30587608, 4.0340226e-5, 6.3513955e-3, 0.305698, 305.698, 0.305698, 305.69803
2301, 302.19067, 3.0219069, 0.3021907, 3.021907e-4, 302190.7, 3021.907, 302.1907, 0.3021907, 3.1967837e-5, 5.6540105e-3, 0.301463, 301.463, 0.301463, 301.463
2291, 308.11658, 3.0811658, 0.30811659, 3.0811658e-4, 308116.6, 3081.1658, 308.11658, 0.30811659, 1.6031477e-4, 1.26615465e-2, 0.30469, 304.69, 0.30469, 304.69
2281, 298.0208, 2.9802082, 0.2980208, 2.980208e-4, 298020.8, 2980.208, 298.0208, 0.2980208, 3.8167133e-4, 1.953641e-2, 0.292828, 292.828, 0.292828, 292.82797
2271, 312.5788, 3.125788, 0.3125788, 3.125788e-4, 312578.8, 3125.788, 312.5788, 0.3125788, 4.4336273e-5, 6.658549e-3, 0.310741, 310.741, 0.310741, 310.74103
2261, 309.05945, 3.0905945, 0.30905944, 3.0905945e-4, 309059.44, 3090.5945, 309.05945, 0.30905944, 3.993951e-5, 6.3197715e-3, 0.307383, 307.383, 0.307383, 307.383
2251, 301.17615, 3.0117617, 0.30117616, 3.0117616e-4, 301176.16, 3011.7617, 301.17615, 0.30117616, 2.260171e-5, 4.7541256e-3, 0.300706, 300.706, 0.300706, 300.706
2241, 306.36404, 3.0636404, 0.30636403, 3.0636403e-4, 306364.03, 3063.6404, 306.36404, 0.30636403, 3.700018e-5, 6.0827774e-3, 0.304737, 304.737, 0.304737, 304.737
2231, 300.55637, 3.0055637, 0.30055636, 3.0055636e-4, 300556.38, 3005.5637, 300.55637, 0.30055636, 2.9501118e-5, 5.4314933e-3, 0.299142, 299.142, 0.299142, 299.142
2221, 293.14227, 2.9314227, 0.2931423, 2.9314228e-4, 293142.28, 2931.4229, 293.1423, 0.2931423, 2.6604988e-5, 5.1580025e-3, 0.292059, 292.059, 0.292059, 292.059
2211, 289.12885, 2.8912883, 0.28912884, 2.8912883e-4, 289128.84, 2891.2883, 289.12885, 0.28912884, 3.191669e-5, 5.6494856e-3, 0.287769, 287.76898, 0.287769, 287.76898
2201, 287.28027, 2.8728027, 0.28728026, 2.8728027e-4, 287280.25, 2872.8027, 287.28027, 0.28728026, 5.161182e-5, 7.1841367e-3, 0.284896, 284.896, 0.284896, 284.896
