n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 461.87585, 4.6187587, 0.46187586, 4.6187587e-4, 230937.92, 2309.3794, 230.93793, 0.23093793, 1.2762262e-5, 3.5724307e-3, 0.230463, 230.463, 0.460926, 460.926
2911, 419.56396, 4.1956396, 0.41956395, 4.1956396e-4, 209781.97, 2097.8198, 209.78197, 0.20978197, 1.113936e-5, 3.337568e-3, 0.209131, 209.131, 0.418262, 418.262
2811, 430.21738, 4.302174, 0.4302174, 4.302174e-4, 215108.69, 2151.087, 215.10869, 0.2151087, 1.210873e-5, 3.47976e-3, 0.214524, 214.524, 0.429048, 429.048
2711, 411.73862, 4.1173863, 0.4117386, 4.117386e-4, 205869.3, 2058.693, 205.86931, 0.2058693, 3.7018246e-5, 6.0842624e-3, 0.20461, 204.61, 0.40922, 409.22
2611, 380.29807, 3.8029807, 0.38029808, 3.8029806e-4, 190149.03, 1901.4904, 190.14903, 0.19014904, 1.320815e-5, 3.634302e-3, 0.190238, 190.238, 0.380476, 380.476
2511, 364.8299, 3.648299, 0.3648299, 3.648299e-4, 182414.95, 1824.1495, 182.41495, 0.18241495, 7.4623626e-6, 2.7317326e-3, 0.181774, 181.774, 0.363548, 363.54803
2411, 337.6641, 3.376641, 0.3376641, 3.376641e-4, 168832.05, 1688.3204, 168.83205, 0.16883205, 1.26826235e-5, 3.5612672e-3, 0.1678, 167.79999, 0.3356, 335.6
2311, 310.46042, 3.1046042, 0.31046042, 3.1046043e-4, 155230.2, 1552.3021, 155.23021, 0.15523021, 6.70834e-6, 2.5900463e-3, 0.154903, 154.903, 0.309806, 309.806
2211, 294.58453, 2.9458454, 0.29458454, 2.9458455e-4, 147292.27, 1472.9227, 147.29227, 0.14729227, 9.522549e-6, 3.0858626e-3, 0.146401, 146.401, 0.292802, 292.802
2111, 268.0274, 2.6802742, 0.26802742, 2.6802742e-4, 134013.72, 1340.1371, 134.01372, 0.13401371, 5.641627e-6, 2.3752109e-3, 0.134135, 134.135, 0.26827, 268.27
2011, 235.64598, 2.3564599, 0.235646, 2.3564599e-4, 117823.0, 1178.23, 117.823, 0.117823, 8.141267e-6, 2.8532906e-3, 0.117138, 117.138, 0.234276, 234.276
1911, 246.23328, 2.4623327, 0.24623328, 2.4623328e-4, 123116.64, 1231.1664, 123.116646, 0.12311664, 3.4210973e-6, 1.8496208e-3, 0.122786, 122.786, 0.24557202, 245.572
1811, 221.77844, 2.2177844, 0.22177845, 2.2177845e-4, 110889.23, 1108.8922, 110.88923, 0.110889226, 8.678924e-6, 2.9460015e-3, 0.110102, 110.102, 0.220204, 220.204
1711, 324.4387, 3.2443867, 0.32443866, 3.2443868e-4, 162219.33, 1622.1934, 162.21933, 0.16221933, 8.06341e-6, 2.8396144e-3, 0.161875, 161.875, 0.32375, 323.75
1611, 291.88748, 2.9188747, 0.29188746, 2.9188747e-4, 145943.73, 1459.4373, 145.94373, 0.14594373, 7.6626075e-6, 2.7681415e-3, 0.145554, 145.554, 0.291108, 291.108
1511, 269.85742, 2.698574, 0.2698574, 2.698574e-4, 134928.7, 1349.287, 134.92871, 0.1349287, 4.9247824e-6, 2.219185e-3, 0.134841, 134.84099, 0.269682, 269.682
1411, 239.60426, 2.3960426, 0.23960426, 2.3960427e-4, 119802.13, 1198.0214, 119.80213, 0.11980213, 5.9051604e-6, 2.4300537e-3, 0.120146, 120.145996, 0.240292, 240.29199
1311, 217.54501, 2.17545, 0.217545, 2.17545e-4, 108772.5, 1087.725, 108.7725, 0.1087725, 1.6689484e-5, 4.0852767e-3, 0.108166, 108.166, 0.216332, 216.332
1211, 191.21385, 1.9121386, 0.19121386, 1.9121385e-4, 95606.93, 956.06934, 95.60693, 9.560693e-2, 3.8353587e-6, 1.9584072e-3, 9.5045e-2, 95.045, 0.19009, 190.09
1111, 161.41139, 1.6141138, 0.16141139, 1.6141139e-4, 80705.695, 807.05695, 80.705696, 8.0705695e-2, 2.5001714e-6, 1.5811931e-3, 8.0398e-2, 80.398, 0.160796, 160.796
1011, 147.87836, 1.4787835, 0.14787835, 1.4787835e-4, 73939.17, 739.3917, 73.93917, 7.3939174e-2, 4.3013633e-6, 2.073973e-3, 7.3853e-2, 73.853004, 0.147706, 147.706
911, 129.8366, 1.298366, 0.1298366, 1.298366e-4, 64918.3, 649.18304, 64.918304, 6.49183e-2, 3.789832e-6, 1.946749e-3, 6.4488e-2, 64.488, 0.128976, 128.976
811, 107.339005, 1.07339, 0.107339, 1.07339e-4, 53669.5, 536.695, 53.669502, 5.36695e-2, 3.894157e-6, 1.973362e-3, 5.327e-2, 53.27, 0.10654, 106.54
711, 90.54232, 0.9054232, 9.0542324e-2, 9.054232e-5, 45271.16, 452.7116, 45.27116, 4.5271162e-2, 3.0844556e-6, 1.7562618e-3, 4.4854e-2, 44.854, 8.9708e-2, 89.708
611, 70.840866, 0.70840865, 7.0840865e-2, 7.084086e-5, 35420.434, 354.2043, 35.420433, 3.5420433e-2, 2.6404305e-6, 1.6249402e-3, 3.5169e-2, 35.169003, 7.0338e-2, 70.338005
511, 87.088196, 0.870882, 8.70882e-2, 8.70882e-5, 43544.098, 435.44098, 43.544098, 4.35441e-2, 1.8022587e-6, 1.3424823e-3, 4.34e-2, 43.4, 8.68e-2, 86.799995
411, 70.05432, 0.7005432, 7.005432e-2, 7.0054324e-5, 35027.16, 350.2716, 35.02716, 3.502716e-2, 3.0223944e-5, 5.4976307e-3, 3.2888e-2, 32.888, 6.5776e-2, 65.77599
311, 38.8198, 0.38819802, 3.88198e-2, 3.8819802e-5, 19409.9, 194.099, 19.4099, 1.94099e-2, 6.491867e-7, 8.057212e-4, 1.9174e-2, 19.174, 3.8348e-2, 38.348
211, 22.228, 0.22228001, 2.2228e-2, 2.2228001e-5, 11114.0, 111.14001, 11.114, 1.1114e-2, 7.504223e-7, 8.6626917e-4, 1.1054e-2, 11.054, 2.2108e-2, 22.108
111, 13.622932, 0.13622932, 1.3622933e-2, 1.3622933e-5, 6811.4663, 68.11466, 6.8114667, 6.8114665e-3, 1.8582031e-7, 4.310688e-4, 6.806e-3, 6.806, 1.3612e-2, 13.612
11, 1.1582667, 1.1582666e-2, 1.1582667e-3, 1.1582666e-6, 579.13336, 5.791333, 0.57913333, 5.7913334e-4, 6.1014487e-9, 7.811177e-5, 5.43e-4, 0.543, 1.086e-3, 1.086
