n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 461.87585, 4.6187587, 0.46187586, 4.6187587e-4, 230937.92, 2309.3794, 230.93793, 0.23093793, 1.2762262e-5, 3.5724307e-3, 0.230463, 230.463, 0.460926, 460.926
3001, 435.40607, 4.3540606, 0.4354061, 4.3540608e-4, 217703.05, 2177.0305, 217.70305, 0.21770304, 8.29141e-6, 2.8794808e-3, 0.217538, 217.538, 0.435076, 435.076
2991, 450.50958, 4.5050955, 0.45050958, 4.5050957e-4, 225254.78, 2252.5479, 225.25479, 0.22525479, 7.9890615e-6, 2.8264928e-3, 0.224511, 224.511, 0.449022, 449.02197
2981, 464.4992, 4.644992, 0.4644992, 4.644992e-4, 232249.61, 2322.496, 232.2496, 0.2322496, 3.5695834e-5, 5.974599e-3, 0.23136, 231.36, 0.46272, 462.72
2971, 453.0553, 4.530553, 0.4530553, 4.5305528e-4, 226527.64, 2265.2764, 226.52765, 0.22652765, 3.118319e-5, 5.584191e-3, 0.225595, 225.595, 0.45119, 451.19
2961, 438.2515, 4.382515, 0.4382515, 4.382515e-4, 219125.75, 2191.2576, 219.12575, 0.21912575, 1.8098126e-5, 4.2541893e-3, 0.219076, 219.07599, 0.438152, 438.152
2951, 436.53964, 4.3653965, 0.43653965, 4.3653965e-4, 218269.83, 2182.6982, 218.26982, 0.21826982, 9.8104e-6, 3.1321559e-3, 0.218416, 218.416, 0.436832, 436.83203
2941, 441.8423, 4.4184227, 0.4418423, 4.4184228e-4, 220921.14, 2209.2114, 220.92114, 0.22092114, 9.13378e-6, 3.0222144e-3, 0.220399, 220.399, 0.440798, 440.798
2931, 435.82657, 4.358266, 0.43582657, 4.3582657e-4, 217913.28, 2179.1328, 217.91328, 0.21791328, 1.0855427e-4, 1.0418938e-2, 0.213884, 213.884, 0.427768, 427.76797
2921, 419.92358, 4.199236, 0.41992357, 4.1992357e-4, 209961.78, 2099.618, 209.96179, 0.20996179, 1.443662e-5, 3.7995554e-3, 0.209125, 209.125, 0.41825, 418.24997
2911, 419.56396, 4.1956396, 0.41956395, 4.1956396e-4, 209781.97, 2097.8198, 209.78197, 0.20978197, 1.113936e-5, 3.337568e-3, 0.209131, 209.131, 0.418262, 418.262
2901, 433.28363, 4.332836, 0.43328363, 4.3328363e-4, 216641.81, 2166.4182, 216.64182, 0.21664181, 1.9564613e-5, 4.4231904e-3, 0.216105, 216.105, 0.43221, 432.21
2891, 420.3243, 4.203243, 0.4203243, 4.203243e-4, 210162.14, 2101.6216, 210.16216, 0.21016215, 9.444372e-6, 3.0731696e-3, 0.210285, 210.28499, 0.42057, 420.57
2881, 432.25797, 4.32258, 0.43225798, 4.3225798e-4, 216128.98, 2161.2898, 216.12898, 0.21612899, 1.25154575e-5, 3.5377191e-3, 0.215671, 215.671, 0.431342, 431.34198
2871, 409.1496, 4.091496, 0.4091496, 4.091496e-4, 204574.8, 2045.7479, 204.5748, 0.2045748, 9.027788e-6, 3.0046278e-3, 0.204292, 204.29199, 0.408584, 408.58398
2861, 414.97296, 4.1497297, 0.41497296, 4.1497295e-4, 207486.48, 2074.8647, 207.48648, 0.20748648, 6.658072e-6, 2.580324e-3, 0.207506, 207.506, 0.415012, 415.012
2851, 405.31824, 4.0531826, 0.40531826, 4.0531825e-4, 202659.13, 2026.5913, 202.65913, 0.20265913, 1.12141e-5, 3.3487459e-3, 0.201826, 201.826, 0.403652, 403.65204
2841, 394.4324, 3.944324, 0.3944324, 3.944324e-4, 197216.2, 1972.162, 197.2162, 0.1972162, 1.7138553e-5, 4.1398737e-3, 0.196203, 196.20299, 0.392406, 392.40598
2831, 405.01938, 4.050194, 0.40501937, 4.0501938e-4, 202509.69, 2025.0969, 202.50969, 0.20250969, 9.085298e-6, 3.014183e-3, 0.20207, 202.06999, 0.40414, 404.14
2821, 389.0537, 3.8905373, 0.38905373, 3.8905372e-4, 194526.86, 1945.2687, 194.52687, 0.19452687, 1.103392e-5, 3.3217345e-3, 0.193673, 193.673, 0.387346, 387.346
2811, 430.21738, 4.302174, 0.4302174, 4.302174e-4, 215108.69, 2151.087, 215.10869, 0.2151087, 1.210873e-5, 3.47976e-3, 0.214524, 214.524, 0.429048, 429.048
2801, 428.53897, 4.28539, 0.42853898, 4.2853897e-4, 214269.48, 2142.6948, 214.26949, 0.21426949, 1.4248754e-5, 3.7747521e-3, 0.214001, 214.001, 0.428002, 428.002
2791, 418.68027, 4.1868024, 0.41868025, 4.1868025e-4, 209340.13, 2093.4014, 209.34012, 0.20934013, 5.77281e-6, 2.4026672e-3, 0.209296, 209.296, 0.418592, 418.592
2781, 418.08063, 4.180806, 0.41808063, 4.1808063e-4, 209040.31, 2090.403, 209.04031, 0.20904031, 1.0701584e-5, 3.2713276e-3, 0.208439, 208.43901, 0.416878, 416.87802
