n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3001, 362.4059, 3.624059, 0.3624059, 3.624059e-4, 362405.9, 3624.059, 362.40588, 0.3624059, 1.2569925e-5, 3.545409e-3, 0.363273, 363.27298, 0.363273, 363.27298
2901, 277.3828, 2.7738283, 0.27738282, 2.7738282e-4, 277382.8, 2773.8281, 277.3828, 0.27738282, 1.116178e-5, 3.340925e-3, 0.277179, 277.17902, 0.277179, 277.17902
2801, 284.73492, 2.8473494, 0.28473493, 2.8473494e-4, 284734.94, 2847.3494, 284.73492, 0.28473493, 9.279118e-6, 3.0461645e-3, 0.284582, 284.582, 0.284582, 284.582
2701, 289.98203, 2.89982, 0.28998202, 2.89982e-4, 289982.03, 2899.8203, 289.98203, 0.28998202, 9.489266e-6, 3.0804651e-3, 0.28984, 289.84003, 0.28984, 289.84003
2601, 257.74115, 2.5774114, 0.25774112, 2.5774114e-4, 257741.13, 2577.4111, 257.74112, 0.25774112, 6.34417e-6, 2.5187635e-3, 0.257534, 257.534, 0.257534, 257.534
2501, 256.5451, 2.5654511, 0.25654513, 2.565451e-4, 256545.13, 2565.4512, 256.54514, 0.25654513, 2.1150427e-5, 4.5989593e-3, 0.256608, 256.608, 0.256608, 256.608
2401, 258.54703, 2.5854702, 0.258547, 2.5854702e-4, 258547.02, 2585.47, 258.547, 0.258547, 6.0599573e-6, 2.4616981e-3, 0.258923, 258.923, 0.258923, 258.92297
2301, 191.03262, 1.9103262, 0.19103262, 1.9103262e-4, 191032.63, 1910.3262, 191.03262, 0.19103262, 5.4014895e-6, 2.3241104e-3, 0.190696, 190.696, 0.190696, 190.696
2201, 193.95781, 1.939578, 0.1939578, 1.939578e-4, 193957.81, 1939.578, 193.95781, 0.1939578, 7.350521e-6, 2.7111846e-3, 0.193773, 193.773, 0.193773, 193.773
2101, 191.67236, 1.9167237, 0.19167237, 1.9167237e-4, 191672.38, 1916.7238, 191.67236, 0.19167237, 1.4008198e-5, 3.7427528e-3, 0.190839, 190.83899, 0.190839, 190.83899
2001, 135.6074, 1.3560741, 0.1356074, 1.356074e-4, 135607.4, 1356.0741, 135.6074, 0.1356074, 4.910182e-6, 2.215893e-3, 0.135388, 135.388, 0.135388, 135.388
1901, 133.83202, 1.3383201, 0.13383201, 1.3383201e-4, 133832.0, 1338.3201, 133.832, 0.13383201, 5.0448875e-6, 2.2460828e-3, 0.133804, 133.804, 0.133804, 133.80399
1801, 132.72421, 1.327242, 0.13272421, 1.327242e-4, 132724.2, 1327.2421, 132.72421, 0.13272421, 5.1589814e-6, 2.271339e-3, 0.132341, 132.341, 0.132341, 132.341
1701, 90.10494, 0.90104944, 9.0104945e-2, 9.010494e-5, 90104.945, 901.04944, 90.10494, 9.0104945e-2, 2.4106564e-6, 1.5526288e-3, 8.9895e-2, 89.895004, 8.9895e-2, 89.895004
1601, 86.44243, 0.8644243, 8.6442426e-2, 8.644243e-5, 86442.43, 864.42426, 86.44243, 8.6442426e-2, 2.6532102e-6, 1.6288678e-3, 8.6152e-2, 86.152, 8.6152e-2, 86.152
1501, 84.31921, 0.84319204, 8.4319204e-2, 8.43192e-5, 84319.2, 843.192, 84.31921, 8.4319204e-2, 1.0538179e-5, 3.2462562e-3, 8.3545e-2, 83.545, 8.3545e-2, 83.545
1401, 164.76892, 1.6476892, 0.16476892, 1.6476892e-4, 164768.92, 1647.6892, 164.76892, 0.16476892, 7.198776e-6, 2.6830535e-3, 0.165012, 165.01201, 0.165012, 165.012
1301, 170.69896, 1.7069895, 0.17069896, 1.7069896e-4, 170698.95, 1706.9895, 170.69896, 0.17069896, 1.0060417e-5, 3.171816e-3, 0.169469, 169.469, 0.169469, 169.469
1201, 173.39645, 1.7339646, 0.17339645, 1.7339646e-4, 173396.45, 1733.9645, 173.39645, 0.17339645, 7.0518704e-6, 2.6555357e-3, 0.172706, 172.706, 0.172706, 172.706
1101, 90.41553, 0.90415525, 9.041552e-2, 9.0415524e-5, 90415.52, 904.1552, 90.41552, 9.041552e-2, 2.932126e-6, 1.7123452e-3, 9.0132e-2, 90.131996, 9.0132e-2, 90.131996
1001, 90.17717, 0.9017717, 9.017717e-2, 9.017717e-5, 90177.17, 901.7717, 90.17717, 9.017717e-2, 3.0153747e-6, 1.7364834e-3, 9.0472e-2, 90.472, 9.0472e-2, 90.472
901, 92.69555, 0.92695546, 9.269555e-2, 9.269555e-5, 92695.55, 926.9555, 92.69555, 9.269555e-2, 2.6192388e-6, 1.6184063e-3, 9.2535e-2, 92.534996, 9.2535e-2, 92.534996
801, 27.733267, 0.27733266, 2.7733268e-2, 2.7733267e-5, 27733.268, 277.33267, 27.733269, 2.7733268e-2, 3.3009974e-7, 5.745431e-4, 2.7657e-2, 27.657, 2.7657e-2, 27.657001
701, 27.960865, 0.27960864, 2.7960865e-2, 2.7960865e-5, 27960.865, 279.60864, 27.960865, 2.7960865e-2, 3.7383037e-7, 6.114167e-4, 2.7886e-2, 27.886, 2.7886e-2, 27.886
601, 28.0089, 0.280089, 2.8008899e-2, 2.8008899e-5, 28008.898, 280.089, 28.008898, 2.8008899e-2, 4.4026604e-7, 6.635255e-4, 2.7886e-2, 27.886, 2.7886e-2, 27.886
501, 1.7094332, 1.709433e-2, 1.7094332e-3, 1.7094331e-6, 1709.4331, 17.094332, 1.7094332, 1.7094332e-3, 1.899603e-7, 4.3584435e-4, 1.586e-3, 1.586, 1.586e-3, 1.586
401, 1.6820002, 1.6820002e-2, 1.6820001e-3, 1.6820002e-6, 1682.0001, 16.820002, 1.6820002, 1.6820001e-3, 1.5763241e-7, 3.9702948e-4, 1.539e-3, 1.5389999, 1.539e-3, 1.539
301, 1.3549666, 1.3549667e-2, 1.3549667e-3, 1.3549667e-6, 1354.9667, 13.549666, 1.3549666, 1.3549667e-3, 7.1166255e-8, 2.6677005e-4, 1.267e-3, 1.267, 1.267e-3, 1.267
