n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 446.52737, 4.465274, 0.4465274, 4.4652738e-4, 223263.7, 2232.637, 223.2637, 0.2232637, 2.0887635e-5, 4.5702993e-3, 0.222439, 222.43901, 0.444878, 444.87802
2911, 423.20786, 4.2320786, 0.42320785, 4.2320785e-4, 211603.92, 2116.0393, 211.60393, 0.21160392, 1.9961535e-5, 4.4678333e-3, 0.210334, 210.334, 0.420668, 420.66803
2811, 444.39032, 4.443903, 0.44439033, 4.4439032e-4, 222195.16, 2221.9517, 222.19516, 0.22219516, 2.9043931e-5, 5.389242e-3, 0.220894, 220.894, 0.441788, 441.788
2711, 428.45807, 4.2845807, 0.42845806, 4.2845806e-4, 214229.03, 2142.2903, 214.22903, 0.21422903, 3.7138485e-5, 6.0941353e-3, 0.212504, 212.504, 0.425008, 425.008
2611, 382.3198, 3.8231978, 0.38231978, 3.823198e-4, 191159.89, 1911.5989, 191.15988, 0.19115989, 3.0144329e-5, 5.490385e-3, 0.190314, 190.314, 0.380628, 380.628
2511, 349.65784, 3.4965785, 0.34965783, 3.4965784e-4, 174828.92, 1748.2892, 174.82892, 0.17482892, 2.1869719e-5, 4.6765073e-3, 0.173607, 173.60701, 0.347214, 347.21402
2411, 333.8796, 3.3387961, 0.33387962, 3.338796e-4, 166939.81, 1669.3981, 166.9398, 0.16693981, 2.5147629e-5, 5.0147413e-3, 0.166129, 166.129, 0.332258, 332.25797
2311, 299.48428, 2.994843, 0.29948428, 2.994843e-4, 149742.14, 1497.4214, 149.74214, 0.14974214, 2.0618238e-5, 4.5407307e-3, 0.148443, 148.443, 0.296886, 296.886
2211, 290.3457, 2.903457, 0.2903457, 2.903457e-4, 145172.84, 1451.7285, 145.17285, 0.14517285, 1.2434229e-5, 3.52622e-3, 0.144139, 144.139, 0.288278, 288.278
2111, 272.8126, 2.7281258, 0.27281258, 2.7281258e-4, 136406.28, 1364.0629, 136.40628, 0.13640629, 2.3778279e-5, 4.8762974e-3, 0.135029, 135.029, 0.270058, 270.05798
2011, 243.1693, 2.431693, 0.2431693, 2.431693e-4, 121584.65, 1215.8464, 121.58465, 0.12158465, 2.0821808e-5, 4.563092e-3, 0.120667, 120.667, 0.241334, 241.33401
1911, 257.1636, 2.571636, 0.2571636, 2.571636e-4, 128581.805, 1285.8181, 128.5818, 0.1285818, 2.9900495e-5, 5.4681343e-3, 0.127311, 127.311005, 0.254622, 254.62202
1811, 234.6528, 2.346528, 0.2346528, 2.346528e-4, 117326.4, 1173.264, 117.3264, 0.1173264, 1.513873e-5, 3.8908522e-3, 0.116457, 116.457, 0.232914, 232.914
1711, 333.72955, 3.3372955, 0.33372954, 3.3372955e-4, 166864.77, 1668.6477, 166.86476, 0.16686477, 1.7697788e-5, 4.206874e-3, 0.165577, 165.577, 0.331154, 331.154
1611, 305.67374, 3.0567374, 0.30567375, 3.0567375e-4, 152836.88, 1528.3688, 152.83687, 0.15283687, 2.0037169e-5, 4.4762897e-3, 0.151654, 151.654, 0.303308, 303.308
1511, 278.78082, 2.7878082, 0.27878082, 2.7878082e-4, 139390.4, 1393.904, 139.39041, 0.13939041, 1.2803928e-5, 3.5782577e-3, 0.138966, 138.96599, 0.277932, 277.93198
1411, 236.75, 2.3675, 0.23674999, 2.3675e-4, 118374.99, 1183.75, 118.37499, 0.118374996, 1.9747078e-5, 4.4437684e-3, 0.117649, 117.648994, 0.235298, 235.29799
1311, 227.76004, 2.2776005, 0.22776005, 2.2776004e-4, 113880.02, 1138.8003, 113.88002, 0.11388002, 1.4435528e-5, 3.7994115e-3, 0.112901, 112.901, 0.225802, 225.80202
1211, 198.51526, 1.9851526, 0.19851527, 1.9851526e-4, 99257.63, 992.57635, 99.25763, 9.925763e-2, 1.1257708e-5, 3.355251e-3, 9.8007e-2, 98.007, 0.196014, 196.014
1111, 168.76959, 1.6876959, 0.1687696, 1.6876959e-4, 84384.8, 843.84796, 84.384796, 8.43848e-2, 1.03978755e-5, 3.2245738e-3, 8.3344e-2, 83.343994, 0.166688, 166.688
1011, 151.42426, 1.5142426, 0.15142426, 1.5142426e-4, 75712.13, 757.1213, 75.71213, 7.571213e-2, 6.529901e-6, 2.555367e-3, 7.4988e-2, 74.988, 0.149976, 149.976
911, 132.7184, 1.327184, 0.1327184, 1.327184e-4, 66359.2, 663.592, 66.3592, 6.63592e-2, 2.9659893e-6, 1.7222047e-3, 6.5614e-2, 65.614, 0.131228, 131.228
