n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3001, 353.90396, 3.5390399, 0.35390398, 3.5390398e-4, 353903.97, 3539.0398, 353.904, 0.35390398, 3.0447536e-5, 5.5179284e-3, 0.352481, 352.48102, 0.352481, 352.481
2901, 274.49728, 2.744973, 0.2744973, 2.744973e-4, 274497.3, 2744.973, 274.4973, 0.2744973, 2.5813895e-5, 5.0807376e-3, 0.273325, 273.32498, 0.273325, 273.32498
2801, 282.99313, 2.8299313, 0.28299314, 2.8299313e-4, 282993.13, 2829.9314, 282.99313, 0.28299314, 4.0578132e-5, 6.370097e-3, 0.281194, 281.194, 0.281194, 281.194
2701, 278.48264, 2.7848265, 0.27848265, 2.7848265e-4, 278482.66, 2784.8264, 278.48264, 0.27848265, 3.2677664e-5, 5.716438e-3, 0.277218, 277.21802, 0.277218, 277.218
2601, 256.97763, 2.5697763, 0.25697762, 2.5697763e-4, 256977.63, 2569.7761, 256.97763, 0.25697762, 2.0469335e-5, 4.524305e-3, 0.256528, 256.52798, 0.256528, 256.528
2501, 257.4739, 2.574739, 0.25747392, 2.574739e-4, 257473.92, 2574.7393, 257.4739, 0.25747392, 2.4061192e-5, 4.905221e-3, 0.256526, 256.526, 0.256526, 256.526
2401, 259.2006, 2.592006, 0.2592006, 2.592006e-4, 259200.61, 2592.006, 259.2006, 0.2592006, 4.397498e-5, 6.631363e-3, 0.257263, 257.263, 0.257263, 257.26303
2301, 193.2045, 1.932045, 0.19320449, 1.932045e-4, 193204.5, 1932.0449, 193.2045, 0.19320449, 2.6133055e-5, 5.11205e-3, 0.191126, 191.126, 0.191126, 191.126
2201, 197.92589, 1.9792588, 0.19792588, 1.9792588e-4, 197925.88, 1979.2588, 197.92589, 0.19792588, 1.7407003e-5, 4.17217e-3, 0.19709, 197.09, 0.19709, 197.09001
2101, 195.26309, 1.952631, 0.1952631, 1.952631e-4, 195263.11, 1952.631, 195.2631, 0.1952631, 2.3764083e-5, 4.874842e-3, 0.194416, 194.416, 0.194416, 194.416
2001, 141.42769, 1.414277, 0.1414277, 1.4142769e-4, 141427.7, 1414.277, 141.42769, 0.1414277, 2.3088409e-5, 4.80504e-3, 0.141772, 141.772, 0.141772, 141.772
1901, 141.34949, 1.413495, 0.1413495, 1.4134949e-4, 141349.5, 1413.495, 141.34949, 0.1413495, 1.0859617e-5, 3.2953932e-3, 0.140517, 140.517, 0.140517, 140.51698
1801, 136.12265, 1.3612264, 0.13612264, 1.3612265e-4, 136122.64, 1361.2264, 136.12265, 0.13612264, 1.4725717e-5, 3.8374101e-3, 0.135241, 135.241, 0.135241, 135.241
1701, 90.30462, 0.9030462, 9.030461e-2, 9.030462e-5, 90304.61, 903.04614, 90.30461, 9.030461e-2, 1.3993692e-5, 3.7408143e-3, 8.906e-2, 89.06, 8.906e-2, 89.06
1601, 91.81613, 0.91816133, 9.1816135e-2, 9.181613e-5, 91816.13, 918.1614, 91.81613, 9.1816135e-2, 1.5131641e-5, 3.889941e-3, 9.0411e-2, 90.411, 9.0411e-2, 90.410995
1501, 84.0063, 0.840063, 8.40063e-2, 8.40063e-5, 84006.305, 840.06305, 84.0063, 8.40063e-2, 1.4943186e-5, 3.8656418e-3, 8.264e-2, 82.64, 8.264e-2, 82.64
