n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 357.85297, 3.5785296, 0.35785297, 3.5785296e-4, 357852.97, 3578.5295, 357.85297, 0.35785297, 3.4037406e-5, 5.8341585e-3, 0.355912, 355.912, 0.355912, 355.912
3001, 353.90396, 3.5390399, 0.35390398, 3.5390398e-4, 353903.97, 3539.0398, 353.904, 0.35390398, 3.0447536e-5, 5.5179284e-3, 0.352481, 352.48102, 0.352481, 352.481
2991, 274.71265, 2.7471266, 0.27471265, 2.7471266e-4, 274712.66, 2747.1265, 274.71265, 0.27471265, 2.8436234e-5, 5.3325635e-3, 0.274836, 274.836, 0.274836, 274.836
2981, 276.96005, 2.7696006, 0.27696005, 2.7696005e-4, 276960.03, 2769.6003, 276.96005, 0.27696005, 1.0159906e-4, 1.0079635e-2, 0.274259, 274.259, 0.274259, 274.259
2971, 277.4533, 2.774533, 0.2774533, 2.774533e-4, 277453.3, 2774.533, 277.4533, 0.2774533, 2.9903966e-5, 5.468452e-3, 0.276485, 276.485, 0.276485, 276.485
2961, 274.50757, 2.7450757, 0.27450755, 2.7450756e-4, 274507.56, 2745.0754, 274.50754, 0.27450755, 7.624283e-5, 8.731714e-3, 0.271801, 271.801, 0.271801, 271.801
2951, 282.03665, 2.8203666, 0.28203666, 2.8203666e-4, 282036.66, 2820.3667, 282.03665, 0.28203666, 6.931348e-5, 8.325472e-3, 0.280406, 280.406, 0.280406, 280.406
2941, 276.73172, 2.767317, 0.2767317, 2.767317e-4, 276731.7, 2767.317, 276.7317, 0.2767317, 4.5475936e-5, 6.7435848e-3, 0.275139, 275.139, 0.275139, 275.139
2931, 288.82327, 2.8882327, 0.28882328, 2.8882327e-4, 288823.28, 2888.2327, 288.82327, 0.28882328, 1.2296371e-3, 3.506618e-2, 0.280866, 280.866, 0.280866, 280.866
2921, 288.92575, 2.8892574, 0.28892574, 2.8892574e-4, 288925.75, 2889.2573, 288.92575, 0.28892574, 3.150361e-5, 5.6128073e-3, 0.287514, 287.514, 0.287514, 287.514
2911, 281.27258, 2.8127258, 0.28127256, 2.8127257e-4, 281272.56, 2812.7256, 281.27255, 0.28127256, 2.8577537e-5, 5.3457962e-3, 0.279987, 279.987, 0.279987, 279.987
2901, 274.49728, 2.744973, 0.2744973, 2.744973e-4, 274497.3, 2744.973, 274.4973, 0.2744973, 2.5813895e-5, 5.0807376e-3, 0.273325, 273.32498, 0.273325, 273.32498
2891, 281.14896, 2.8114896, 0.28114897, 2.8114897e-4, 281148.97, 2811.4897, 281.14896, 0.28114897, 3.522234e-5, 5.934841e-3, 0.279795, 279.79498, 0.279795, 279.795
2881, 274.44797, 2.7444797, 0.27444795, 2.7444796e-4, 274447.94, 2744.4795, 274.44794, 0.27444795, 2.6597658e-5, 5.157292e-3, 0.273521, 273.521, 0.273521, 273.521
2871, 286.38782, 2.8638783, 0.28638783, 2.8638783e-4, 286387.84, 2863.8784, 286.38782, 0.28638783, 3.6157708e-5, 6.013128e-3, 0.284755, 284.755, 0.284755, 284.755
2861, 283.2649, 2.832649, 0.2832649, 2.832649e-4, 283264.9, 2832.6492, 283.2649, 0.2832649, 3.8880993e-5, 6.2354626e-3, 0.282766, 282.76602, 0.282766, 282.766
2851, 286.71326, 2.8671324, 0.28671324, 2.8671324e-4, 286713.25, 2867.1323, 286.71326, 0.28671324, 4.3422107e-5, 6.5895454e-3, 0.285265, 285.26498, 0.285265, 285.265
2841, 281.73285, 2.8173285, 0.28173286, 2.8173285e-4, 281732.84, 2817.3286, 281.73285, 0.28173286, 3.102253e-5, 5.569787e-3, 0.280733, 280.733, 0.280733, 280.733
2831, 295.7051, 2.957051, 0.2957051, 2.957051e-4, 295705.13, 2957.051, 295.7051, 0.2957051, 5.224533e-5, 7.228093e-3, 0.293576, 293.576, 0.293576, 293.57602
