n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 368.29736, 3.6829736, 0.36829737, 3.6829736e-4, 110489.21, 1104.8921, 110.48921, 0.11048921, 4.0336454e-6, 2.0083936e-3, 0.110536, 110.536, 0.36845332, 368.45334
3001, 347.2602, 3.472602, 0.34726018, 3.4726018e-4, 104178.055, 1041.7805, 104.178055, 0.104178056, 4.5806805e-6, 2.1402524e-3, 0.103968, 103.968, 0.34656, 346.56
2991, 287.26456, 2.8726456, 0.28726456, 2.8726456e-4, 86179.37, 861.7937, 86.17937, 8.617937e-2, 7.652038e-6, 2.7662318e-3, 8.5706e-2, 85.706, 0.28568667, 285.68668
2981, 280.27124, 2.8027122, 0.28027123, 2.8027123e-4, 84081.37, 840.81366, 84.08137, 8.408137e-2, 1.2564374e-5, 3.544626e-3, 8.3839e-2, 83.839, 0.27946332, 279.46332
2971, 284.6499, 2.846499, 0.2846499, 2.846499e-4, 85394.97, 853.9497, 85.39497, 8.539497e-2, 1.0001581e-5, 3.1625277e-3, 8.4052e-2, 84.051994, 0.28017333, 280.1733
2961, 272.50223, 2.7250223, 0.2725022, 2.7250222e-4, 81750.67, 817.5067, 81.75067, 8.175067e-2, 3.4731281e-6, 1.863633e-3, 8.2038e-2, 82.038, 0.27346, 273.46
2951, 293.106, 2.9310598, 0.293106, 2.93106e-4, 87931.8, 879.318, 87.93179, 8.79318e-2, 1.6510725e-5, 4.063339e-3, 8.7296e-2, 87.296005, 0.2909867, 290.98666
2941, 279.52335, 2.7952335, 0.27952334, 2.7952334e-4, 83857.01, 838.57007, 83.85701, 8.385701e-2, 1.3822489e-5, 3.7178607e-3, 8.2785e-2, 82.785, 0.27595, 275.95
2931, 294.12073, 2.9412072, 0.29412073, 2.9412072e-4, 88236.21, 882.3621, 88.23621, 8.823621e-2, 1.2661078e-5, 3.5582408e-3, 8.7279e-2, 87.279, 0.29093, 290.93002
2921, 276.69586, 2.7669585, 0.27669585, 2.7669585e-4, 83008.76, 830.0876, 83.00876, 8.300876e-2, 3.0671354e-6, 1.7513239e-3, 8.3005e-2, 83.005005, 0.27668333, 276.68335
2911, 287.50632, 2.8750632, 0.2875063, 2.8750632e-4, 86251.9, 862.519, 86.2519, 8.62519e-2, 1.0441834e-5, 3.2313827e-3, 8.581e-2, 85.81, 0.28603333, 286.03333
2901, 277.46112, 2.7746112, 0.27746114, 2.7746113e-4, 83238.34, 832.3834, 83.23834, 8.323834e-2, 9.77442e-6, 3.1264068e-3, 8.2353e-2, 82.353004, 0.27451, 274.51
2891, 283.54514, 2.8354514, 0.28354514, 2.8354515e-4, 85063.54, 850.6354, 85.06354, 8.506354e-2, 1.1783206e-5, 3.4326676e-3, 8.4135e-2, 84.135, 0.28045002, 280.45
2881, 282.71936, 2.8271935, 0.28271934, 2.8271935e-4, 84815.805, 848.1581, 84.81581, 8.481581e-2, 2.7727551e-6, 1.6651592e-3, 8.5179e-2, 85.179, 0.28393, 283.93002
2871, 296.58582, 2.9658582, 0.29658583, 2.9658581e-4, 88975.74, 889.75745, 88.975746, 8.897574e-2, 8.56911e-6, 2.9273042e-3, 8.8658e-2, 88.658, 0.29552665, 295.52667
2861, 292.06555, 2.9206555, 0.29206556, 2.9206555e-4, 87619.664, 876.1966, 87.61966, 8.761966e-2, 2.5618298e-5, 5.0614523e-3, 8.5684e-2, 85.684, 0.28561336, 285.61334
2851, 289.3544, 2.8935442, 0.2893544, 2.8935442e-4, 86806.33, 868.0633, 86.80633, 8.680633e-2, 1.3040045e-5, 3.6111001e-3, 8.6046e-2, 86.046005, 0.28682, 286.82
2841, 285.0101, 2.8501012, 0.28501013, 2.8501012e-4, 85503.03, 855.03033, 85.50304, 8.5503034e-2, 2.5402713e-5, 5.0401106e-3, 8.4319e-2, 84.319, 0.28106335, 281.06335
2831, 301.86844, 3.0186846, 0.30186844, 3.0186845e-4, 90560.53, 905.60535, 90.56053, 9.056053e-2, 1.0674865e-5, 3.2672412e-3, 8.9425e-2, 89.424995, 0.29808334, 298.0833
2821, 293.63275, 2.9363275, 0.29363275, 2.9363274e-4, 88089.82, 880.89825, 88.08982, 8.808982e-2, 1.0524351e-5, 3.2441255e-3, 8.789e-2, 87.89, 0.29296666, 292.96667
2811, 296.80984, 2.9680986, 0.29680985, 2.9680986e-4, 89042.95, 890.42957, 89.04295, 8.9042954e-2, 2.7710876e-5, 5.2641123e-3, 8.7839e-2, 87.839, 0.29279667, 292.79666
2801, 283.344, 2.8334398, 0.28334397, 2.8334398e-4, 85003.19, 850.0319, 85.00319, 8.500319e-2, 5.5683536e-6, 2.359736e-3, 8.4576e-2, 84.576004, 0.28192002, 281.92
