n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 3129552.5, 31295.525, 3129.5525, 3.1295526, 3129552.5, 31295.525, 3129.5525, 3.1295526, 1.5849245e-3, 3.9811112e-2, 3.122946, 3122.946, 3122.946, 3122946.0
2911, 2830485.5, 28304.855, 2830.4856, 2.8304856, 2830485.5, 28304.855, 2830.4856, 2.8304856, 1.2413214e-3, 3.523239e-2, 2.822685, 2822.685, 2822.685, 2822685.0
2811, 2609192.0, 26091.918, 2609.192, 2.609192, 2609192.0, 26091.918, 2609.192, 2.609192, 1.7694456e-3, 4.206478e-2, 2.595398, 2595.398, 2595.398, 2595398.0
2711, 2476127.5, 24761.273, 2476.1274, 2.4761274, 2476127.5, 24761.273, 2476.1274, 2.4761274, 2.0208186e-3, 4.4953518e-2, 2.463488, 2463.488, 2463.488, 2463488.0
2611, 2355327.0, 23553.27, 2355.327, 2.355327, 2355327.0, 23553.27, 2355.327, 2.355327, 3.5397192e-3, 5.949554e-2, 2.340138, 2340.138, 2340.138, 2340138.0
2511, 2084092.1, 20840.922, 2084.092, 2.0840921, 2084092.1, 20840.922, 2084.092, 2.0840921, 6.81898e-3, 8.257712e-2, 2.058177, 2058.177, 2058.177, 2058177.0
2411, 1889313.9, 18893.139, 1889.314, 1.8893139, 1889313.9, 18893.139, 1889.314, 1.8893139, 1.4402495e-3, 3.795062e-2, 1.878327, 1878.327, 1878.327, 1878327.0
2311, 1760856.4, 17608.564, 1760.8564, 1.7608564, 1760856.4, 17608.564, 1760.8564, 1.7608564, 9.6481416e-4, 3.1061457e-2, 1.752848, 1752.848, 1752.848, 1752848.0
2211, 1564872.1, 15648.722, 1564.8722, 1.5648721, 1564872.1, 15648.722, 1564.8722, 1.5648721, 6.833115e-4, 2.6140228e-2, 1.558409, 1558.4089, 1558.4089, 1558409.0
2111, 1435440.3, 14354.403, 1435.4403, 1.4354403, 1435440.3, 14354.403, 1435.4403, 1.4354403, 9.5115503e-4, 3.0840801e-2, 1.429902, 1429.902, 1429.902, 1429902.0
2011, 1257143.9, 12571.438, 1257.1438, 1.2571439, 1257143.9, 12571.438, 1257.1438, 1.2571439, 6.867964e-4, 2.62068e-2, 1.249034, 1249.034, 1249.034, 1249034.0
1911, 1154158.4, 11541.584, 1154.1583, 1.1541584, 1154158.4, 11541.584, 1154.1583, 1.1541584, 7.822176e-4, 2.7968153e-2, 1.148283, 1148.283, 1148.283, 1148283.0
1811, 1071250.6, 10712.507, 1071.2507, 1.0712507, 1071250.6, 10712.507, 1071.2507, 1.0712507, 7.0607255e-4, 2.6572026e-2, 1.065803, 1065.8031, 1065.8031, 1065803.0
1711, 925102.2, 9251.021, 925.1022, 0.9251022, 925102.2, 9251.021, 925.1022, 0.9251022, 7.041628e-4, 2.6536066e-2, 0.91889, 918.89, 918.89, 918890.0
1611, 841384.6, 8413.847, 841.38464, 0.84138465, 841384.6, 8413.847, 841.38464, 0.84138465, 5.0446135e-4, 2.2460217e-2, 0.835499, 835.49896, 835.49896, 835499.0
1511, 701597.56, 7015.9756, 701.5976, 0.7015976, 701597.56, 7015.9756, 701.5976, 0.7015976, 4.2458982e-4, 2.0605577e-2, 0.696654, 696.654, 696.654, 696654.0
1411, 604475.75, 6044.7573, 604.4757, 0.60447574, 604475.75, 6044.7573, 604.4757, 0.60447574, 2.875922e-4, 1.6958544e-2, 0.599574, 599.57404, 599.57404, 599574.0
1311, 541724.2, 5417.242, 541.7242, 0.5417242, 541724.2, 5417.242, 541.7242, 0.5417242, 2.7942465e-4, 1.6716e-2, 0.536451, 536.451, 536.451, 536451.0
1211, 457452.78, 4574.528, 457.45276, 0.45745277, 457452.78, 4574.528, 457.45276, 0.45745277, 2.7637038e-4, 1.6624391e-2, 0.455344, 455.344, 455.344, 455344.0
1111, 393403.53, 3934.0354, 393.40353, 0.39340353, 393403.53, 3934.0354, 393.40353, 0.39340353, 2.4119904e-4, 1.5530584e-2, 0.39031, 390.31, 390.31, 390310.0
1011, 320425.4, 3204.254, 320.42538, 0.3204254, 320425.4, 3204.254, 320.42538, 0.3204254, 1.6622238e-4, 1.2892726e-2, 0.316225, 316.225, 316.225, 316225.0
911, 262115.3, 2621.153, 262.1153, 0.2621153, 262115.3, 2621.153, 262.1153, 0.2621153, 1.0579301e-4, 1.0285573e-2, 0.259591, 259.591, 259.591, 259591.02
811, 222665.64, 2226.6565, 222.66563, 0.22266564, 222665.64, 2226.6565, 222.66563, 0.22266564, 8.184954e-5, 9.047073e-3, 0.219638, 219.638, 219.638, 219638.0
711, 176540.16, 1765.4015, 176.54015, 0.17654015, 176540.16, 1765.4015, 176.54015, 0.17654015, 6.577792e-5, 8.110358e-3, 0.176013, 176.013, 176.013, 176013.0
611, 126814.98, 1268.1498, 126.81498, 0.12681498, 126814.98, 1268.1498, 126.81498, 0.12681498, 6.409773e-5, 8.006106e-3, 0.124376, 124.376, 124.376, 124376.0
511, 91415.37, 914.1537, 91.41537, 9.141537e-2, 91415.37, 914.1537, 91.41537, 9.141537e-2, 4.547417e-5, 6.743454e-3, 8.9241e-2, 89.241, 89.241, 89241.0
411, 61534.266, 615.34265, 61.534267, 6.1534267e-2, 61534.266, 615.34265, 61.534267, 6.1534267e-2, 3.023275e-5, 5.4984316e-3, 5.9699e-2, 59.698997, 59.698997, 59699.0
311, 34889.297, 348.89294, 34.889297, 3.4889296e-2, 34889.297, 348.89294, 34.889297, 3.4889296e-2, 3.027759e-6, 1.7400457e-3, 3.441e-2, 34.41, 34.41, 34410.0
211, 18776.168, 187.76167, 18.776167, 1.8776167e-2, 18776.168, 187.76167, 18.776167, 1.8776167e-2, 2.6753946e-6, 1.6356633e-3, 1.884e-2, 18.84, 18.84, 18840.0
111, 6717.4, 67.173996, 6.7173996, 6.7173997e-3, 6717.4, 67.173996, 6.7173996, 6.7173997e-3, 6.995762e-7, 8.364067e-4, 6.541e-3, 6.5410004, 6.5410004, 6541.0
11, 185.63333, 1.8563333, 0.18563333, 1.8563333e-4, 185.63333, 1.8563333, 0.18563333, 1.8563333e-4, 3.5941656e-9, 5.9951362e-5, 1.56e-4, 0.15599999, 0.15599999, 156.0
