n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 3129552.5, 31295.525, 3129.5525, 3.1295526, 3129552.5, 31295.525, 3129.5525, 3.1295526, 1.5849245e-3, 3.9811112e-2, 3.122946, 3122.946, 3122.946, 3122946.0
3001, 3079299.5, 30792.994, 3079.2996, 3.0792994, 3079299.5, 30792.994, 3079.2996, 3.0792994, 1.5591175e-3, 3.9485663e-2, 3.072768, 3072.768, 3072.768, 3072768.0
2991, 2954474.0, 29544.74, 2954.4739, 2.954474, 2954474.0, 29544.74, 2954.4739, 2.954474, 3.9248117e-3, 6.264832e-2, 2.938152, 2938.152, 2938.152, 2938152.0
2981, 2977371.5, 29773.715, 2977.3713, 2.9773715, 2977371.5, 29773.715, 2977.3713, 2.9773715, 1.73658e-3, 4.1672293e-2, 2.968583, 2968.583, 2968.583, 2968583.0
2971, 2935573.0, 29355.73, 2935.573, 2.935573, 2935573.0, 29355.73, 2935.573, 2.935573, 1.6018716e-3, 4.0023386e-2, 2.930374, 2930.374, 2930.374, 2930374.0
2961, 3058211.8, 30582.117, 3058.212, 3.0582118, 3058211.8, 30582.117, 3058.212, 3.0582118, 1.8868006e-3, 4.3437317e-2, 3.043747, 3043.747, 3043.747, 3043747.0
2951, 2948622.0, 29486.22, 2948.622, 2.948622, 2948622.0, 29486.22, 2948.622, 2.948622, 4.664115e-3, 6.8294324e-2, 2.934828, 2934.8281, 2934.8281, 2934828.0
2941, 2841571.0, 28415.71, 2841.571, 2.841571, 2841571.0, 28415.71, 2841.571, 2.841571, 1.3688292e-3, 3.699769e-2, 2.835219, 2835.219, 2835.219, 2835219.0
2931, 2889005.0, 28890.049, 2889.005, 2.889005, 2889005.0, 28890.049, 2889.005, 2.889005, 1.5829729e-3, 3.9786592e-2, 2.879409, 2879.4092, 2879.4092, 2879409.0
2921, 2890760.8, 28907.607, 2890.7607, 2.8907607, 2890760.8, 28907.607, 2890.7607, 2.8907607, 2.1350025e-3, 4.6206087e-2, 2.877637, 2877.637, 2877.637, 2877637.0
2911, 2830485.5, 28304.855, 2830.4856, 2.8304856, 2830485.5, 28304.855, 2830.4856, 2.8304856, 1.2413214e-3, 3.523239e-2, 2.822685, 2822.685, 2822.685, 2822685.0
2901, 2797797.8, 27977.977, 2797.7976, 2.7977977, 2797797.8, 27977.977, 2797.7976, 2.7977977, 1.5767555e-3, 3.970838e-2, 2.787318, 2787.3179, 2787.3179, 2787318.0
2891, 2858660.8, 28586.607, 2858.6606, 2.8586607, 2858660.8, 28586.607, 2858.6606, 2.8586607, 1.3698894e-3, 3.701202e-2, 2.85331, 2853.31, 2853.31, 2853310.0
2881, 2834026.3, 28340.264, 2834.0264, 2.8340263, 2834026.3, 28340.264, 2834.0264, 2.8340263, 2.986967e-3, 5.4653153e-2, 2.816009, 2816.009, 2816.009, 2816009.0
2871, 2679704.0, 26797.04, 2679.7039, 2.679704, 2679704.0, 26797.04, 2679.7039, 2.679704, 1.3730533e-3, 3.7054732e-2, 2.670971, 2670.971, 2670.971, 2670971.0
2861, 2827635.5, 28276.355, 2827.6355, 2.8276355, 2827635.5, 28276.355, 2827.6355, 2.8276355, 2.0043585e-3, 4.4770062e-2, 2.812324, 2812.324, 2812.324, 2812324.0
2851, 2721914.8, 27219.148, 2721.9148, 2.7219148, 2721914.8, 27219.148, 2721.9148, 2.7219148, 4.0648007e-3, 6.375579e-2, 2.705101, 2705.101, 2705.101, 2705101.0
2841, 2670017.3, 26700.172, 2670.0173, 2.6700172, 2670017.3, 26700.172, 2670.0173, 2.6700172, 1.4541802e-3, 3.8133714e-2, 2.664997, 2664.997, 2664.997, 2664997.0
2831, 2616289.5, 26162.895, 2616.2893, 2.6162894, 2616289.5, 26162.895, 2616.2893, 2.6162894, 1.3454078e-3, 3.66798e-2, 2.607286, 2607.286, 2607.286, 2607286.0
2821, 2596438.8, 25964.387, 2596.4387, 2.5964386, 2596438.8, 25964.387, 2596.4387, 2.5964386, 1.1736006e-3, 3.4257855e-2, 2.592022, 2592.022, 2592.022, 2592022.0
2811, 2609192.0, 26091.918, 2609.192, 2.609192, 2609192.0, 26091.918, 2609.192, 2.609192, 1.7694456e-3, 4.206478e-2, 2.595398, 2595.398, 2595.398, 2595398.0
2801, 2609388.8, 26093.889, 2609.389, 2.6093888, 2609388.8, 26093.889, 2609.389, 2.6093888, 1.564943e-3, 3.955936e-2, 2.602083, 2602.083, 2602.083, 2602083.0
2791, 2622722.8, 26227.229, 2622.723, 2.6227229, 2622722.8, 26227.229, 2622.723, 2.6227229, 1.2870271e-3, 3.587516e-2, 2.614521, 2614.521, 2614.521, 2614521.0
2781, 2538978.0, 25389.781, 2538.978, 2.538978, 2538978.0, 25389.781, 2538.978, 2.538978, 1.312688e-3, 3.6231037e-2, 2.531802, 2531.802, 2531.802, 2531802.0
2771, 2493152.5, 24931.523, 2493.1523, 2.4931524, 2493152.5, 24931.523, 2493.1523, 2.4931524, 2.0417424e-3, 4.5185644e-2, 2.486469, 2486.469, 2486.469, 2486469.0
2761, 2536269.5, 25362.693, 2536.2695, 2.5362694, 2536269.5, 25362.693, 2536.2695, 2.5362694, 1.1623357e-3, 3.4093045e-2, 2.52763, 2527.6301, 2527.6301, 2527630.0
2751, 2536413.0, 25364.129, 2536.4128, 2.536413, 2536413.0, 25364.129, 2536.4128, 2.536413, 1.2957838e-3, 3.5996996e-2, 2.528784, 2528.784, 2528.784, 2528784.0
2741, 2538796.0, 25387.959, 2538.796, 2.538796, 2538796.0, 25387.959, 2538.796, 2.538796, 1.414629e-3, 3.7611555e-2, 2.535549, 2535.5488, 2535.5488, 2535549.0
2731, 2478529.3, 24785.293, 2478.5293, 2.4785292, 2478529.3, 24785.293, 2478.5293, 2.4785292, 2.213495e-3, 4.7047798e-2, 2.462653, 2462.6528, 2462.6528, 2462653.0
2721, 2441329.8, 24413.297, 2441.3298, 2.4413297, 2441329.8, 24413.297, 2441.3298, 2.4413297, 2.0923691e-3, 4.5742422e-2, 2.431196, 2431.196, 2431.196, 2431196.0
2711, 2476127.5, 24761.273, 2476.1274, 2.4761274, 2476127.5, 24761.273, 2476.1274, 2.4761274, 2.0208186e-3, 4.4953518e-2, 2.463488, 2463.488, 2463.488, 2463488.0
2701, 2369342.5, 23693.426, 2369.3425, 2.3693426, 2369342.5, 23693.426, 2369.3425, 2.3693426, 1.2192542e-3, 3.491782e-2, 2.364176, 2364.176, 2364.176, 2364176.0
2691, 2509566.3, 25095.662, 2509.5664, 2.5095663, 2509566.3, 25095.662, 2509.5664, 2.5095663, 2.5645453e-3, 5.064134e-2, 2.498464, 2498.464, 2498.464, 2498464.0
2681, 2364664.3, 23646.643, 2364.6643, 2.3646643, 2364664.3, 23646.643, 2364.6643, 2.3646643, 1.020104e-3, 3.1939067e-2, 2.361092, 2361.092, 2361.092, 2361092.0
2671, 2372538.8, 23725.389, 2372.5388, 2.3725388, 2372538.8, 23725.389, 2372.5388, 2.3725388, 1.3197833e-3, 3.6328822e-2, 2.361209, 2361.209, 2361.209, 2361209.0
2661, 2284350.8, 22843.508, 2284.3508, 2.2843509, 2284350.8, 22843.508, 2284.3508, 2.2843509, 1.1608695e-3, 3.4071535e-2, 2.276817, 2276.8171, 2276.8171, 2276817.0
2651, 2287713.0, 22877.13, 2287.7131, 2.287713, 2287713.0, 22877.13, 2287.7131, 2.287713, 2.281398e-3, 4.776398e-2, 2.27268, 2272.68, 2272.68, 2272680.0
2641, 2276813.5, 22768.135, 2276.8135, 2.2768135, 2276813.5, 22768.135, 2276.8135, 2.2768135, 1.3364245e-3, 3.655714e-2, 2.26984, 2269.84, 2269.84, 2269840.0
2631, 2234581.8, 22345.816, 2234.5818, 2.2345817, 2234581.8, 22345.816, 2234.5818, 2.2345817, 1.0157586e-3, 3.187097e-2, 2.231754, 2231.7542, 2231.7542, 2231754.0
2621, 2208860.8, 22088.61, 2208.8608, 2.2088609, 2208860.8, 22088.61, 2208.8608, 2.2088609, 9.722583e-4, 3.1181056e-2, 2.202653, 2202.6528, 2202.6528, 2202653.0
2611, 2355327.0, 23553.27, 2355.327, 2.355327, 2355327.0, 23553.27, 2355.327, 2.355327, 3.5397192e-3, 5.949554e-2, 2.340138, 2340.138, 2340.138, 2340138.0
2601, 2203524.0, 22035.24, 2203.5242, 2.203524, 2203524.0, 22035.24, 2203.5242, 2.203524, 1.5745502e-3, 3.96806e-2, 2.19429, 2194.29, 2194.29, 2194290.0
2591, 2213444.3, 22134.441, 2213.4443, 2.2134442, 2213444.3, 22134.441, 2213.4443, 2.2134442, 1.08458e-3, 3.2932963e-2, 2.209146, 2209.146, 2209.146, 2209146.0
2581, 2227205.8, 22272.057, 2227.2058, 2.2272058, 2227205.8, 22272.057, 2227.2058, 2.2272058, 1.7334354e-3, 4.1634545e-2, 2.217538, 2217.538, 2217.538, 2217538.0
2571, 2172862.5, 21728.625, 2172.8625, 2.1728625, 2172862.5, 21728.625, 2172.8625, 2.1728625, 1.0930739e-3, 3.306167e-2, 2.163961, 2163.961, 2163.961, 2163961.0
2561, 2082279.9, 20822.799, 2082.28, 2.08228, 2082279.9, 20822.799, 2082.28, 2.08228, 1.4155202e-3, 3.7623398e-2, 2.069869, 2069.8691, 2069.8691, 2069869.0
2551, 2067735.3, 20677.352, 2067.735, 2.0677352, 2067735.3, 20677.352, 2067.735, 2.0677352, 8.030481e-4, 2.8338103e-2, 2.061874, 2061.874, 2061.874, 2061873.9
2541, 2064358.5, 20643.584, 2064.3584, 2.0643585, 2064358.5, 20643.584, 2064.3584, 2.0643585, 8.935654e-4, 2.9892564e-2, 2.059556, 2059.556, 2059.556, 2059556.0
