n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 2299978.0, 22999.78, 2299.978, 2.299978, 2299978.0, 22999.78, 2299.978, 2.299978, 3.5784114e-4, 1.8916689e-2, 2.295821, 2295.821, 2295.821, 2295821.0
3001, 2272545.0, 22725.451, 2272.5452, 2.272545, 2272545.0, 22725.451, 2272.5452, 2.272545, 6.1502896e-4, 2.4799777e-2, 2.266403, 2266.403, 2266.403, 2266403.0
2991, 2316026.5, 23160.264, 2316.0264, 2.3160264, 2316026.5, 23160.264, 2316.0264, 2.3160264, 4.960348e-4, 2.2271838e-2, 2.312185, 2312.185, 2312.185, 2312185.0
2981, 2272513.3, 22725.13, 2272.5132, 2.2725132, 2272513.3, 22725.13, 2272.5132, 2.2725132, 6.656108e-4, 2.5799433e-2, 2.267574, 2267.574, 2267.574, 2267574.0
2971, 2286337.5, 22863.377, 2286.3376, 2.2863376, 2286337.5, 22863.377, 2286.3376, 2.2863376, 3.9254123e-4, 1.9812653e-2, 2.283332, 2283.332, 2283.332, 2283332.0
2961, 2251017.3, 22510.174, 2251.0173, 2.2510173, 2251017.3, 22510.174, 2251.0173, 2.2510173, 4.975151e-4, 2.2305045e-2, 2.247533, 2247.5332, 2247.5332, 2247533.0
2951, 2228315.0, 22283.148, 2228.315, 2.2283149, 2228315.0, 22283.148, 2228.315, 2.2283149, 4.9271435e-4, 2.219717e-2, 2.224947, 2224.947, 2224.947, 2224947.0
2941, 2237208.0, 22372.078, 2237.208, 2.237208, 2237208.0, 22372.078, 2237.208, 2.237208, 5.3837994e-4, 2.3203015e-2, 2.232069, 2232.069, 2232.069, 2232069.0
2931, 2208629.3, 22086.291, 2208.6292, 2.2086291, 2208629.3, 22086.291, 2208.6292, 2.2086291, 1.0380702e-3, 3.2219097e-2, 2.196289, 2196.289, 2196.289, 2196289.0
2921, 2192318.3, 21923.182, 2192.318, 2.1923182, 2192318.3, 21923.182, 2192.318, 2.1923182, 5.298692e-4, 2.301889e-2, 2.190733, 2190.733, 2190.733, 2190733.0
2911, 2166068.0, 21660.682, 2166.068, 2.166068, 2166068.0, 21660.682, 2166.068, 2.166068, 5.525738e-4, 2.350689e-2, 2.161468, 2161.468, 2161.468, 2161468.0
2901, 2173446.5, 21734.465, 2173.4465, 2.1734464, 2173446.5, 21734.465, 2173.4465, 2.1734464, 5.560628e-4, 2.3580983e-2, 2.169554, 2169.554, 2169.554, 2169554.0
2891, 2137538.0, 21375.379, 2137.5378, 2.137538, 2137538.0, 21375.379, 2137.5378, 2.137538, 5.9798657e-4, 2.4453765e-2, 2.131504, 2131.5042, 2131.5042, 2131504.0
2881, 2108373.0, 21083.729, 2108.373, 2.108373, 2108373.0, 21083.729, 2108.373, 2.108373, 3.6192036e-4, 1.9024204e-2, 2.103745, 2103.7449, 2103.7449, 2103745.0
2871, 2119580.0, 21195.8, 2119.58, 2.11958, 2119580.0, 21195.8, 2119.58, 2.11958, 5.331516e-4, 2.3090076e-2, 2.114572, 2114.572, 2114.572, 2114572.0
2861, 2081569.9, 20815.7, 2081.5698, 2.08157, 2081569.9, 20815.7, 2081.5698, 2.08157, 4.6777347e-4, 2.162807e-2, 2.07734, 2077.3398, 2077.3398, 2077339.9
2851, 2080472.0, 20804.72, 2080.472, 2.080472, 2080472.0, 20804.72, 2080.472, 2.080472, 5.526412e-4, 2.3508323e-2, 2.072423, 2072.423, 2072.423, 2072423.0
2841, 2025794.0, 20257.94, 2025.7941, 2.025794, 2025794.0, 20257.94, 2025.7941, 2.025794, 5.1444897e-4, 2.2681467e-2, 2.018576, 2018.5759, 2018.5759, 2018575.9
2831, 2049082.0, 20490.82, 2049.082, 2.049082, 2049082.0, 20490.82, 2049.082, 2.049082, 5.7905685e-4, 2.40636e-2, 2.042644, 2042.644, 2042.644, 2042644.0
2821, 2014927.9, 20149.28, 2014.9279, 2.0149279, 2014927.9, 20149.28, 2014.9279, 2.0149279, 4.448371e-4, 2.1091161e-2, 2.015029, 2015.0289, 2015.0289, 2015029.0
2811, 2060928.6, 20609.285, 2060.9285, 2.0609286, 2060928.6, 20609.285, 2060.9285, 2.0609286, 5.224617e-4, 2.2857422e-2, 2.058419, 2058.419, 2058.419, 2058419.0
2801, 1990658.3, 19906.582, 1990.6583, 1.9906583, 1990658.3, 19906.582, 1990.6583, 1.9906583, 4.4580825e-4, 2.1114172e-2, 1.988095, 1988.0951, 1988.0951, 1988095.0
2791, 1989991.4, 19899.914, 1989.9915, 1.9899914, 1989991.4, 19899.914, 1989.9915, 1.9899914, 6.031369e-4, 2.4558846e-2, 1.98699, 1986.99, 1986.99, 1986990.0
2781, 1972752.8, 19727.527, 1972.7528, 1.9727528, 1972752.8, 19727.527, 1972.7528, 1.9727528, 9.5553475e-4, 3.0911725e-2, 1.962475, 1962.475, 1962.475, 1962475.0
2771, 1926428.3, 19264.281, 1926.4282, 1.9264282, 1926428.3, 19264.281, 1926.4282, 1.9264282, 7.257265e-4, 2.693931e-2, 1.924364, 1924.364, 1924.364, 1924364.0
2761, 1897162.4, 18971.623, 1897.1624, 1.8971623, 1897162.4, 18971.623, 1897.1624, 1.8971623, 4.3363174e-4, 2.0823827e-2, 1.89282, 1892.82, 1892.82, 1892820.0
