n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 625471.44, 6254.7144, 625.47144, 0.6254714, 625471.44, 6254.7144, 625.47144, 0.6254714, 1.6490962e-4, 1.2841715e-2, 0.621653, 621.653, 621.653, 621653.0
2911, 600635.94, 6006.3594, 600.6359, 0.60063595, 600635.94, 6006.3594, 600.6359, 0.60063595, 1.3031546e-4, 1.1415579e-2, 0.599757, 599.757, 599.757, 599757.0
2811, 547197.0, 5471.9697, 547.19696, 0.547197, 547197.0, 5471.9697, 547.19696, 0.547197, 1.2662013e-4, 1.1252561e-2, 0.544353, 544.353, 544.353, 544353.0
2711, 522569.13, 5225.6914, 522.5691, 0.5225691, 522569.13, 5225.6914, 522.5691, 0.5225691, 1.8005709e-4, 1.3418536e-2, 0.519343, 519.343, 519.343, 519343.03
2611, 460779.56, 4607.796, 460.77957, 0.46077958, 460779.56, 4607.796, 460.77957, 0.46077958, 8.5649335e-5, 9.254693e-3, 0.457569, 457.569, 457.569, 457569.0
2511, 421022.25, 4210.222, 421.02225, 0.42102224, 421022.25, 4210.222, 421.02225, 0.42102224, 9.000408e-5, 9.487048e-3, 0.419231, 419.231, 419.231, 419231.0
2411, 391139.0, 3911.39, 391.139, 0.391139, 391139.0, 3911.39, 391.139, 0.391139, 7.4192954e-5, 8.613533e-3, 0.39035, 390.35, 390.35, 390350.0
2311, 371686.3, 3716.863, 371.6863, 0.3716863, 371686.3, 3716.863, 371.6863, 0.3716863, 8.4223255e-5, 9.1773225e-3, 0.370589, 370.589, 370.589, 370589.0
2211, 333235.94, 3332.3594, 333.23596, 0.33323595, 333235.94, 3332.3594, 333.23596, 0.33323595, 1.0246993e-4, 1.0122743e-2, 0.330863, 330.863, 330.863, 330863.0
2111, 310640.88, 3106.4087, 310.64087, 0.31064087, 310640.88, 3106.4087, 310.64087, 0.31064087, 6.4767955e-5, 8.0478545e-3, 0.308567, 308.567, 308.567, 308567.0
2011, 277800.94, 2778.0095, 277.80093, 0.27780095, 277800.94, 2778.0095, 277.80093, 0.27780095, 7.027794e-5, 8.383194e-3, 0.27591, 275.91, 275.91, 275910.0
1911, 281478.38, 2814.7837, 281.47836, 0.28147838, 281478.38, 2814.7837, 281.47836, 0.28147838, 5.4353073e-5, 7.372454e-3, 0.280227, 280.22702, 280.22702, 280227.0
1811, 256483.25, 2564.8325, 256.48325, 0.25648326, 256483.25, 2564.8325, 256.48325, 0.25648326, 3.9274204e-5, 6.2669134e-3, 0.256169, 256.169, 256.169, 256168.98
1711, 231983.11, 2319.831, 231.98311, 0.23198311, 231983.11, 2319.831, 231.98311, 0.23198311, 1.7540979e-5, 4.1881953e-3, 0.231831, 231.831, 231.831, 231831.0
1611, 208934.22, 2089.3423, 208.93422, 0.20893422, 208934.22, 2089.3423, 208.93422, 0.20893422, 2.7413744e-5, 5.2358136e-3, 0.208872, 208.87201, 208.87201, 208872.0
1511, 171409.08, 1714.0907, 171.40907, 0.17140907, 171409.08, 1714.0907, 171.40907, 0.17140907, 1.6894777e-5, 4.1103256e-3, 0.171268, 171.268, 171.268, 171268.0
1411, 152785.23, 1527.8524, 152.78525, 0.15278524, 152785.23, 1527.8524, 152.78525, 0.15278524, 1.7243634e-5, 4.1525457e-3, 0.151654, 151.654, 151.654, 151654.0
1311, 129422.37, 1294.2236, 129.42236, 0.12942237, 129422.37, 1294.2236, 129.42236, 0.12942237, 2.0515057e-5, 4.529355e-3, 0.128289, 128.289, 128.289, 128289.0
1211, 113331.74, 1133.3174, 113.33174, 0.11333174, 113331.74, 1133.3174, 113.33174, 0.11333174, 2.8199573e-5, 5.310327e-3, 0.11149, 111.49, 111.49, 111490.0
1111, 91294.59, 912.9459, 91.29459, 9.1294594e-2, 91294.59, 912.9459, 91.29459, 9.1294594e-2, 2.4198485e-5, 4.9191955e-3, 9.0962e-2, 90.962, 90.962, 90962.0
1011, 75190.5, 751.90497, 75.1905, 7.51905e-2, 75190.5, 751.90497, 75.1905, 7.51905e-2, 6.64532e-6, 2.5778518e-3, 7.4728e-2, 74.728, 74.728, 74728.0
911, 60070.53, 600.7053, 60.07053, 6.007053e-2, 60070.53, 600.7053, 60.07053, 6.007053e-2, 5.5276046e-6, 2.351086e-3, 5.9302e-2, 59.302, 59.302, 59302.0
811, 49948.367, 499.48367, 49.948368, 4.994837e-2, 49948.367, 499.48367, 49.948368, 4.994837e-2, 4.366723e-6, 2.0896704e-3, 4.9987e-2, 49.987, 49.987, 49987.0
711, 42344.266, 423.44266, 42.344265, 4.2344265e-2, 42344.266, 423.44266, 42.344265, 4.2344265e-2, 3.862085e-6, 1.965219e-3, 4.1925e-2, 41.925, 41.925, 41925.0
611, 30598.898, 305.98898, 30.598898, 3.0598897e-2, 30598.898, 305.98898, 30.598898, 3.0598897e-2, 1.6147454e-6, 1.2707263e-3, 3.0506e-2, 30.506, 30.506, 30506.0
511, 23170.5, 231.70499, 23.1705, 2.31705e-2, 23170.5, 231.70499, 23.1705, 2.31705e-2, 1.2132936e-6, 1.101496e-3, 2.3232e-2, 23.232, 23.232, 23232.0
411, 14781.834, 147.81833, 14.781834, 1.4781834e-2, 14781.834, 147.81833, 14.781834, 1.4781834e-2, 6.412341e-7, 8.0077094e-4, 1.4589e-2, 14.589, 14.589, 14589.0
311, 8939.3, 89.393, 8.9393, 8.9393e-3, 8939.3, 89.393, 8.9393, 8.9393e-3, 1.5694145e-6, 1.2527627e-3, 8.558e-3, 8.558001, 8.558001, 8558.0
211, 4737.7993, 47.377995, 4.7377996, 4.7377995e-3, 4737.7993, 47.377995, 4.7377996, 4.7377995e-3, 1.4684834e-7, 3.8320795e-4, 4.632e-3, 4.632, 4.632, 4632.0
111, 1578.0332, 15.780332, 1.5780332, 1.5780332e-3, 1578.0332, 15.780332, 1.5780332, 1.5780332e-3, 4.2499824e-8, 2.0615486e-4, 1.517e-3, 1.5170001, 1.5170001, 1517.0
11, 65.33334, 0.6533334, 6.5333344e-2, 6.533334e-5, 65.33334, 0.6533334, 6.5333344e-2, 6.533334e-5, 7.884888e-10, 2.8080041e-5, 5.0e-5, 4.9999997e-2, 4.9999997e-2, 50.0
