n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 70054.17, 700.54175, 70.05418, 7.005417e-2, 70054.17, 700.54175, 70.05418, 7.005417e-2, 4.5507945e-6, 2.133259e-3, 6.9795e-2, 69.795, 69.795, 69795.0
3001, 72247.945, 722.47943, 72.24795, 7.2247945e-2, 72247.945, 722.47943, 72.24795, 7.2247945e-2, 1.753018e-5, 4.186906e-3, 7.1225e-2, 71.225006, 71.225006, 71225.0
2991, 72456.7, 724.567, 72.4567, 7.24567e-2, 72456.7, 724.567, 72.4567, 7.24567e-2, 1.5716889e-5, 3.964453e-3, 7.0434e-2, 70.434, 70.434, 70434.0
2981, 72510.805, 725.10803, 72.5108, 7.25108e-2, 72510.805, 725.10803, 72.5108, 7.25108e-2, 1.9949015e-5, 4.466432e-3, 7.1918e-2, 71.91801, 71.91801, 71918.0
2971, 71615.07, 716.1507, 71.61507, 7.161507e-2, 71615.07, 716.1507, 71.61507, 7.161507e-2, 8.453286e-6, 2.9074536e-3, 7.1235e-2, 71.235, 71.235, 71235.0
2961, 70764.266, 707.64264, 70.76427, 7.0764266e-2, 70764.266, 707.64264, 70.76427, 7.0764266e-2, 1.1071098e-5, 3.327326e-3, 7.0435e-2, 70.435005, 70.435005, 70435.0
2951, 71630.5, 716.305, 71.6305, 7.16305e-2, 71630.5, 716.305, 71.6305, 7.16305e-2, 1.9482997e-5, 4.413955e-3, 6.9887e-2, 69.887, 69.887, 69887.0
2941, 71619.01, 716.19006, 71.619, 7.1619004e-2, 71619.01, 716.19006, 71.619, 7.1619004e-2, 1.586098e-5, 3.9825845e-3, 7.0305e-2, 70.305, 70.305, 70305.0
2931, 73024.945, 730.24945, 73.02494, 7.302494e-2, 73024.945, 730.24945, 73.02494, 7.302494e-2, 1.1637812e-5, 3.4114239e-3, 7.3248e-2, 73.248, 73.248, 73248.0
2921, 68102.125, 681.0213, 68.10213, 6.810213e-2, 68102.125, 681.0213, 68.10213, 6.810213e-2, 4.3174646e-6, 2.077851e-3, 6.8398e-2, 68.397995, 68.397995, 68398.0
2911, 71032.61, 710.32605, 71.03261, 7.1032606e-2, 71032.61, 710.32605, 71.03261, 7.1032606e-2, 1.1881473e-5, 3.4469513e-3, 7.0383e-2, 70.382996, 70.382996, 70383.0
2901, 70184.76, 701.8476, 70.18476, 7.018476e-2, 70184.76, 701.8476, 70.18476, 7.018476e-2, 1.959074e-5, 4.4261427e-3, 6.8925e-2, 68.925, 68.925, 68925.0
2891, 70241.59, 702.41595, 70.24159, 7.024159e-2, 70241.59, 702.41595, 70.24159, 7.024159e-2, 1.22524425e-5, 3.500349e-3, 6.9181e-2, 69.181, 69.181, 69181.0
2881, 69721.67, 697.2167, 69.72167, 6.972167e-2, 69721.67, 697.2167, 69.72167, 6.972167e-2, 9.1699385e-6, 3.0281907e-3, 6.9559e-2, 69.559, 69.559, 69559.0
2871, 67526.805, 675.268, 67.5268, 6.75268e-2, 67526.805, 675.268, 67.5268, 6.75268e-2, 3.1800867e-6, 1.7832797e-3, 6.7166e-2, 67.166, 67.166, 67166.0
2861, 68925.76, 689.2576, 68.92576, 6.892576e-2, 68925.76, 689.2576, 68.92576, 6.892576e-2, 9.965006e-6, 3.1567398e-3, 6.7971e-2, 67.971, 67.971, 67971.0
2851, 68778.1, 687.78107, 68.77811, 6.8778105e-2, 68778.1, 687.78107, 68.77811, 6.8778105e-2, 1.5409902e-5, 3.9255447e-3, 6.8256e-2, 68.256, 68.256, 68256.0
2841, 68560.7, 685.60706, 68.56071, 6.8560705e-2, 68560.7, 685.60706, 68.56071, 6.8560705e-2, 1.4126885e-5, 3.7585748e-3, 6.7032e-2, 67.032005, 67.032005, 67032.0
2831, 68322.06, 683.22064, 68.32206, 6.832206e-2, 68322.06, 683.22064, 68.32206, 6.832206e-2, 1.7434459e-5, 4.175459e-3, 6.7434e-2, 67.434, 67.434, 67434.0
2821, 68213.2, 682.132, 68.2132, 6.82132e-2, 68213.2, 682.132, 68.2132, 6.82132e-2, 2.1420403e-5, 4.6282182e-3, 6.709e-2, 67.09, 67.09, 67090.0
2811, 64415.797, 644.15796, 64.415794, 6.44158e-2, 64415.797, 644.15796, 64.415794, 6.44158e-2, 1.1409187e-5, 3.377749e-3, 6.3501e-2, 63.501, 63.501, 63501.0
2801, 64265.1, 642.651, 64.2651, 6.42651e-2, 64265.1, 642.651, 64.2651, 6.42651e-2, 1.6701952e-5, 4.0868022e-3, 6.3194e-2, 63.194, 63.194, 63194.0
2791, 64617.06, 646.1706, 64.61706, 6.461706e-2, 64617.06, 646.1706, 64.61706, 6.461706e-2, 3.0283552e-5, 5.5030496e-3, 6.3162e-2, 63.162, 63.162, 63162.0
2781, 62356.066, 623.56067, 62.356068, 6.2356066e-2, 62356.066, 623.56067, 62.356068, 6.2356066e-2, 7.885466e-6, 2.8081073e-3, 6.1618e-2, 61.618, 61.618, 61618.0
2771, 63186.9, 631.869, 63.186897, 6.31869e-2, 63186.9, 631.869, 63.186897, 6.31869e-2, 1.4674792e-5, 3.830769e-3, 6.173e-2, 61.73, 61.73, 61730.0
2761, 63498.43, 634.9843, 63.49843, 6.349843e-2, 63498.43, 634.9843, 63.49843, 6.349843e-2, 9.814057e-6, 3.1327396e-3, 6.2588e-2, 62.587997, 62.587997, 62588.0
2751, 63214.57, 632.1457, 63.21457, 6.321457e-2, 63214.57, 632.1457, 63.21457, 6.321457e-2, 1.5852353e-5, 3.9815013e-3, 6.1328e-2, 61.328003, 61.328003, 61328.0
2741, 62435.668, 624.3567, 62.43567, 6.2435668e-2, 62435.668, 624.3567, 62.43567, 6.2435668e-2, 1.209366e-5, 3.4775941e-3, 6.1529e-2, 61.529, 61.529, 61529.0
2731, 62077.06, 620.7706, 62.07706, 6.207706e-2, 62077.06, 620.7706, 62.07706, 6.207706e-2, 1.0694246e-5, 3.2702058e-3, 6.1765e-2, 61.765, 61.765, 61765.0
2721, 62003.563, 620.03564, 62.003563, 6.2003564e-2, 62003.563, 620.03564, 62.003563, 6.2003564e-2, 1.1429862e-5, 3.3808078e-3, 6.1555e-2, 61.554996, 61.554996, 61555.0
2711, 62266.465, 622.6647, 62.266464, 6.2266465e-2, 62266.465, 622.6647, 62.266464, 6.2266465e-2, 9.9743975e-6, 3.1582268e-3, 6.1149e-2, 61.149002, 61.149002, 61149.0
2701, 61666.7, 616.667, 61.666702, 6.16667e-2, 61666.7, 616.667, 61.666702, 6.16667e-2, 1.3931112e-5, 3.7324405e-3, 6.03e-2, 60.3, 60.3, 60300.0
2691, 61669.965, 616.69965, 61.669964, 6.1669964e-2, 61669.965, 616.69965, 61.669964, 6.1669964e-2, 1.0372494e-5, 3.2206357e-3, 6.0209e-2, 60.209, 60.209, 60209.0
2681, 61792.46, 617.9246, 61.792458, 6.179246e-2, 61792.46, 617.9246, 61.792458, 6.179246e-2, 8.882232e-6, 2.9803072e-3, 6.1551e-2, 61.551003, 61.551003, 61551.0
2671, 61300.758, 613.00757, 61.30076, 6.130076e-2, 61300.758, 613.00757, 61.30076, 6.130076e-2, 1.1329444e-5, 3.3659239e-3, 6.0448e-2, 60.447998, 60.447998, 60448.0
2661, 60948.0, 609.48, 60.947998, 6.0948e-2, 60948.0, 609.48, 60.947998, 6.0948e-2, 1.6187869e-5, 4.023415e-3, 5.9944e-2, 59.944, 59.944, 59944.0
2651, 60691.93, 606.9193, 60.69193, 6.069193e-2, 60691.93, 606.9193, 60.69193, 6.069193e-2, 1.5267595e-5, 3.907377e-3, 5.9309e-2, 59.309, 59.309, 59309.0
2641, 60749.836, 607.49835, 60.749836, 6.0749836e-2, 60749.836, 607.49835, 60.749836, 6.0749836e-2, 1.28048205e-5, 3.5783823e-3, 5.956e-2, 59.56, 59.56, 59560.0
2631, 60550.938, 605.50934, 60.550934, 6.0550936e-2, 60550.938, 605.50934, 60.550934, 6.0550936e-2, 1.1453273e-5, 3.3842684e-3, 6.0196e-2, 60.196003, 60.196003, 60196.0
2621, 60303.566, 603.03564, 60.303566, 6.0303565e-2, 60303.566, 603.03564, 60.303566, 6.0303565e-2, 1.2511299e-5, 3.5371315e-3, 5.8754e-2, 58.754, 58.754, 58754.0
2611, 59453.54, 594.5354, 59.45354, 5.945354e-2, 59453.54, 594.5354, 59.45354, 5.945354e-2, 1.0142015e-5, 3.184653e-3, 5.8599e-2, 58.599, 58.599, 58599.0
2601, 59177.844, 591.77844, 59.17784, 5.9177842e-2, 59177.844, 591.77844, 59.17784, 5.9177842e-2, 1.0435874e-5, 3.2304605e-3, 5.8796e-2, 58.796, 58.796, 58796.0
2591, 58816.797, 588.16797, 58.8168, 5.8816798e-2, 58816.797, 588.16797, 58.8168, 5.8816798e-2, 7.784417e-6, 2.7900569e-3, 5.7625e-2, 57.625, 57.625, 57625.0
2581, 58741.496, 587.415, 58.741493, 5.8741495e-2, 58741.496, 587.415, 58.741493, 5.8741495e-2, 2.3790517e-5, 4.8775524e-3, 5.7491e-2, 57.491, 57.491, 57491.0
2571, 58801.332, 588.0133, 58.80133, 5.880133e-2, 58801.332, 588.0133, 58.80133, 5.880133e-2, 1.1806941e-5, 3.436123e-3, 5.7748e-2, 57.748, 57.748, 57748.0
2561, 58291.496, 582.915, 58.291496, 5.8291495e-2, 58291.496, 582.915, 58.291496, 5.8291495e-2, 1.6296404e-5, 4.0368806e-3, 5.709e-2, 57.09, 57.09, 57090.0
