n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 27037.365, 270.37366, 27.037365, 2.7037365e-2, 27037.365, 270.37366, 27.037365, 2.7037365e-2, 2.5151073e-6, 1.5859089e-3, 2.6517e-2, 26.517, 26.517, 26517.0
2911, 25725.602, 257.256, 25.725601, 2.5725601e-2, 25725.602, 257.256, 25.725601, 2.5725601e-2, 5.7109924e-7, 7.5571105e-4, 2.5652e-2, 25.652, 25.652, 25652.0
2811, 25652.371, 256.5237, 25.65237, 2.5652371e-2, 25652.371, 256.5237, 25.65237, 2.5652371e-2, 2.6596588e-6, 1.6308461e-3, 2.5419e-2, 25.419, 25.419, 25419.0
2711, 27712.332, 277.12332, 27.712332, 2.7712332e-2, 27712.332, 277.12332, 27.712332, 2.7712332e-2, 5.89637e-6, 2.4282443e-3, 2.7421e-2, 27.421, 27.421, 27421.0
2611, 24237.43, 242.3743, 24.23743, 2.423743e-2, 24237.43, 242.3743, 24.23743, 2.423743e-2, 3.4826146e-6, 1.8661765e-3, 2.3952e-2, 23.952, 23.952, 23952.0
2511, 22282.068, 222.82068, 22.282068, 2.2282068e-2, 22282.068, 222.82068, 22.282068, 2.2282068e-2, 4.0649283e-7, 6.375679e-4, 2.2383e-2, 22.383001, 22.383001, 22383.0
2411, 21367.463, 213.67462, 21.367462, 2.1367462e-2, 21367.463, 213.67462, 21.367462, 2.1367462e-2, 1.7586146e-6, 1.3261277e-3, 2.1074e-2, 21.074001, 21.074001, 21074.0
2311, 21963.469, 219.63467, 21.963469, 2.1963468e-2, 21963.469, 219.63467, 21.963469, 2.1963468e-2, 4.814887e-6, 2.194285e-3, 2.1402e-2, 21.402, 21.402, 21402.0
2211, 19554.2, 195.54199, 19.5542, 1.95542e-2, 19554.2, 195.54199, 19.5542, 1.95542e-2, 1.7689857e-6, 1.3300322e-3, 1.9318e-2, 19.317999, 19.317999, 19318.0
2111, 19410.434, 194.10434, 19.410433, 1.9410433e-2, 19410.434, 194.10434, 19.410433, 1.9410433e-2, 3.2199073e-6, 1.79441e-3, 1.9212e-2, 19.212, 19.212, 19212.0
2011, 16744.5, 167.445, 16.7445, 1.67445e-2, 16744.5, 167.445, 16.7445, 1.67445e-2, 8.865615e-7, 9.4157393e-4, 1.6615e-2, 16.615, 16.615, 16615.0
1911, 17222.732, 172.22733, 17.222733, 1.7222732e-2, 17222.732, 172.22733, 17.222733, 1.7222732e-2, 4.0289424e-6, 2.0072225e-3, 1.6566e-2, 16.566, 16.566, 16566.0
1811, 15139.432, 151.39432, 15.139432, 1.5139432e-2, 15139.432, 151.39432, 15.139432, 1.5139432e-2, 8.3673734e-7, 9.147335e-4, 1.4904e-2, 14.904, 14.904, 14904.0
1711, 14013.633, 140.13634, 14.013633, 1.4013633e-2, 14013.633, 140.13634, 14.013633, 1.4013633e-2, 5.099334e-7, 7.140962e-4, 1.3899e-2, 13.899, 13.899, 13899.0
1611, 12236.032, 122.36033, 12.2360325, 1.2236033e-2, 12236.032, 122.36033, 12.2360325, 1.2236033e-2, 7.199543e-7, 8.485012e-4, 1.2063e-2, 12.063001, 12.063001, 12063.0
1511, 11133.266, 111.33266, 11.1332655, 1.1133266e-2, 11133.266, 111.33266, 11.1332655, 1.1133266e-2, 3.9068456e-7, 6.2504766e-4, 1.1092e-2, 11.092, 11.092, 11092.0
1411, 10387.867, 103.87867, 10.387867, 1.0387867e-2, 10387.867, 103.87867, 10.387867, 1.0387867e-2, 5.978705e-7, 7.7322085e-4, 1.0312e-2, 10.312, 10.312, 10312.0
1311, 9244.966, 92.44965, 9.244966, 9.244965e-3, 9244.966, 92.44965, 9.244966, 9.244965e-3, 3.1920416e-7, 5.6498154e-4, 9.353e-3, 9.353, 9.353, 9353.0
1211, 8144.3667, 81.443665, 8.144366, 8.144367e-3, 8144.3667, 81.443665, 8.144366, 8.144367e-3, 3.638884e-7, 6.0323166e-4, 8.024e-3, 8.023999, 8.023999, 8023.9995
1111, 7099.899, 70.99899, 7.099899, 7.099899e-3, 7099.899, 70.99899, 7.099899, 7.099899e-3, 1.1904204e-7, 3.450247e-4, 7.09e-3, 7.09, 7.09, 7090.0
1011, 7722.8335, 77.22834, 7.7228336, 7.7228337e-3, 7722.8335, 77.22834, 7.7228336, 7.7228337e-3, 8.560587e-8, 2.925848e-4, 7.779e-3, 7.779, 7.779, 7779.0
911, 7247.767, 72.47767, 7.247767, 7.247767e-3, 7247.767, 72.47767, 7.247767, 7.247767e-3, 3.8309693e-7, 6.1894825e-4, 7.277e-3, 7.2770004, 7.2770004, 7277.0
811, 5811.433, 58.114334, 5.8114333, 5.8114333e-3, 5811.433, 58.114334, 5.8114333, 5.8114333e-3, 1.14019926e-7, 3.3766837e-4, 5.821e-3, 5.8209996, 5.8209996, 5821.0
711, 5483.134, 54.831337, 5.483134, 5.4831337e-3, 5483.134, 54.831337, 5.483134, 5.4831337e-3, 8.447789e-7, 9.191186e-4, 5.247e-3, 5.247, 5.247, 5247.0
611, 4268.3003, 42.683002, 4.2683, 4.2683003e-3, 4268.3003, 42.683002, 4.2683, 4.2683003e-3, 8.2855806e-8, 2.8784684e-4, 4.201e-3, 4.201, 4.201, 4201.0
511, 3259.6335, 32.596333, 3.2596335, 3.2596334e-3, 3259.6335, 32.596333, 3.2596335, 3.2596334e-3, 7.18133e-8, 2.6798004e-4, 3.252e-3, 3.252, 3.252, 3252.0
411, 2684.0334, 26.840334, 2.6840334, 2.6840335e-3, 2684.0334, 26.840334, 2.6840334, 2.6840335e-3, 7.816735e-8, 2.7958426e-4, 2.715e-3, 2.715, 2.715, 2715.0
311, 2056.4666, 20.564667, 2.0564666, 2.0564666e-3, 2056.4666, 20.564667, 2.0564666, 2.0564666e-3, 6.484239e-8, 2.546417e-4, 2.036e-3, 2.036, 2.036, 2035.9999
211, 1271.5665, 12.715665, 1.2715665, 1.2715665e-3, 1271.5665, 12.715665, 1.2715665, 1.2715665e-3, 1.449391e-8, 1.2039066e-4, 1.222e-3, 1.222, 1.222, 1222.0
111, 682.16675, 6.821667, 0.6821667, 6.821667e-4, 682.16675, 6.821667, 0.6821667, 6.821667e-4, 4.150939e-9, 6.442778e-5, 6.65e-4, 0.665, 0.665, 665.0
11, 91.1, 0.91099995, 9.109999e-2, 9.1099995e-5, 91.1, 0.91099995, 9.109999e-2, 9.1099995e-5, 7.090757e-9, 8.420663e-5, 5.9e-5, 5.9e-2, 5.9e-2, 59.0
