n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 6506.567, 65.06567, 6.506567, 6.506567e-3, 6506.567, 65.06567, 6.506567, 6.506567e-3, 8.376527e-7, 9.152337e-4, 6.348e-3, 6.348, 6.348, 6348.0
2911, 5252.766, 52.52766, 5.252766, 5.252766e-3, 5252.766, 52.52766, 5.252766, 5.252766e-3, 2.0982768e-7, 4.580695e-4, 5.26e-3, 5.26, 5.26, 5260.0
2811, 5081.8335, 50.818333, 5.0818334, 5.0818333e-3, 5081.8335, 50.818333, 5.0818334, 5.0818333e-3, 8.3338e-8, 2.8868322e-4, 5.124e-3, 5.124, 5.124, 5124.0
2711, 5403.1997, 54.031998, 5.4031997, 5.4031997e-3, 5403.1997, 54.031998, 5.4031997, 5.4031997e-3, 5.271444e-7, 7.260471e-4, 5.269e-3, 5.269, 5.269, 5269.0
2611, 4885.7, 48.857002, 4.8857, 4.8857e-3, 4885.7, 48.857002, 4.8857, 4.8857e-3, 1.6514602e-7, 4.0638162e-4, 4.81e-3, 4.81, 4.81, 4810.0
2511, 3758.3, 37.583, 3.7583, 3.7583e-3, 3758.3, 37.583, 3.7583, 3.7583e-3, 1.5883928e-7, 3.9854646e-4, 3.833e-3, 3.8330002, 3.8330002, 3833.0
2411, 3762.7668, 37.62767, 3.7627668, 3.762767e-3, 3762.7668, 37.62767, 3.7627668, 3.762767e-3, 4.8505893e-7, 6.964617e-4, 3.665e-3, 3.665, 3.665, 3665.0
2311, 3267.167, 32.67167, 3.2671669, 3.267167e-3, 3267.167, 32.67167, 3.2671669, 3.267167e-3, 2.1173807e-7, 4.6015004e-4, 3.191e-3, 3.191, 3.191, 3191.0
2211, 3038.7, 30.387, 3.0386999, 3.0387e-3, 3038.7, 30.387, 3.0386999, 3.0387e-3, 2.5422625e-7, 5.0420855e-4, 2.805e-3, 2.8049998, 2.8049998, 2805.0
2111, 2915.1997, 29.151997, 2.9151995, 2.9151996e-3, 2915.1997, 29.151997, 2.9151995, 2.9151996e-3, 2.1178828e-7, 4.602046e-4, 2.816e-3, 2.816, 2.816, 2816.0
2011, 2533.1335, 25.331337, 2.5331335, 2.5331336e-3, 2533.1335, 25.331337, 2.5331335, 2.5331336e-3, 6.3901986e-8, 2.5278842e-4, 2.494e-3, 2.494, 2.494, 2494.0
1911, 2296.4, 22.964, 2.2964, 2.2964e-3, 2296.4, 22.964, 2.2964, 2.2964e-3, 3.327744e-8, 1.8242105e-4, 2.243e-3, 2.243, 2.243, 2243.0
1811, 1955.5664, 19.555664, 1.9555664, 1.9555665e-3, 1955.5664, 19.555664, 1.9555664, 1.9555665e-3, 3.108371e-8, 1.7630574e-4, 1.978e-3, 1.9779999, 1.9779999, 1977.9999
1711, 1814.6666, 18.146667, 1.8146666, 1.8146667e-3, 1814.6666, 18.146667, 1.8146666, 1.8146667e-3, 2.4770161e-8, 1.573854e-4, 1.861e-3, 1.861, 1.861, 1861.0
1611, 1744.0334, 17.440334, 1.7440335, 1.7440334e-3, 1744.0334, 17.440334, 1.7440335, 1.7440334e-3, 7.4993025e-8, 2.7384853e-4, 1.757e-3, 1.757, 1.757, 1757.0
1511, 2287.3667, 22.873667, 2.2873666, 2.2873667e-3, 2287.3667, 22.873667, 2.2873666, 2.2873667e-3, 5.462976e-8, 2.337301e-4, 2.239e-3, 2.239, 2.239, 2239.0
1411, 2061.4333, 20.614334, 2.0614333, 2.0614334e-3, 2061.4333, 20.614334, 2.0614333, 2.0614334e-3, 6.733257e-8, 2.594852e-4, 2.071e-3, 2.0709999, 2.0709999, 2071.0
1311, 1806.1002, 18.061003, 1.8061002, 1.8061002e-3, 1806.1002, 18.061003, 1.8061002, 1.8061002e-3, 2.7341224e-8, 1.6535183e-4, 1.839e-3, 1.839, 1.839, 1839.0
1211, 1613.5333, 16.135334, 1.6135334, 1.6135334e-3, 1613.5333, 16.135334, 1.6135334, 1.6135334e-3, 1.878978e-8, 1.3707583e-4, 1.612e-3, 1.6120001, 1.6120001, 1612.0
1111, 1446.0332, 14.460333, 1.4460332, 1.4460332e-3, 1446.0332, 14.460333, 1.4460332, 1.4460332e-3, 2.0048166e-8, 1.4159155e-4, 1.393e-3, 1.393, 1.393, 1393.0
1011, 1271.0333, 12.710333, 1.2710333, 1.2710333e-3, 1271.0333, 12.710333, 1.2710333, 1.2710333e-3, 2.15941e-8, 1.4694931e-4, 1.245e-3, 1.245, 1.245, 1245.0
911, 1132.9664, 11.329665, 1.1329665, 1.1329665e-3, 1132.9664, 11.329665, 1.1329665, 1.1329665e-3, 1.7316898e-8, 1.3159368e-4, 1.151e-3, 1.151, 1.151, 1151.0
811, 872.3333, 8.723333, 0.8723333, 8.723333e-4, 872.3333, 8.723333, 0.8723333, 8.723333e-4, 1.5403353e-8, 1.2411024e-4, 8.87e-4, 0.887, 0.887, 887.0
711, 725.1667, 7.251667, 0.7251667, 7.251667e-4, 725.1667, 7.251667, 0.7251667, 7.251667e-4, 1.3397005e-8, 1.1574543e-4, 7.05e-4, 0.70500004, 0.70500004, 705.0
611, 574.6667, 5.7466664, 0.5746667, 5.7466666e-4, 574.6667, 5.7466664, 0.5746667, 5.7466666e-4, 1.2977356e-8, 1.139182e-4, 5.36e-4, 0.536, 0.536, 536.0
511, 553.5333, 5.535333, 0.5535333, 5.535333e-4, 553.5333, 5.535333, 0.5535333, 5.535333e-4, 1.1052182e-8, 1.0512936e-4, 5.17e-4, 0.51699996, 0.51699996, 517.0
411, 432.9, 4.329, 0.4329, 4.329e-4, 432.9, 4.329, 0.4329, 4.329e-4, 5.5596896e-9, 7.456333e-5, 4.14e-4, 0.414, 0.414, 414.0
311, 318.2, 3.1820002, 0.31820002, 3.182e-4, 318.2, 3.1820002, 0.31820002, 3.182e-4, 3.6217604e-9, 6.0181064e-5, 2.96e-4, 0.296, 0.296, 296.0
211, 181.33334, 1.8133335, 0.18133335, 1.8133335e-4, 181.33334, 1.8133335, 0.18133335, 1.8133335e-4, 1.6444889e-9, 4.05523e-5, 1.59e-4, 0.15900001, 0.15900001, 159.0
111, 101.03333, 1.0103334, 0.10103334, 1.01033336e-4, 101.03333, 1.0103334, 0.10103334, 1.01033336e-4, 4.3476558e-10, 2.0851034e-5, 9.1e-5, 9.1e-2, 9.1e-2, 91.0
11, 15.466669, 0.15466669, 1.5466669e-2, 1.5466669e-5, 15.466669, 0.15466669, 1.5466669e-2, 1.5466669e-5, 2.9315553e-11, 5.414384e-6, 1.3e-5, 1.3e-2, 1.3e-2, 13.0
