n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 6506.567, 65.06567, 6.506567, 6.506567e-3, 6506.567, 65.06567, 6.506567, 6.506567e-3, 8.376527e-7, 9.152337e-4, 6.348e-3, 6.348, 6.348, 6348.0
3001, 5597.3335, 55.973335, 5.5973334, 5.5973334e-3, 5597.3335, 55.973335, 5.5973334, 5.5973334e-3, 1.9934912e-7, 4.464853e-4, 5.563e-3, 5.563, 5.563, 5563.0
2991, 5465.999, 54.659992, 5.465999, 5.4659992e-3, 5465.999, 54.659992, 5.465999, 5.4659992e-3, 1.3492667e-7, 3.6732366e-4, 5.451e-3, 5.4509997, 5.4509997, 5451.0
2981, 5461.5, 54.615, 5.4615, 5.4615e-3, 5461.5, 54.615, 5.4615, 5.4615e-3, 2.9585846e-7, 5.439287e-4, 5.394e-3, 5.394, 5.394, 5394.0
2971, 5346.5, 53.465, 5.3465, 5.3465e-3, 5346.5, 53.465, 5.3465, 5.3465e-3, 9.352912e-8, 3.058253e-4, 5.315e-3, 5.315, 5.315, 5315.0
2961, 5380.1997, 53.802, 5.3802, 5.3801998e-3, 5380.1997, 53.802, 5.3802, 5.3801998e-3, 1.888087e-7, 4.3452124e-4, 5.361e-3, 5.361, 5.361, 5361.0
2951, 5154.366, 51.543663, 5.154366, 5.154366e-3, 5154.366, 51.543663, 5.154366, 5.154366e-3, 1.2803e-7, 3.578128e-4, 5.109e-3, 5.109, 5.109, 5109.0
2941, 5204.267, 52.042667, 5.204267, 5.204267e-3, 5204.267, 52.042667, 5.204267, 5.204267e-3, 9.633872e-8, 3.1038478e-4, 5.254e-3, 5.254, 5.254, 5254.0
2931, 5245.4, 52.454002, 5.2454, 5.2454e-3, 5245.4, 52.454002, 5.2454, 5.2454e-3, 1.0558708e-7, 3.2494165e-4, 5.244e-3, 5.244, 5.244, 5244.0
2921, 5153.3335, 51.533333, 5.153333, 5.1533333e-3, 5153.3335, 51.533333, 5.153333, 5.1533333e-3, 1.3648611e-7, 3.6944027e-4, 5.191e-3, 5.191, 5.191, 5191.0
2911, 5252.766, 52.52766, 5.252766, 5.252766e-3, 5252.766, 52.52766, 5.252766, 5.252766e-3, 2.0982768e-7, 4.580695e-4, 5.26e-3, 5.26, 5.26, 5260.0
2901, 5343.0, 53.43, 5.343, 5.343e-3, 5343.0, 53.43, 5.343, 5.343e-3, 4.286457e-7, 6.547104e-4, 5.274e-3, 5.274, 5.274, 5274.0
2891, 5059.801, 50.598007, 5.0598006, 5.0598006e-3, 5059.801, 50.598007, 5.0598006, 5.0598006e-3, 1.378074e-7, 3.712242e-4, 5.077e-3, 5.0769997, 5.0769997, 5077.0
2881, 5188.7666, 51.887665, 5.1887665, 5.1887664e-3, 5188.7666, 51.887665, 5.1887665, 5.1887664e-3, 1.9809853e-7, 4.450826e-4, 5.141e-3, 5.141, 5.141, 5141.0
2871, 5168.801, 51.688007, 5.168801, 5.1688007e-3, 5168.801, 51.688007, 5.168801, 5.1688007e-3, 9.7938205e-8, 3.129508e-4, 5.161e-3, 5.161, 5.161, 5161.0
2861, 5706.7324, 57.067326, 5.7067327, 5.7067326e-3, 5706.7324, 57.067326, 5.7067327, 5.7067326e-3, 4.393161e-7, 6.6280924e-4, 5.713e-3, 5.713, 5.713, 5713.0
2851, 5250.3994, 52.503994, 5.2503996, 5.2503995e-3, 5250.3994, 52.503994, 5.2503996, 5.2503995e-3, 1.9113789e-7, 4.371932e-4, 5.165e-3, 5.165, 5.165, 5165.0
2841, 5058.9336, 50.589336, 5.0589337, 5.0589335e-3, 5058.9336, 50.589336, 5.0589337, 5.0589335e-3, 1.4605163e-7, 3.8216703e-4, 5.049e-3, 5.0490003, 5.0490003, 5049.0
2831, 5038.1665, 50.381664, 5.0381665, 5.0381664e-3, 5038.1665, 50.381664, 5.0381665, 5.0381664e-3, 2.1227407e-7, 4.6073212e-4, 4.976e-3, 4.9760003, 4.9760003, 4976.0
2821, 5143.9673, 51.439674, 5.1439676, 5.1439675e-3, 5143.9673, 51.439674, 5.1439676, 5.1439675e-3, 1.9280378e-7, 4.3909426e-4, 5.075e-3, 5.0750003, 5.0750003, 5075.0
2811, 5081.8335, 50.818333, 5.0818334, 5.0818333e-3, 5081.8335, 50.818333, 5.0818334, 5.0818333e-3, 8.3338e-8, 2.8868322e-4, 5.124e-3, 5.124, 5.124, 5124.0
2801, 5591.433, 55.91433, 5.591433, 5.591433e-3, 5591.433, 55.91433, 5.591433, 5.591433e-3, 7.164219e-7, 8.464171e-4, 5.254e-3, 5.254, 5.254, 5254.0
2791, 5006.534, 50.065342, 5.006534, 5.006534e-3, 5006.534, 50.065342, 5.006534, 5.006534e-3, 1.5311531e-7, 3.9129952e-4, 5.021e-3, 5.021, 5.021, 5021.0
2781, 4866.8335, 48.668335, 4.866833, 4.8668333e-3, 4866.8335, 48.668335, 4.866833, 4.8668333e-3, 9.711468e-8, 3.116323e-4, 4.881e-3, 4.881, 4.881, 4881.0
2771, 5095.0664, 50.950665, 5.0950665, 5.0950665e-3, 5095.0664, 50.950665, 5.0950665, 5.0950665e-3, 1.0483624e-7, 3.2378425e-4, 5.159e-3, 5.159, 5.159, 5159.0
2761, 4978.7, 49.787003, 4.9787, 4.9787e-3, 4978.7, 49.787003, 4.9787, 4.9787e-3, 2.272669e-7, 4.7672517e-4, 4.917e-3, 4.917, 4.917, 4917.0
2751, 5121.833, 51.21833, 5.1218333, 5.121833e-3, 5121.833, 51.21833, 5.1218333, 5.121833e-3, 2.2940668e-7, 4.7896418e-4, 5.067e-3, 5.0670004, 5.0670004, 5067.0
