n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
500,5822.3234,2827.1,1789.9231,17.899231,1.7899231,1.7899231E-03,894961.56,8949.615,894.96155,0.89496154,2.4353378E-04,1.5605569E-02,0.893362,893.362,1.786724,1786.724
499,5802.8245,2821.4458,1784.6338,17.846338,1.7846339,1.7846338E-03,892316.94,8923.169,892.31696,0.89231694,1.9448018E-04,1.3945615E-02,0.891361,891.361,1.782722,1782.7219
498,5815.8311,2815.7916,1788.1622,17.881622,1.7881622,1.7881623E-03,894081.1,8940.812,894.0811,0.8940811,1.8593526E-04,1.3635808E-02,0.893954,893.954,1.787908,1787.908
497,5814.9032,2810.1374,1787.9105,17.879105,1.7879105,1.7879105E-03,893955.25,8939.553,893.9552,0.89395523,2.8842175E-04,1.6982984E-02,0.891387,891.38696,1.782774,1782.774
496,5748.1685,2804.4832,1769.7979,17.697979,1.7697979,1.7697979E-03,884898.94,8848.989,884.899,0.88489896,2.7410142E-04,1.6556008E-02,0.882619,882.619,1.765238,1765.238
495,5722.9507,2798.829,1762.9478,17.629478,1.7629478,1.7629478E-03,881473.9,8814.739,881.4739,0.8814739,2.2043064E-04,1.4846907E-02,0.878434,878.434,1.756868,1756.8679
494,5703.8421,2793.1748,1757.7551,17.57755,1.7577552,1.7577552E-03,878877.56,8788.775,878.87756,0.8788776,2.745359E-04,1.6569125E-02,0.875327,875.32697,1.750654,1750.6539
493,5688.7022,2787.5206,1753.6396,17.536396,1.7536397,1.7536397E-03,876819.9,8768.198,876.8198,0.87681985,2.2135355E-04,1.4877955E-02,0.876253,876.253,1.752506,1752.506
492,5688.5915,2781.8664,1753.6095,17.536095,1.7536095,1.7536095E-03,876804.75,8768.048,876.80475,0.87680477,2.1175548E-04,1.455182E-02,0.875663,875.66296,1.751326,1751.3259
491,5671.9791,2776.2122,1749.0924,17.490923,1.7490923,1.7490924E-03,874546.2,8745.462,874.54614,0.8745462,2.9772733E-04,1.7254777E-02,0.870719,870.719,1.741438,1741.4381
