n, each, mean, variance, stdDev, median,median1e6
11,2.4200936E-05,2.4200935E-02,3.902798E-07,6.247238E-04,2.4121E-02,24.121
111,7.343278E-05,7.343277E-02,3.075974E-06,1.7538455E-03,7.349E-02,73.490
211,1.1554476E-04,0.11554476,1.1852786E-05,3.4427876E-03,0.114753,114.753
311,1.640985E-04,0.1640985,2.870898E-05,5.358076E-03,0.163229,163.229
411,2.2115608E-04,0.22115608,3.9621384E-05,6.294552E-03,0.21929,219.290
511,2.5501315E-04,0.25501314,5.0467243E-05,7.10403E-03,0.252152,252.152
611,2.9263494E-04,0.29263493,4.5948855E-05,6.7785583E-03,0.291435,291.435
711,3.4919314E-04,0.34919316,8.249022E-05,9.082413E-03,0.347569,347.569
811,3.9968212E-04,0.3996821,9.116459E-05,9.548015E-03,0.397937,397.937
911,4.7400245E-04,0.47400245,4.8544715E-04,2.2032864E-02,0.4684,468.400
1011,5.156572E-04,0.5156572,7.262542E-05,8.522055E-03,0.514453,514.453
1111,6.100232E-04,0.6100232,5.264738E-04,2.2945017E-02,0.61691,616.910
1211,6.258404E-04,0.62584037,6.118928E-04,2.4736466E-02,0.616299,616.299
1311,6.80338E-04,0.680338,1.12396076E-04,1.0601701E-02,0.67893,678.930
1411,7.061733E-04,0.7061733,7.6080716E-05,8.722426E-03,0.707088,707.088
1511,7.477333E-04,0.7477333,8.573562E-05,9.259353E-03,0.746322,746.322
1611,8.3134783E-04,0.8313478,3.8998868E-04,1.974813E-02,0.826761,826.761
1711,8.762928E-04,0.8762928,6.9287955E-05,8.323939E-03,0.875342,875.342
1811,9.350884E-04,0.9350884,1.1811661E-04,1.0868146E-02,0.934558,934.558
1911,9.93884E-04,0.993884,1.993743E-04,1.4119997E-02,0.991629,991.629
2011,1.1152634E-03,1.1152635,1.8363068E-03,4.285215E-02,1.102187,1102.187
2111,1.122536E-03,1.1225361,5.0580257E-04,2.2490054E-02,1.117362,1117.362
2211,1.2250833E-03,1.2250832,1.0139889E-03,3.1843193E-02,1.217382,1217.382
2311,1.2934238E-03,1.2934238,1.3240325E-03,3.6387257E-02,1.28787,1287.870
2411,1.3500368E-03,1.3500369,3.0013735E-03,5.4784793E-02,1.333946,1333.946
2511,1.4280715E-03,1.4280715,8.4227056E-04,2.9021898E-02,1.421125,1421.125
2611,1.4955212E-03,1.4955212,1.0579069E-03,3.252548E-02,1.485376,1485.376
2711,1.6045793E-03,1.6045793,1.0801692E-03,3.2865927E-02,1.597083,1597.083
2811,1.6532319E-03,1.6532319,6.0764415E-04,2.465044E-02,1.647768,1647.768
2911,1.6578785E-03,1.6578785,6.3897215E-04,2.5277898E-02,1.653793,1653.793
3011,1.7679182E-03,1.7679182,3.9898185E-04,1.997453E-02,1.764763,1764.763
