n,each1e6,each,mean, meanOriginal, variance, stdDev
11,24.201,2.4200935E-05,2.4200935E+01,2.4200935E-02,3.902798E-07,6.247238E-04
21,31.928,3.1928297E-05,3.1928297E+01,3.1928297E-02,1.9729523E-06,1.4046183E-03
31,38.046,3.8045533E-05,3.8045533E+01,3.8045533E-02,1.1030368E-06,1.0502556E-03
41,42.781,4.27812E-05,4.27812E+01,4.27812E-02,1.8272543E-06,1.3517598E-03
51,46.087,4.608697E-05,4.608697E+01,4.608697E-02,4.995093E-06,2.2349705E-03
61,48.105,4.8105102E-05,4.8105102E+01,4.8105102E-02,1.6315455E-06,1.2773196E-03
71,50.958,5.095813E-05,5.095813E+01,5.095813E-02,1.0603603E-06,1.029738E-03
81,55.610,5.5610307E-05,5.5610307E+01,5.5610307E-02,2.4508327E-06,1.5655136E-03
91,61.318,6.1317865E-05,6.1317865E+01,6.1317865E-02,2.4076553E-06,1.5516621E-03
101,66.287,6.62871E-05,6.62871E+01,6.62871E-02,2.5669403E-06,1.6021674E-03
111,73.433,7.343277E-05,7.343277E+01,7.343277E-02,3.075974E-06,1.7538455E-03
121,79.523,7.952308E-05,7.952308E+01,7.952308E-02,7.0701176E-06,2.6589693E-03
131,84.309,8.43086E-05,8.43086E+01,8.43086E-02,1.1431129E-05,3.3809952E-03
141,89.018,8.901847E-05,8.901847E+01,8.901847E-02,5.9320905E-06,2.4355883E-03
151,95.046,9.504637E-05,9.504637E+01,9.504637E-02,8.348448E-06,2.8893682E-03
161,98.178,9.817824E-05,9.817824E+01,9.817824E-02,6.2287854E-06,2.4957536E-03
171,101.597,0.00010160,101.59674000,0.10159674,1.1958246E-05,3.4580699E-03
181,107.095,0.00010710,107.09513000,0.10709513,7.48881E-06,2.736569E-03
191,107.938,0.000107938,107.938096000,0.107938096,7.463878E-06,2.7320099E-03
201,112.119,0.00011212,112.11889000,0.11211889,1.5163022E-05,3.8939726E-03
211,115.545,0.00011554,115.54476000,0.11554476,1.1852786E-05,3.4427876E-03
221,121.638,0.00012164,121.63755000,0.12163755,1.1834591E-05,3.440144E-03
231,123.727,0.000123727,123.727135000,0.123727135,1.4111226E-05,3.7564912E-03
241,131.198,0.00013120,131.19847000,0.13119847,9.815456E-06,3.1329629E-03
251,138.200,0.00013820,138.20036000,0.13820036,2.4351635E-05,4.9347375E-03
261,139.663,0.00013966,139.66264000,0.13966264,3.191408E-05,5.649255E-03
271,141.788,0.00014179,141.78842000,0.14178842,3.4007946E-05,5.831633E-03
281,149.246,0.00014925,149.24577000,0.14924577,2.640618E-05,5.1386943E-03
291,154.049,0.00015405,154.04879000,0.15404879,3.7837617E-05,6.151229E-03
301,159.947,0.00015995,159.94681000,0.15994681,3.168592E-05,5.6290245E-03
311,164.099,0.0001641,164.0985000,0.1640985,2.870898E-05,5.358076E-03
321,173.245,0.00017324,173.24498000,0.17324498,2.545707E-05,5.0455E-03
