n, each, mean, variance, stdDev, median,median1e6
11,2.4421866E-05,1.22109335E-02,2.0742094E-07,4.554349E-04,1.2107E-02,24.213999
111,7.682047E-05,3.8410235E-02,3.5744847E-06,1.8906308E-03,3.8542E-02,77.084000
211,1.2158313E-04,6.0791563E-02,1.17397285E-05,3.4263288E-03,6.016E-02,120.320000
311,1.6887745E-04,8.443873E-02,1.5558277E-05,3.944398E-03,8.353E-02,167.060000
411,2.2409238E-04,0.11204619,2.0601747E-05,4.5389147E-03,0.111296,222.592010
511,2.5881844E-04,0.12940922,1.271739E-05,3.566145E-03,0.128345,256.690000
611,2.9921863E-04,0.14960931,1.4240869E-05,3.7737077E-03,0.149908,299.816000
711,3.6165796E-04,0.18082899,6.772589E-05,8.229574E-03,0.178021,356.042000
811,4.04904E-04,0.202452,1.1469494E-05,3.3866642E-03,0.202527,405.054020
911,4.6494725E-04,0.23247363,9.141049E-06,3.0234167E-03,0.232655,465.310000
1011,5.364525E-04,0.26822627,1.0487933E-04,1.02410605E-02,0.267482,534.964050
1111,5.86296E-04,0.293148,2.1846163E-04,1.4780448E-02,0.288873,577.746000
1211,6.0422963E-04,0.3021148,1.5289785E-05,3.9102156E-03,0.302302,604.604000
1311,6.7068223E-04,0.33534113,2.3344524E-05,4.831617E-03,0.33612,672.240050
1411,7.063516E-04,0.3531758,1.9312254E-05,4.394571E-03,0.353587,707.174000
1511,7.362352E-04,0.3681176,5.4846045E-05,7.4058115E-03,0.367269,734.538000
1611,8.3353964E-04,0.41676983,2.7900242E-05,5.2820677E-03,0.415674,831.348000
1711,8.805149E-04,0.44025746,2.41454E-05,4.9137967E-03,0.439888,879.776000
1811,9.293468E-04,0.4646734,9.6300806E-05,9.813298E-03,0.464977,929.954000
1911,1.0106942E-03,0.5053471,2.898903E-04,1.7026166E-02,0.498969,997.938000
2011,1.1041942E-03,0.5520971,1.6670676E-04,1.2911497E-02,0.549318,1098.636100
2111,1.1342276E-03,0.5671138,7.979528E-04,2.8248059E-02,0.55895,1117.900000
2211,1.2397508E-03,0.6198754,6.2861864E-04,2.507227E-02,0.612563,1225.126000
2311,1.2574559E-03,0.628728,6.297989E-04,2.5095794E-02,0.623912,1247.824000
2411,1.3339195E-03,0.66695976,8.336026E-04,2.8872177E-02,0.658764,1317.528000
2511,1.4173049E-03,0.70865244,5.861742E-04,2.4211034E-02,0.704463,1408.926000
2611,1.4409868E-03,0.7204934,6.6437357E-04,2.5775446E-02,0.716744,1433.488000
2711,1.5399297E-03,0.7699648,3.334586E-04,1.8260848E-02,0.7642,1528.400000
2811,1.6199406E-03,0.8099703,4.889381E-04,2.2111945E-02,0.805836,1611.672000
2911,1.6556511E-03,0.82782555,5.430531E-04,2.33035E-02,0.821945,1643.890000
3011,1.7237884E-03,0.86189425,2.8052405E-04,1.6748853E-02,0.860101,1720.201900
