n,each1e6,each,mean, meanOriginal, variance, stdDev
11,24.422,2.4421867E-05,1.22109335E+01,1.22109335E-02,2.0742094E-07,4.554349E-04
21,32.122,3.212214E-05,1.606107E+01,1.606107E-02,4.1944156E-07,6.4764306E-04
31,38.218,3.8217928E-05,1.9108964E+01,1.9108964E-02,1.7142447E-07,4.1403438E-04
41,45.446,4.5446132E-05,2.2723066E+01,2.2723066E-02,3.5234511E-06,1.8770858E-03
51,45.342,4.5341798E-05,2.2670899E+01,2.2670899E-02,9.4409825E-07,9.7164715E-04
61,48.254,4.8254006E-05,2.4127003E+01,2.4127003E-02,4.2435755E-07,6.514273E-04
71,52.927,5.2926536E-05,2.6463268E+01,2.6463268E-02,2.2678012E-06,1.5059221E-03
81,56.814,5.68144E-05,2.84072E+01,2.84072E-02,2.0907598E-06,1.445946E-03
91,63.134,6.31342E-05,3.15671E+01,3.15671E-02,1.147197E-06,1.0710729E-03
101,69.599,6.959906E-05,3.479953E+01,3.479953E-02,4.6136934E-06,2.147951E-03
111,76.820,7.682047E-05,3.8410235E+01,3.8410235E-02,3.5744847E-06,1.8906308E-03
121,82.155,8.2155392E-05,4.1077696E+01,4.1077696E-02,2.8680704E-06,1.6935378E-03
131,87.941,8.7941476E-05,4.3970738E+01,4.3970738E-02,4.9154764E-06,2.2170874E-03
141,94.103,9.410326E-05,4.705163E+01,4.705163E-02,1.9289584E-05,4.391991E-03
151,105.619,1.0561933E-04,5.2809667E+01,5.2809667E-02,1.3503631E-05,3.6747286E-03
161,104.099,1.040986E-04,5.204929E+01,5.204929E-02,1.8638599E-05,4.3172445E-03
171,103.968,1.0396761E-04,5.1983807E+01,5.1983807E-02,7.3515275E-06,2.7113701E-03
181,113.640,1.1364014E-04,5.6820072E+01,5.6820072E-02,9.170327E-06,3.0282547E-03
191,114.169,1.1416921E-04,5.7084605E+01,5.7084605E-02,5.862063E-06,2.4211698E-03
201,118.200,1.1819987E-04,5.9099935E+01,5.9099935E-02,6.056666E-06,2.4610294E-03
211,121.583,1.2158313E-04,6.0791563E+01,6.0791563E-02,1.17397285E-05,3.4263288E-03
221,127.702,1.27702E-04,6.385098E+01,6.385098E-02,1.0455977E-05,3.2335704E-03
231,130.996,1.309963E-04,6.549813E+01,6.549813E-02,1.309781E-05,3.6190897E-03
241,136.400,1.3640027E-04,6.8200134E+01,6.8200134E-02,1.0637557E-05,3.2615268E-03
251,148.313,1.48313E-04,7.415651E+01,7.415651E-02,1.7017164E-05,4.1251867E-03
261,145.758,1.4575793E-04,7.2878964E+01,7.2878964E-02,6.993866E-06,2.6445917E-03
271,151.275,1.512747E-04,7.563733E+01,7.563733E-02,6.523141E-05,8.076597E-03
281,169.538,1.6953841E-04,8.4769204E+01,8.4769204E-02,8.504882E-05,9.222192E-03
291,160.139,1.601389E-04,8.006947E+01,8.006947E-02,3.102637E-05,5.5701323E-03
301,166.420,1.664203E-04,8.321016E+01,8.321016E-02,1.2791589E-05,3.5765332E-03
311,168.877,1.688775E-04,8.443873E+01,8.443873E-02,1.5558277E-05,3.944398E-03
321,182.334,1.823337E-04,9.116687E+01,9.116687E-02,1.8136263E-05,4.258669E-03
331,183.717,1.8371679E-04,9.1858394E+01,9.1858394E-02,1.8172423E-05,4.2629126E-03
341,182.947,1.8294707E-04,9.1473535E+01,9.1473535E-02,1.4831295E-05,3.851142E-03
351,185.660,1.8565993E-04,9.2829965E+01,9.2829965E-02,1.02161075E-05,3.1962646E-03
361,197.447,1.9744675E-04,9.8723374E+01,9.8723374E-02,1.0984992E-05,3.3143614E-03
371,200.153,0.00020015,100.07627000,0.10007627,1.3046152E-05,3.6119458E-03
381,207.776,0.00020778,103.88794000,0.10388794,1.3472939E-05,3.6705502E-03
391,209.564,0.000209564,104.781955000,0.104781955,1.1314953E-05,3.3637707E-03
401,208.884,0.000208884,104.442164000,0.104442164,1.7803297E-05,4.219395E-03
411,224.092,0.00022409,112.04619000,0.11204619,2.0601747E-05,4.5389147E-03
421,228.108,0.000228108,114.054106000,0.114054106,1.1069843E-05,3.3271373E-03
431,230.588,0.00023059,115.29377000,0.11529377,8.953107E-06,2.9921744E-03
441,239.014,0.00023901,119.50723000,0.11950723,1.585773E-05,3.9821765E-03
451,240.026,0.000240026,120.012805000,0.120012805,1.4723314E-05,3.837097E-03
461,240.628,0.000240628,120.314166000,0.120314166,1.28933625E-05,3.5907328E-03
471,241.990,0.00024199,120.99506000,0.12099506,1.3050146E-05,3.6124985E-03
481,248.641,0.000248641,124.320336000,0.124320336,1.3955812E-05,3.735748E-03
491,247.338,0.00024734,123.66896000,0.12366896,1.4853001E-05,3.853959E-03
501,254.657,0.0002547,127.3287000,0.1273287,1.8226248E-05,4.269221E-03
511,258.818,0.00025882,129.40922000,0.12940922,1.271739E-05,3.566145E-03
521,263.209,0.00026321,131.60452000,0.13160452,2.0240246E-05,4.498916E-03
531,261.900,0.00026190,130.94981000,0.13094981,1.105946E-05,3.3255767E-03
541,266.342,0.0002663,133.1708000,0.1331708,1.9110455E-05,4.371551E-03
551,263.065,0.00026307,131.53252000,0.13153252,9.782655E-06,3.1277237E-03
561,281.617,0.00028162,140.80857000,0.14080857,1.4416922E-05,3.796962E-03
571,283.402,0.00028340,141.70079000,0.14170079,2.8706902E-05,5.357882E-03
581,287.001,0.00028700,143.50039000,0.14350039,1.9818059E-05,4.451748E-03
591,302.192,0.00030219,151.09585000,0.15109585,1.967773E-05,4.435959E-03
601,294.377,0.00029438,147.18837000,0.14718837,2.0799862E-05,4.5606866E-03
611,299.219,0.00029922,149.60931000,0.14960931,1.4240869E-05,3.7737077E-03
621,304.987,0.00030499,152.49361000,0.15249361,9.286724E-06,3.0474127E-03
631,303.798,0.00030380,151.89886000,0.15189886,1.5446281E-05,3.9301757E-03
641,312.126,0.0003121,156.0629000,0.1560629,3.4284323E-05,5.855282E-03
651,325.078,0.000325,162.539000,0.162539,2.42066E-05,4.9200202E-03
661,318.720,0.00031872,159.36008000,0.15936008,3.2673583E-05,5.7160812E-03
671,332.287,0.00033229,166.14358000,0.16614358,7.32821E-05,8.560496E-03
681,334.547,0.00033455,167.27367000,0.16727367,2.4261339E-05,4.92558E-03
691,357.701,0.0003577,178.8506000,0.1788506,1.500736E-04,1.2250453E-02
701,355.919,0.00035592,177.95964000,0.17795964,2.0585829E-04,1.4347763E-02
711,361.658,0.00036166,180.82899000,0.18082899,6.772589E-05,8.229574E-03
721,359.419,0.00035942,179.70963000,0.17970963,1.2531795E-05,3.5400274E-03
731,353.864,0.00035386,176.93199000,0.17693199,2.3238355E-05,4.820618E-03
741,365.916,0.00036592,182.95819000,0.18295819,2.3155504E-05,4.8120166E-03
751,367.878,0.00036788,183.93885000,0.18393885,3.7853188E-05,6.1524943E-03
761,375.877,0.00037588,187.93832000,0.18793832,8.062412E-06,2.8394386E-03
