n, each, mean, variance, stdDev, median,median1e6
301,6.214259E-05,6.2142596E-02,5.553495E-06,2.3565856E-03,6.1561E-02,6.1561E+01
401,8.897447E-05,8.897447E-02,6.158582E-06,2.481649E-03,8.8527E-02,8.8527E+01
501,1.0683369E-04,0.1068337,9.024048E-06,3.0040054E-03,0.107004,107.004000
601,1.43587E-04,0.14358701,1.4177435E-05,3.7652936E-03,0.143241,143.241000
701,1.6523476E-04,0.16523476,9.102533E-06,3.0170404E-03,0.164631,164.631000
801,1.8950985E-04,0.18950985,1.1604031E-05,3.406469E-03,0.1895,189.5000
901,2.2195485E-04,0.22195485,1.3941016E-05,3.733767E-03,0.221878,221.878000
1001,2.5050537E-04,0.25050536,1.8958428E-05,4.3541277E-03,0.250418,250.418000
1101,2.842044E-04,0.2842044,1.9767314E-05,4.446045E-03,0.282862,282.862000
1201,3.018513E-04,0.3018513,2.2025653E-05,4.6931496E-03,0.300829,300.829000
1301,3.5404446E-04,0.35404447,3.2003507E-05,5.6571644E-03,0.35332,353.32000
1401,3.6343114E-04,0.36343116,2.657277E-05,5.1548784E-03,0.362537,362.537000
1501,4.0022633E-04,0.40022632,8.965826E-05,9.468804E-03,0.39785,397.85000
1601,4.2361533E-04,0.42361534,7.817018E-05,8.841391E-03,0.422233,422.233000
1701,4.659016E-04,0.46590158,4.860886E-04,2.2047417E-02,0.460398,460.398000
1801,4.8727574E-04,0.48727575,2.8073892E-04,1.6755266E-02,0.482901,482.901000
1901,5.507217E-04,0.5507217,7.430241E-05,8.619884E-03,0.54833,548.33000
2001,5.454063E-04,0.5454063,1.05881896E-04,1.0289893E-02,0.543331,543.331000
2101,5.8417686E-04,0.58417684,1.2141607E-04,1.10188965E-02,0.580237,580.237000
2201,6.229604E-04,0.6229604,1.6865913E-04,1.2986883E-02,0.621146,621.146000
2301,6.531842E-04,0.6531842,1.4934558E-04,1.2220703E-02,0.650677,650.677000
2401,6.903143E-04,0.6903143,1.4556455E-04,1.2065014E-02,0.689644,689.644000
2501,7.339213E-04,0.7339213,1.3654918E-04,1.1685425E-02,0.732586,732.586000
2601,7.734384E-04,0.77343845,1.1166163E-04,1.0567007E-02,0.772008,772.008000
2701,7.710586E-04,0.7710586,1.5028309E-04,1.2259E-02,0.768657,768.657000
2801,8.471817E-04,0.84718174,1.2844388E-04,1.1333308E-02,0.846458,846.458000
2901,8.5913646E-04,0.85913646,2.2481654E-04,1.4993884E-02,0.857553,857.553000
3001,9.60532E-04,0.960532,1.3507998E-03,3.675323E-02,0.951697,951.697000
