n,m,each1e6,meanX1000, each, mean, variance, stdDev
301,2.064538E-01,6.214259E+01,6.2142596E+01,6.214259E-05,6.2142596E-02,5.553495E-06,2.3565856E-03
311,64.2071278737541,6.6769935E+01,6.6769935E+01,6.6769935E-05,6.6769935E-02,4.112306E-06,2.0278823E-03
321,66.2716657475082,6.861087E+01,6.861087E+01,6.861087E-05,6.861087E-02,4.5357947E-06,2.1297405E-03
331,68.3362036212624,7.199557E+01,7.199557E+01,7.199557E-05,7.199557E-02,4.4712274E-06,2.1145276E-03
341,70.4007414950165,6.8275665E+01,6.827567E+01,6.8275665E-05,6.827567E-02,8.881131E-06,2.9801226E-03
351,72.4652793687707,7.747364E+01,7.747364E+01,7.747364E-05,7.747364E-02,4.8018783E-06,2.191319E-03
361,74.5298172425248,7.7865094E+01,7.7865094E+01,7.7865094E-05,7.7865094E-02,6.473291E-06,2.5442662E-03
371,76.594355116279,8.116539E+01,8.116539E+01,8.116539E-05,8.116539E-02,3.5385674E-06,1.881108E-03
381,78.6588929900331,7.863036E+01,7.863036E+01,7.863036E-05,7.863036E-02,4.0218547E-06,2.0054562E-03
391,80.7234308637873,8.7469954E+01,8.746996E+01,8.7469954E-05,8.746996E-02,7.876778E-06,2.80656E-03
401,82.7879687375414,8.897447E+01,8.897447E+01,8.897447E-05,8.897447E-02,6.158582E-06,2.481649E-03
411,84.8525066112956,8.7401204E+01,8.7401204E+01,8.7401204E-05,8.7401204E-02,3.8653875E-06,1.966059E-03
421,86.9170444850497,9.289011E+01,9.289011E+01,9.289011E-05,9.289011E-02,5.564536E-06,2.358927E-03
431,88.9815823588039,8.906011E+01,8.9060105E+01,8.906011E-05,8.9060105E-02,7.975906E-06,2.8241647E-03
441,91.046120232558,9.772469E+01,9.772469E+01,9.772469E-05,9.772469E-02,7.7444965E-06,2.7828936E-03
451,93.1106581063122,1.03063096E+02,103.0631000,1.03063096E-04,0.1030631,5.7564475E-06,2.3992597E-03
461,95.1751959800663,1.04828556E+02,104.82856000,1.04828556E-04,0.10482856,5.227849E-06,2.286449E-03
471,97.2397338538205,1.10635025E+02,110.63503000,1.10635025E-04,0.11063503,4.383493E-06,2.0936793E-03
481,99.3042717275746,1.1896191E+02,118.96191000,1.1896191E-04,0.11896191,9.353426E-05,9.671311E-03
491,101.368809601329,1.1685403E+02,116.854034000,1.1685403E-04,0.116854034,6.9179073E-06,2.6301914E-03
501,103.433347475083,1.0683369E+02,106.8337000,1.0683369E-04,0.1068337,9.024048E-06,3.0040054E-03
511,105.497885348837,1.1993169E+02,119.93169000,1.1993169E-04,0.11993169,7.3195156E-06,2.7054604E-03
521,107.562423222591,1.211445E+02,121.144496000,1.211445E-04,0.121144496,4.7992276E-06,2.190714E-03
531,109.626961096345,1.2057541E+02,120.575406000,1.2057541E-04,0.120575406,7.4943396E-06,2.7375792E-03
541,111.6914989701,1.2797752E+02,127.97752000,1.2797752E-04,0.12797752,1.7185632E-05,4.1455557E-03
551,113.756036843854,1.2155764E+02,121.55764000,1.2155764E-04,0.12155764,8.34338E-06,2.888491E-03
561,115.820574717608,1.3392238E+02,133.92238000,1.3392238E-04,0.13392238,1.057807E-05,3.2523945E-03
571,117.885112591362,1.2952706E+02,129.52706000,1.2952706E-04,0.12952706,1.0857735E-05,3.2951077E-03
581,119.949650465116,1.3929988E+02,139.29988000,1.3929988E-04,0.13929988,1.48483405E-05,3.8533544E-03
591,122.01418833887,1.3614373E+02,136.14373000,1.3614373E-04,0.13614373,1.46403E-05,3.8262645E-03
601,124.078726212624,1.43587E+02,143.58701000,1.43587E-04,0.14358701,1.4177435E-05,3.7652936E-03
611,126.143264086379,1.3671776E+02,136.71777000,1.3671776E-04,0.13671777,8.498693E-06,2.9152518E-03
621,128.207801960133,1.4702229E+02,147.02229000,1.4702229E-04,0.14702229,7.774E-06,2.7881893E-03
631,130.272339833887,1.4319067E+02,143.19067000,1.4319067E-04,0.14319067,6.833251E-06,2.6140488E-03
641,132.336877707641,1.5193303E+02,151.93303000,1.5193303E-04,0.15193303,2.8056197E-04,1.6749984E-02
651,134.401415581395,1.4960159E+02,149.6016000,1.4960159E-04,0.1496016,7.2398548E-06,2.6906978E-03
661,136.465953455149,1.5761379E+02,157.61378000,1.5761379E-04,0.15761378,5.3198387E-06,2.3064776E-03
671,138.530491328903,1.6348172E+02,163.48171000,1.6348172E-04,0.16348171,8.78649E-06,2.9642014E-03
681,140.595029202658,1.5796206E+02,157.96205000,1.5796206E-04,0.15796205,5.161668E-06,2.2719305E-03
691,142.659567076412,1.5271774E+02,152.71774000,1.5271774E-04,0.15271774,7.5665175E-06,2.7507304E-03
701,144.724104950166,1.6523476E+02,165.23476000,1.6523476E-04,0.16523476,9.102533E-06,3.0170404E-03
711,146.78864282392,1.6283638E+02,162.83639000,1.6283638E-04,0.16283639,6.3999437E-06,2.529811E-03
721,148.853180697674,1.6512813E+02,165.12814000,1.6512813E-04,0.16512814,1.1499475E-05,3.3910875E-03
731,150.917718571428,1.7216607E+02,172.16606000,1.7216607E-04,0.17216606,1.485121E-05,3.8537267E-03
741,152.982256445183,1.7249637E+02,172.49636000,1.7249637E-04,0.17249636,6.5907075E-06,2.5672372E-03
751,155.046794318937,1.7794663E+02,177.94663000,1.7794663E-04,0.17794663,9.758542E-06,3.1238664E-03
761,157.111332192691,1.8003209E+02,180.03209000,1.8003209E-04,0.18003209,1.6194917E-05,4.024291E-03
771,159.175870066445,1.852582E+02,185.25821000,1.852582E-04,0.18525821,7.4146196E-06,2.72298E-03
781,161.240407940199,1.8608435E+02,186.08434000,1.8608435E-04,0.18608434,1.6013755E-05,4.001719E-03
791,163.304945813953,1.9089246E+02,190.89246000,1.9089246E-04,0.19089246,1.853252E-05,4.3049413E-03
801,165.369483687707,1.8950985E+02,189.50985000,1.8950985E-04,0.18950985,1.1604031E-05,3.406469E-03
811,167.434021561462,1.9164599E+02,191.646000,1.9164599E-04,0.191646,8.291341E-06,2.879469E-03
821,169.498559435216,2.0235132E+02,202.35132000,2.0235132E-04,0.20235132,9.503451E-06,3.082767E-03
831,171.56309730897,1.9788985E+02,197.88985000,1.9788985E-04,0.19788985,3.9257153E-05,6.2655527E-03
841,173.627635182724,2.0782377E+02,207.82377000,2.0782377E-04,0.20782377,1.803399E-05,4.2466447E-03
851,175.692173056478,2.0329848E+02,203.29848000,2.0329848E-04,0.20329848,1.3808495E-05,3.7159785E-03
861,177.756710930232,2.0719861E+02,207.1986000,2.0719861E-04,0.2071986,1.9161764E-05,4.3774154E-03
871,179.821248803986,2.2368033E+02,223.68033000,2.2368033E-04,0.22368033,2.0718468E-05,4.5517543E-03
881,181.885786677741,2.0809381E+02,208.0938000,2.0809381E-04,0.2080938,1.5212165E-05,3.9002774E-03
891,183.950324551495,2.1895838E+02,218.95838000,2.1895838E-04,0.21895838,8.269929E-06,2.8757483E-03
901,186.014862425249,2.2195485E+02,221.95485000,2.2195485E-04,0.22195485,1.3941016E-05,3.733767E-03
911,188.079400299003,2.1985194E+02,219.85194000,2.1985194E-04,0.21985194,9.789787E-06,3.1288636E-03
