n, each, mean, variance, stdDev, median,median1e6
301,7.261667E-05,3.6308333E-02,1.8058075E-06,1.3438034E-03,3.5992E-02,7.1984E+01
401,1.01432066E-04,5.071603E-02,7.9452775E-06,2.818737E-03,4.9719E-02,9.9438E+01
501,1.1711553E-04,5.8557764E-02,2.64892E-06,1.6275502E-03,5.8304E-02,1.1661E+02
601,1.5252907E-04,7.626454E-02,4.593966E-06,2.143354E-03,7.5452E-02,1.5090E+02
701,1.8338079E-04,9.16904E-02,7.62369E-06,2.761103E-03,9.1491E-02,1.8298E+02
801,2.0834825E-04,0.10417413,6.283347E-06,2.5066605E-03,0.104259,208.518000
901,2.3738004E-04,0.11869002,6.0689613E-06,2.463526E-03,0.118135,236.270000
1001,2.5924365E-04,0.12962182,7.687984E-06,2.7727215E-03,0.129578,259.156000
1101,2.908674E-04,0.14543371,1.956271E-05,4.4229752E-03,0.144701,289.402000
1201,3.2178927E-04,0.16089463,7.404055E-06,2.7210393E-03,0.159821,319.642000
1301,3.5236438E-04,0.1761822,1.4851388E-05,3.85375E-03,0.174988,349.976000
1401,3.791464E-04,0.1895732,1.2277755E-05,3.5039627E-03,0.189077,378.154000
1501,4.376269E-04,0.21881345,2.60369E-04,1.6135953E-02,0.213263,426.526000
1601,4.3490602E-04,0.217453,4.0302642E-05,6.348436E-03,0.217084,434.168000
1701,4.8333564E-04,0.24166782,7.424542E-05,8.616578E-03,0.242198,484.396000
1801,4.916676E-04,0.24583378,3.402439E-05,5.833043E-03,0.245278,490.556000
1901,5.8540783E-04,0.29270393,8.007645E-05,8.948544E-03,0.290875,581.750000
2001,5.8037124E-04,0.29018563,4.718311E-05,6.868996E-03,0.289506,579.012000
2101,6.2686705E-04,0.31343353,6.8832655E-05,8.296545E-03,0.31152,623.04000
2201,6.516981E-04,0.32584906,3.9133356E-05,6.255666E-03,0.323874,647.748000
2301,6.830263E-04,0.34151313,7.858461E-05,8.864797E-03,0.341459,682.918000
2401,7.3252904E-04,0.36626452,1.2093517E-04,1.0997052E-02,0.363461,726.922000
2501,7.8686624E-04,0.39343312,7.399243E-05,8.601885E-03,0.393239,786.478000
2601,8.3396793E-04,0.41698396,1.1381732E-04,1.066852E-02,0.416307,832.614000
2701,8.4132265E-04,0.42066133,1.1272227E-04,1.0617075E-02,0.419092,838.184000
2801,9.1671356E-04,0.45835677,7.573829E-05,8.7027745E-03,0.457347,914.694000
2901,8.6892163E-04,0.43446082,1.3270146E-04,1.1519612E-02,0.43371,867.42000
3001,1.0584169E-03,0.5292085,8.929727E-05,9.449723E-03,0.526934,1053.868000
