n,each1e6,meanX1000, each, mean, variance, stdDev
301,7.261667E+01,3.6308333E+01,7.261667E-05,3.6308333E-02,1.8058075E-06,1.3438034E-03
311,7.102594E+01,3.551297E+01,7.102594E-05,3.551297E-02,1.0839287E-06,1.041119E-03
321,7.3699004E+01,3.6849502E+01,7.3699004E-05,3.6849502E-02,1.5230247E-06,1.2341088E-03
331,8.07586E+01,4.0379297E+01,8.07586E-05,4.0379297E-02,2.3710056E-06,1.539807E-03
341,7.57914E+01,3.78957E+01,7.57914E-05,3.78957E-02,2.6853654E-06,1.6387084E-03
351,8.6172266E+01,4.3086134E+01,8.6172266E-05,4.3086134E-02,3.9529996E-06,1.9882151E-03
361,9.546626E+01,4.773313E+01,9.546626E-05,4.773313E-02,4.92864E-06,2.2200542E-03
371,9.421859E+01,4.7109295E+01,9.421859E-05,4.7109295E-02,2.0704608E-06,1.4389096E-03
381,8.919479E+01,4.4597395E+01,8.919479E-05,4.4597395E-02,2.37775E-06,1.5419954E-03
391,9.83078E+01,4.9153898E+01,9.83078E-05,4.9153898E-02,2.2883023E-06,1.5127136E-03
401,1.01432066E+02,5.071603E+01,1.01432066E-04,5.071603E-02,7.9452775E-06,2.818737E-03
411,9.839167E+01,4.9195834E+01,9.839167E-05,4.9195834E-02,2.2481724E-06,1.4993907E-03
421,1.00421E+02,5.02105E+01,1.00421E-04,5.02105E-02,3.5707396E-06,1.8896401E-03
431,1.02144804E+02,5.1072404E+01,1.02144804E-04,5.1072404E-02,5.7200205E-06,2.3916564E-03
441,1.05251886E+02,5.2625943E+01,1.05251886E-04,5.2625943E-02,3.5716664E-06,1.8898853E-03
451,1.1565562E+02,5.7827808E+01,1.1565562E-04,5.7827808E-02,5.819498E-06,2.4123634E-03
461,1.1492047E+02,5.7460234E+01,1.1492047E-04,5.7460234E-02,4.005546E-06,2.0013861E-03
471,1.2329141E+02,6.1645705E+01,1.2329141E-04,6.1645705E-02,5.368961E-06,2.317102E-03
481,1.2191601E+02,6.0958005E+01,1.2191601E-04,6.0958005E-02,4.5504426E-06,2.1331767E-03
491,1.2940285E+02,6.470142E+01,1.2940285E-04,6.470142E-02,5.2916644E-06,2.3003619E-03
501,1.1711553E+02,5.8557764E+01,1.1711553E-04,5.8557764E-02,2.64892E-06,1.6275502E-03
511,1.372502E+02,6.86251E+01,1.372502E-04,6.86251E-02,1.03957655E-05,3.2242464E-03
521,1.2981986E+02,6.490993E+01,1.2981986E-04,6.490993E-02,6.7975843E-06,2.6072178E-03
531,1.3499694E+02,6.749847E+01,1.3499694E-04,6.749847E-02,4.952317E-06,2.2253802E-03
541,1.4345987E+02,7.1729936E+01,1.4345987E-04,7.1729936E-02,6.836383E-06,2.6146478E-03
551,1.3747049E+02,6.873524E+01,1.3747049E-04,6.873524E-02,8.154416E-06,2.8555938E-03
561,1.4561102E+02,7.280551E+01,1.4561102E-04,7.280551E-02,5.127302E-06,2.2643546E-03
571,1.417162E+02,7.08581E+01,1.417162E-04,7.08581E-02,1.1737011E-05,3.425932E-03
581,1.5393327E+02,7.6966636E+01,1.5393327E-04,7.6966636E-02,8.286076E-06,2.8785544E-03
591,1.5727401E+02,7.8637004E+01,1.5727401E-04,7.8637004E-02,1.0320779E-05,3.212597E-03
601,1.5252907E+02,7.626454E+01,1.5252907E-04,7.626454E-02,4.593966E-06,2.143354E-03
611,1.5553834E+02,7.776917E+01,1.5553834E-04,7.776917E-02,9.0489775E-06,3.008152E-03
621,1.6357275E+02,8.178638E+01,1.6357275E-04,8.178638E-02,6.117009E-06,2.4732589E-03
631,1.575255E+02,7.876275E+01,1.575255E-04,7.876275E-02,4.1127496E-06,2.0279915E-03
641,1.5876145E+02,7.938073E+01,1.5876145E-04,7.938073E-02,3.7211767E-06,1.9290352E-03
651,1.6340369E+02,8.1701845E+01,1.6340369E-04,8.1701845E-02,3.8911885E-06,1.9726097E-03
661,1.7106064E+02,8.5530326E+01,1.7106064E-04,8.5530326E-02,4.781844E-06,2.1867428E-03
671,1.7393756E+02,8.696878E+01,1.7393756E-04,8.696878E-02,3.3931806E-06,1.8420588E-03
681,1.6935138E+02,8.467569E+01,1.6935138E-04,8.467569E-02,3.8061926E-06,1.9509466E-03
691,1.6831166E+02,8.415583E+01,1.6831166E-04,8.415583E-02,2.4056924E-06,1.5510295E-03
701,1.8338079E+02,9.16904E+01,1.8338079E-04,9.16904E-02,7.62369E-06,2.761103E-03
711,1.7492533E+02,8.746266E+01,1.7492533E-04,8.746266E-02,3.2034347E-06,1.7898142E-03
721,1.8411114E+02,9.205557E+01,1.8411114E-04,9.205557E-02,7.783327E-06,2.7898615E-03
731,1.8501551E+02,9.250776E+01,1.8501551E-04,9.250776E-02,7.05205E-06,2.6555697E-03
741,1.9204614E+02,9.602307E+01,1.9204614E-04,9.602307E-02,6.842101E-06,2.615741E-03
751,1.9605587E+02,9.802794E+01,1.9605587E-04,9.802794E-02,6.6945327E-06,2.5873794E-03
761,1.9030424E+02,9.5152125E+01,1.9030424E-04,9.5152125E-02,6.657472E-06,2.5802078E-03
771,2.0231518E+02,101.15759000,2.0231518E-04,0.10115759,5.704905E-06,2.3884943E-03
781,1.9880438E+02,9.940219E+01,1.9880438E-04,9.940219E-02,8.638185E-06,2.939079E-03
791,1.9989784E+02,9.994892E+01,1.9989784E-04,9.994892E-02,7.796684E-06,2.7922543E-03
801,2.0834825E+02,104.17413000,2.0834825E-04,0.10417413,6.283347E-06,2.5066605E-03
811,2.0050905E+02,100.25453000,2.0050905E-04,0.10025453,1.2427701E-05,3.5252946E-03
821,2.1837854E+02,109.18927000,2.1837854E-04,0.10918927,5.7759985E-06,2.4033308E-03
831,2.1675667E+02,108.378336000,2.1675667E-04,0.108378336,5.961422E-06,2.4416023E-03
841,2.212442E+02,110.6221000,2.212442E-04,0.1106221,1.355182E-05,3.6812797E-03
