n, each, mean, variance, stdDev, median,median1e6
11,1.8499999E-05,1.8499999E-05,2.1405004E-10,1.4630449E-05,1.3E-05,13.0
111,5.605667E-04,5.605667E-04,6.7939774E-09,8.2425584E-05,5.53E-04,553.0
211,1.9237E-03,1.9237E-03,6.986135E-08,2.6431298E-04,1.844E-03,1844.0
311,3.660734E-03,3.660734E-03,1.30358E-07,3.6105124E-04,3.532E-03,3532.0
411,6.9429334E-03,6.9429334E-03,5.1163937E-07,7.1528973E-04,6.89E-03,6890.0
511,9.195567E-03,9.195567E-03,4.5369052E-07,6.7356555E-04,8.958E-03,8958.0
611,1.50697315E-02,1.50697315E-02,1.554743E-06,1.2468933E-03,1.4581E-02,14581.0
711,1.8129298E-02,1.8129298E-02,1.7084083E-06,1.307061E-03,1.8447E-02,18447.0
811,2.07856E-02,2.07856E-02,1.8116698E-06,1.3459829E-03,2.096E-02,20960.0
911,3.0497933E-02,3.0497933E-02,3.5922683E-06,1.895328E-03,3.0682E-02,30682.0
1011,3.8243234E-02,3.8243234E-02,8.656475E-06,2.9421889E-03,3.8164E-02,38164.0
1111,4.4550966E-02,4.4550966E-02,3.519457E-06,1.8760216E-03,4.5009E-02,45009.0
1211,5.4308064E-02,5.4308064E-02,6.6177968E-06,2.5725078E-03,5.474E-02,54740.0
1311,6.632271E-02,6.632271E-02,1.0350097E-05,3.2171567E-03,6.5861E-02,65861.0
1411,6.980033E-02,6.980033E-02,1.0333668E-05,3.2146024E-03,7.0312E-02,70312.0
1511,7.7203356E-02,7.7203356E-02,5.642608E-06,2.3754174E-03,7.7369E-02,77369.0
1611,9.021209E-02,9.021209E-02,6.8688123E-06,2.6208418E-03,9.0345E-02,90345.0
1711,0.10125147,0.10125147,1.9670728E-05,4.4351695E-03,0.102486,102486.0
1811,0.10984996,0.10984996,1.4954605E-05,3.8671184E-03,0.11103,111030.0
1911,0.124084696,0.124084696,2.1403375E-05,4.6263784E-03,0.124937,124937.0
2011,0.14001219,0.14001219,4.683148E-05,6.843353E-03,0.139048,139048.0
2111,0.15856652,0.15856652,5.993135E-05,7.741534E-03,0.160195,160195.0
2211,0.16789326,0.16789326,5.5359396E-05,7.4403896E-03,0.169847,169847.0
2311,0.19888969,0.19888969,5.8391364E-05,7.6414244E-03,0.196844,196844.0
2411,0.19061385,0.19061385,3.170083E-05,5.6303493E-03,0.189757,189757.0
2511,0.20143224,0.20143224,1.0668557E-05,3.2662756E-03,0.201435,201435.0
2611,0.23200244,0.23200244,2.3592425E-05,4.8572035E-03,0.231141,231141.0
2711,0.2382805,0.2382805,2.7980856E-05,5.2896934E-03,0.237774,237774.0
2811,0.2612875,0.2612875,4.434807E-05,6.6594346E-03,0.260189,260189.0
2911,0.29167813,0.29167813,3.727442E-05,6.105278E-03,0.292336,292336.0
3011,0.30824202,0.30824202,2.4508936E-05,4.95065E-03,0.309414,309414.0
