n, mean, variance, stdDev
11,1.8499999E-05,2.1405004E-10,1.4630449E-05
21,4.7733323E-05,6.907291E-10,2.6281725E-05
31,8.4933316E-05,5.1092897E-10,2.2603737E-05
41,1.2123336E-04,9.925123E-10,3.150416E-05
51,1.6743335E-04,1.2967789E-09,3.6010817E-05
61,1.9789998E-04,2.5700233E-09,5.06954E-05
71,2.9860003E-04,8.972907E-09,9.472543E-05
81,3.8196667E-04,9.174633E-09,9.57843E-05
91,5.395666E-04,2.7228047E-08,1.6500923E-04
101,4.2526663E-04,6.4346612E-09,8.021634E-05
111,5.605667E-04,6.7939774E-09,8.2425584E-05
121,6.5583334E-04,2.2651003E-08,1.505025E-04
131,7.114335E-04,1.0599709E-08,1.0295489E-04
141,9.0033334E-04,1.3611958E-08,1.1667029E-04
151,1.1255333E-03,3.037645E-08,1.7428842E-04
161,1.1977333E-03,4.453386E-08,2.1103046E-04
171,1.1325333E-03,1.2136447E-08,1.1016554E-04
181,1.4791E-03,4.324936E-08,2.0796481E-04
191,1.5780333E-03,1.3723636E-07,3.7045425E-04
201,1.8122332E-03,3.9236443E-08,1.980819E-04
211,1.9237E-03,6.986135E-08,2.6431298E-04
221,2.0677997E-03,8.4360885E-08,2.9044945E-04
231,2.1441E-03,1.1926255E-07,3.453441E-04
241,2.2992669E-03,1.7122548E-07,4.13794E-04
251,2.3155997E-03,9.741924E-08,3.1212057E-04
261,2.606533E-03,9.678484E-08,3.1110263E-04
271,2.9548337E-03,1.3122293E-07,3.6224705E-04
281,3.7069328E-03,4.3156146E-07,6.5693335E-04
291,3.5505996E-03,9.437043E-08,3.071977E-04
301,4.068834E-03,5.883586E-07,7.6704536E-04
311,3.660734E-03,1.30358E-07,3.6105124E-04
321,3.8476668E-03,5.717251E-07,7.56125E-04
331,4.405067E-03,2.5641035E-07,5.0636975E-04
341,4.404834E-03,2.3209061E-07,4.8175783E-04
351,4.6630665E-03,3.0507286E-07,5.52334E-04
361,4.8260665E-03,1.8811849E-07,4.337263E-04
371,5.6229667E-03,6.082916E-07,7.799305E-04
381,5.5989996E-03,2.2186583E-07,4.7102637E-04
391,5.9318338E-03,4.0253587E-07,6.3445716E-04
401,5.9516E-03,2.4531877E-07,4.9529667E-04
411,6.9429334E-03,5.1163937E-07,7.1528973E-04
421,6.9609005E-03,2.5221365E-07,5.022088E-04
431,7.133633E-03,4.668066E-07,6.8323244E-04
441,7.5107003E-03,4.009667E-07,6.332193E-04
451,7.651934E-03,5.0657235E-07,7.1173895E-04
461,7.3028672E-03,3.3224487E-07,5.7640683E-04
471,8.144233E-03,2.810759E-07,5.301659E-04
481,7.9847E-03,6.516979E-07,8.072781E-04
491,8.617633E-03,3.583194E-07,5.9859786E-04
501,8.830867E-03,6.5285417E-07,8.079939E-04
511,9.195567E-03,4.5369052E-07,6.7356555E-04
521,1.02076E-02,1.148424E-06,1.0716454E-03
531,1.0768967E-02,7.268967E-07,8.525824E-04
541,1.05095E-02,5.786034E-07,7.6065987E-04
551,1.0799E-02,5.30416E-07,7.2829664E-04
561,1.1947366E-02,6.609153E-07,8.1296696E-04
571,1.1897032E-02,8.4721944E-07,9.2044525E-04
581,1.1273265E-02,1.242471E-06,1.1146618E-03
591,1.2841268E-02,9.368026E-07,9.6788566E-04
601,1.2113702E-02,8.8627297E-07,9.4142073E-04
611,1.50697315E-02,1.554743E-06,1.2468933E-03
621,1.4992268E-02,1.1081601E-06,1.0526918E-03
631,1.4359533E-02,1.4934495E-06,1.2220677E-03
641,1.4393534E-02,1.4729103E-06,1.2136352E-03
651,1.6556868E-02,4.738081E-06,2.1767134E-03
661,1.4632667E-02,1.9364536E-06,1.3915652E-03
671,1.48896E-02,1.2876176E-06,1.1347324E-03
681,1.6677834E-02,1.3088179E-06,1.1440358E-03
691,1.6988566E-02,2.1884075E-06,1.4793267E-03
701,1.6853465E-02,1.1536978E-06,1.0741033E-03
711,1.8129298E-02,1.7084083E-06,1.307061E-03
721,1.7380863E-02,1.2478082E-06,1.1170533E-03
731,1.6314732E-02,4.763186E-06,2.1824725E-03
741,1.9531602E-02,1.7670222E-06,1.3292939E-03
751,1.7936667E-02,1.0125896E-06,1.0062751E-03
761,2.0180734E-02,1.8458328E-06,1.3586143E-03
771,2.08435E-02,1.5538096E-06,1.246519E-03
781,2.3551565E-02,2.623989E-06,1.6198732E-03
791,2.162187E-02,1.2532848E-06,1.119502E-03
801,2.2868367E-02,2.8850557E-06,1.6985452E-03
811,2.07856E-02,1.8116698E-06,1.3459829E-03
821,2.2887703E-02,1.9375366E-06,1.3919543E-03
831,2.5850134E-02,2.2888473E-06,1.5128937E-03
841,2.5774367E-02,2.815578E-06,1.6779684E-03
851,2.5930068E-02,2.1739938E-06,1.474447E-03
861,2.597743E-02,3.2998819E-06,1.8165577E-03
871,2.53411E-02,3.0925767E-06,1.7585723E-03
881,2.7621597E-02,2.296554E-06,1.5154385E-03
891,2.5879163E-02,2.4592223E-06,1.5681908E-03
901,2.7197564E-02,2.2205277E-06,1.4901435E-03
911,3.0497933E-02,3.5922683E-06,1.895328E-03
921,3.1036137E-02,2.2339073E-06,1.4946262E-03
931,2.8961765E-02,2.1320798E-06,1.4601643E-03
941,2.9952671E-02,1.9757908E-05,4.444987E-03
951,3.0412164E-02,2.7528413E-06,1.6591689E-03
961,3.1429168E-02,4.8765446E-06,2.20829E-03
971,3.580566E-02,6.702416E-05,8.186828E-03
981,3.4006964E-02,1.4342364E-05,3.7871313E-03
991,3.2057267E-02,7.758999E-06,2.785498E-03
1001,3.548067E-02,2.984761E-06,1.7276461E-03
1011,3.8243234E-02,8.656475E-06,2.9421889E-03
1021,3.53068E-02,5.5927244E-06,2.3648941E-03
1031,3.67548E-02,5.0908952E-06,2.2563012E-03
1041,4.05006E-02,4.509235E-06,2.123496E-03
1051,3.63913E-02,3.422062E-06,1.8498816E-03
1061,3.9572004E-02,5.6732997E-06,2.381869E-03
1071,3.7248597E-02,4.4859316E-06,2.1180017E-03
1081,4.1993164E-02,3.1506577E-05,5.613072E-03
1091,4.350147E-02,1.1734594E-05,3.4255795E-03
1101,4.4041432E-02,4.558689E-06,2.1351087E-03
1111,4.4550966E-02,3.519457E-06,1.8760216E-03
1121,4.197553E-02,4.2576044E-06,2.0633964E-03
1131,4.7252934E-02,2.6631822E-05,5.1606027E-03
1141,4.609017E-02,5.8560304E-06,2.4199237E-03
1151,5.0207537E-02,6.2458653E-06,2.499173E-03
1161,4.650007E-02,7.821799E-06,2.796748E-03
1171,5.012677E-02,6.0389775E-06,2.4574331E-03
1181,4.8357133E-02,4.3695227E-06,2.0903402E-03
1191,4.706887E-02,8.528281E-06,2.9203221E-03
1201,5.6395736E-02,1.3050432E-05,3.612538E-03
1211,5.4308064E-02,6.6177968E-06,2.5725078E-03
1221,5.55442E-02,6.1436463E-06,2.478638E-03
1231,5.465971E-02,7.3787746E-06,2.71639E-03
1241,5.62582E-02,9.779679E-06,3.1272478E-03
1251,5.5714432E-02,1.2256098E-05,3.500871E-03
1261,5.8612127E-02,1.2342237E-05,3.513152E-03
1271,5.5896465E-02,1.0239235E-05,3.1998805E-03
1281,5.471663E-02,6.909799E-06,2.6286496E-03
1291,6.0213465E-02,9.728144E-06,3.1189972E-03
1301,5.6784596E-02,8.417895E-06,2.9013609E-03
1311,6.632271E-02,1.0350097E-05,3.2171567E-03
1321,5.9192874E-02,8.9995565E-06,2.999926E-03
1331,6.4532764E-02,1.2019988E-05,3.4669854E-03
1341,6.446261E-02,6.4904993E-06,2.547646E-03
1351,6.55852E-02,7.583557E-06,2.7538259E-03
1361,5.9514463E-02,4.0613854E-06,2.015288E-03
1371,7.077E-02,6.3927073E-06,2.5283804E-03
1381,6.4902455E-02,5.9414906E-06,2.4375173E-03
1391,7.012763E-02,7.5668727E-06,2.7507949E-03
1401,6.9584034E-02,8.566075E-06,2.9267857E-03
1411,6.980033E-02,1.0333668E-05,3.2146024E-03
1421,6.52776E-02,5.6497124E-06,2.3769124E-03
1431,7.3787004E-02,1.0051164E-05,3.170357E-03
1441,7.5167164E-02,5.313869E-06,2.305183E-03
1451,7.603793E-02,7.751164E-06,2.7840913E-03
1461,7.82572E-02,5.9569015E-06,2.4406766E-03
1471,7.82051E-02,4.976123E-06,2.2307225E-03
1481,7.902577E-02,5.3916915E-06,2.3220016E-03
1491,8.1828944E-02,9.253657E-06,3.0419824E-03
1501,7.953446E-02,7.498724E-06,2.7383799E-03
1511,7.7203356E-02,5.642608E-06,2.3754174E-03
1521,7.8600965E-02,3.7992725E-06,1.9491722E-03
1531,8.589362E-02,5.961369E-06,2.4415916E-03
1541,8.205346E-02,4.9401515E-06,2.222645E-03
1551,8.388614E-02,7.807386E-06,2.79417E-03
1561,9.29652E-02,5.844651E-06,2.4175711E-03
1571,8.2794234E-02,1.1506648E-05,3.392145E-03
1581,9.5162004E-02,8.283964E-06,2.8781877E-03
1591,9.0702936E-02,8.66672E-06,2.9439293E-03
1601,9.1560714E-02,6.9342354E-06,2.6332936E-03
1611,9.021209E-02,6.8688123E-06,2.6208418E-03
1621,8.9309566E-02,1.3185285E-05,3.6311548E-03
1631,9.158829E-02,5.679526E-06,2.3831755E-03
1641,0.10403693,2.71973E-05,5.2151033E-03
1651,9.834633E-02,9.565357E-06,3.0927912E-03
1661,9.838751E-02,1.4357336E-05,3.7891075E-03
1671,9.431907E-02,9.480469E-06,3.079037E-03
1681,0.104021,9.9775625E-06,3.158728E-03
1691,0.10637271,1.4064277E-05,3.750237E-03
1701,9.808547E-02,1.20744235E-05,3.4748272E-03
1711,0.10125147,1.9670728E-05,4.4351695E-03
1721,9.4956905E-02,7.633599E-06,2.762897E-03
1731,0.11229025,8.5577185E-06,2.9253578E-03
1741,0.11342664,1.3492712E-05,3.6732426E-03
1751,0.10817133,2.186086E-05,4.6755597E-03
1761,0.112213716,1.6247159E-05,4.0307767E-03
1771,9.8620534E-02,2.1262049E-05,4.611079E-03
1781,0.10908641,1.6098284E-05,4.0122666E-03
1791,0.10939626,3.5176112E-05,5.9309453E-03
1801,0.11066734,2.4527813E-05,4.9525565E-03
1811,0.10984996,1.4954605E-05,3.8671184E-03
1821,0.1125592,2.2388851E-05,4.731686E-03
1831,0.12119476,1.6579947E-05,4.071848E-03
1841,0.11210656,1.7937893E-05,4.235315E-03
1851,0.11204673,2.370871E-05,4.869159E-03
1861,0.124043465,2.128435E-05,4.6134964E-03
1871,0.118554346,1.8934885E-05,4.351423E-03
1881,0.12178287,1.655069E-05,4.068254E-03
1891,0.12464504,2.3130639E-05,4.809432E-03
1901,0.12757973,1.7056682E-05,4.1299737E-03
1911,0.124084696,2.1403375E-05,4.6263784E-03
1921,0.1314308,2.2632748E-05,4.757389E-03
1931,0.1274131,1.4713904E-05,3.8358707E-03
1941,0.12059135,2.0486083E-05,4.5261555E-03
1951,0.13167676,2.1009928E-05,4.5836587E-03
1961,0.13063885,1.7206119E-05,4.148026E-03
1971,0.13514413,1.7271934E-05,4.1559516E-03
1981,0.12795533,2.0428086E-05,4.519744E-03
1991,0.13971154,1.9645116E-05,4.432281E-03
2001,0.14172491,2.1602169E-05,4.6478133E-03
2011,0.14001219,4.683148E-05,6.843353E-03
2021,0.1474071,3.9461484E-05,6.281838E-03
2031,0.14596123,4.5096556E-05,6.715397E-03
2041,0.14806786,2.9979663E-05,5.475369E-03
2051,0.1473528,3.965965E-05,6.297591E-03
2061,0.14738823,4.5088946E-05,6.71483E-03
2071,0.14046672,8.688498E-05,9.321212E-03
2081,0.15994276,5.1174942E-05,7.1536666E-03
2091,0.14411648,4.5977056E-05,6.7806384E-03
2101,0.16059236,8.7039305E-05,9.329486E-03
2111,0.15856652,5.993135E-05,7.741534E-03
2121,0.1533286,4.838677E-05,6.95606E-03
2131,0.1630076,9.5089716E-05,9.751395E-03
2141,0.16551201,6.364702E-05,7.9779085E-03
2151,0.15508598,8.721243E-05,9.33876E-03
2161,0.15710317,5.8805148E-05,7.6684514E-03
2171,0.16249457,4.8888156E-05,6.9920067E-03
2181,0.17503276,2.061311E-04,1.4357266E-02
2191,0.16638489,4.1665255E-05,6.4548627E-03
2201,0.17385261,1.12056936E-04,1.0585695E-02
2211,0.16789326,5.5359396E-05,7.4403896E-03
2221,0.17460829,1.4650147E-05,3.8275511E-03
2231,0.17807673,8.797391E-05,9.379441E-03
2241,0.18773344,1.3892079E-04,1.1786466E-02
2251,0.16585301,4.8005444E-05,6.928596E-03
2261,0.17029639,4.1311352E-05,6.427391E-03
2271,0.19253245,8.731927E-05,9.344478E-03
