n, each, mean, variance, stdDev, median,median1e6
301,3.576667E-05,3.576667E-05,1.16178886E-10,1.0778631E-05,3.2E-05,32.0
311,4.0700004E-05,4.0700004E-05,1.3954334E-10,1.1812846E-05,3.8E-05,38.0
321,3.976667E-05,3.976667E-05,1.0989122E-09,3.3149845E-05,3.2E-05,32.0
331,3.9200004E-05,3.9200004E-05,1.4096001E-10,1.1872658E-05,3.5E-05,35.0
341,4.16E-05,4.16E-05,1.6090666E-10,1.2684899E-05,3.9E-05,39.0
351,3.8299993E-05,3.8299993E-05,1.2927667E-10,1.136999E-05,3.6E-05,36.0
361,3.9366663E-05,3.9366663E-05,1.274322E-10,1.1288587E-05,3.7E-05,37.0
371,3.7366673E-05,3.7366673E-05,1.4756553E-10,1.2147655E-05,3.5E-05,35.0
381,4.0166666E-05,4.0166666E-05,1.8120554E-10,1.3461261E-05,3.5E-05,35.0
391,5.2499996E-05,5.2499996E-05,6.0138344E-10,2.452312E-05,4.3E-05,43.0
401,5.306666E-05,5.306666E-05,1.1907956E-09,3.4507906E-05,4.6E-05,46.0
411,4.4266668E-05,4.4266668E-05,1.375289E-10,1.1727272E-05,4.1E-05,41.0
421,4.963333E-05,4.963333E-05,4.146989E-10,2.0364158E-05,4.5E-05,45.0
431,4.4299995E-05,4.4299995E-05,5.0387666E-10,2.2447197E-05,4E-05,40.0
441,4.3999986E-05,4.3999986E-05,1.8980002E-10,1.3776793E-05,4.1E-05,41.0
451,4.4633332E-05,4.4633332E-05,3.293655E-10,1.814843E-05,4E-05,40.0
461,5.986667E-05,5.986667E-05,6.2584893E-10,2.5016972E-05,5.7E-05,57.0
471,4.73E-05,4.73E-05,6.125433E-10,2.4749612E-05,4.3E-05,43.0
481,5.0666666E-05,5.0666666E-05,4.800222E-10,2.1909409E-05,4.3E-05,43.0
491,4.8933332E-05,4.8933332E-05,1.9246224E-10,1.3873076E-05,4.5E-05,45.0
501,5.5266668E-05,5.5266668E-05,1.0451957E-09,3.2329488E-05,4.5E-05,45.0
511,5.549999E-05,5.549999E-05,2.9590501E-09,5.439715E-05,4.2E-05,42.0
