n, each, mean, variance, stdDev, median,median1e6
11,1.6343333E-04,1.6343333E-04,5.1748454E-09,7.1936396E-05,1.3E-04,130.0
111,5.788566E-03,5.788566E-03,6.424299E-08,2.53462E-04,5.755E-03,5755.0
211,1.862427E-02,1.862427E-02,4.2926993E-07,6.5518694E-04,1.8548E-02,18548.0
311,4.0188406E-02,4.0188406E-02,5.0344443E-06,2.2437568E-03,4.0071E-02,40071.0
411,6.6049196E-02,6.6049196E-02,1.4735544E-05,3.8386905E-03,6.5298E-02,65298.0
511,0.100372955,0.100372955,2.2133121E-05,4.7045853E-03,9.9124E-02,99124.0
611,0.13605689,0.13605689,1.7342472E-05,4.1644294E-03,0.136398,136398.0
711,0.17301844,0.17301844,2.3872568E-05,4.885956E-03,0.172463,172463.0
811,0.23339392,0.23339392,3.6850815E-05,6.070487E-03,0.231935,231935.0
911,0.29531887,0.29531887,8.731684E-05,9.344348E-03,0.293611,293611.0
1011,0.3649936,0.3649936,6.44608E-05,8.028748E-03,0.363446,363446.0
1111,0.4440677,0.4440677,7.069684E-05,8.408141E-03,0.443867,443867.0
1211,0.5282823,0.5282823,9.093464E-05,9.5359655E-03,0.5269,526900.0
1311,0.59912735,0.59912735,1.2435317E-04,1.1151375E-02,0.597034,597034.0
1411,0.6984804,0.6984804,2.138017E-04,1.462196E-02,0.695027,695027.0
1511,0.8049802,0.8049802,1.6930763E-04,1.3011827E-02,0.805199,805199.0
1611,0.8908574,0.8908574,2.0595407E-04,1.43511E-02,0.889151,889151.0
1711,0.9792837,0.9792837,1.8642675E-04,1.36538185E-02,0.978937,978937.0
1811,1.1625512,1.1625512,2.3530918E-04,1.5339791E-02,1.160592,1160592.0
1911,1.2189459,1.2189459,7.8786275E-04,2.8068893E-02,1.210516,1210516.0
2011,1.4126934,1.4126934,3.2127874E-03,5.6681454E-02,1.418853,1418853.0
2111,1.5367082,1.5367082,2.5075587E-04,1.5835272E-02,1.534285,1534285.0
2211,1.7192672,1.7192672,2.2030996E-04,1.4842842E-02,1.717904,1717904.0
2311,1.9409152,1.9409152,4.6052793E-03,6.7862205E-02,1.93158,1931580.0
2411,2.0427253,2.0427253,5.713402E-04,2.3902724E-02,2.038532,2038532.0
2511,2.1943638,2.1943638,6.683667E-04,2.5852788E-02,2.188797,2188797.0
2611,2.3908584,2.3908584,9.099104E-04,3.0164722E-02,2.386274,2386274.0
2711,2.5177965,2.5177965,1.2011836E-04,1.09598525E-02,2.519186,2519186.0
2811,2.7827985,2.7827985,2.360433E-04,1.5363701E-02,2.780772,2780772.0
2911,3.0969822,3.0969822,1.0521914E-03,3.24375E-02,3.087983,3087983.0
3011,3.194598,3.194598,1.9576895E-04,1.3991746E-02,3.19197,3191970.0
