c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
1,0.423053,0.291638,0.714691,O,0.193616,0.011429,0.205045,O,0.085475,0.008602,0.094077,O,0.396164,0.115145,0.511309
2,0.843268,0.583960,1.427228,O,0.378487,0.021509,0.399996,O,0.174370,0.017747,0.192117,O,0.776908,0.248131,1.025039
3,1.393918,0.403615,1.797533,O,0.646176,0.040245,0.686421,O,0.301496,0.029680,0.331176,O,0.953520,0.372325,1.325845
4,1.628818,1.196931,2.825749,O,0.748920,0.050077,0.798997,O,0.353140,0.034168,0.387308,O,1.619914,0.509679,2.129593
5,2.528709,0.669761,3.198470,O,1.226701,0.069236,1.295937,O,0.564656,0.047348,0.612004,O,1.782564,0.657558,2.440122
6,2.762222,0.803155,3.565377,O,1.304135,0.084643,1.388778,O,0.606613,0.065511,0.672124,O,1.948543,0.806915,2.755458
7,3.059854,2.304608,5.364462,O,1.411015,0.090985,1.502000,O,0.650141,0.071672,0.721813,O,2.019368,2.031900,4.051268
8,3.299167,2.344263,5.643430,O,1.514385,0.114075,1.628460,O,0.683301,0.082465,0.765766,O,3.281624,1.087241,4.368865
9,4.806321,1.246659,6.052980,O,2.326464,0.118608,2.445072,O,1.053524,0.093344,1.146868,O,3.433867,1.225162,4.659029
10,4.963555,1.393169,6.356724,O,2.439667,0.134162,2.573829,O,1.126410,0.103910,1.230320,O,3.510587,1.361412,4.871999
11,5.237731,1.501057,6.738788,O,2.509188,0.142055,2.651243,O,1.170379,0.109411,1.279790,O,3.729207,1.507948,5.237155
12,5.492419,1.680383,7.172802,O,2.648865,0.165346,2.814211,O,1.209560,0.115786,1.325346,O,3.888464,1.623665,5.512129
13,5.745922,4.432513,10.178435,O,2.713909,0.169137,2.883046,O,1.232594,0.128842,1.361436,O,4.065225,1.781965,5.847190
14,6.027702,4.514024,10.541726,O,2.818508,0.187710,3.006218,O,1.282411,0.137682,1.420093,O,4.186938,4.054205,8.241143
15,6.299407,4.704126,11.003533,O,2.928072,0.191225,3.119297,O,1.335124,0.159299,1.494423,O,4.380376,4.135653,8.516029
16,6.521090,4.762591,11.283681,O,3.060876,0.211720,3.272596,O,1.421142,0.159360,1.580502,O,6.546349,2.206254,8.752603
17,9.260252,2.380128,11.640380,O,4.565233,0.242512,4.807745,O,1.423378,0.178219,1.601597,O,6.649262,2.345545,8.994807
18,9.526837,2.586440,12.113277,O,4.658666,0.235502,4.894168,O,2.099776,0.180902,2.280678,O,6.827392,2.507489,9.334881
