c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
44,565,25,O,47,22532,2,O,60,20525,2,O,43,129,1
54,672,24,O,52,43269,3,O,60,38644,2,O,53,272,1
52,692,24,O,53,70562,3,O,62,65786,2,O,53,180,1
64,800,25,O,46,92736,2,O,64,80562,2,O,43,204,1
54,764,42,O,49,122748,4,O,67,106206,2,O,44,202,1
56,812,24,O,51,144759,3,O,67,127205,2,O,44,222,1
56,1002,34,O,53,176883,3,O,64,148691,2,O,53,197,1
52,811,25,O,44,178097,2,O,57,157993,2,O,34,290,1
53,864,23,O,52,212818,3,O,61,177945,1,O,34,157,1
56,866,25,O,45,247059,3,O,73,195974,2,O,43,280,1
51,906,24,O,50,261162,3,O,65,216055,1,O,43,226,1
53,906,24,O,50,277299,3,O,63,258717,2,O,34,207,1
54,1067,26,O,49,305364,3,O,69,249328,2,O,55,258,1
57,987,26,O,44,347643,3,O,65,288733,2,O,36,218,1
57,984,27,O,52,360275,3,O,71,289787,2,O,45,275,1
42,935,25,O,39,358031,3,O,66,330498,2,O,33,193,1
54,975,25,O,41,407339,3,O,57,338228,2,O,44,236,1
52,1016,36,O,43,437739,2,O,48,370597,3,O,36,259,1
43,989,25,O,46,476139,3,O,61,385878,2,O,44,238,1
51,947,42,O,40,487853,3,O,69,395693,2,O,45,245,1
56,1105,26,O,52,509582,3,O,60,424303,2,O,43,185,1
59,1019,25,O,39,560790,3,O,73,464398,2,O,35,223,1
62,1171,27,O,43,571840,3,O,66,458958,2,O,36,248,1
60,1120,29,O,48,587533,3,O,71,490414,2,O,35,221,1
54,1029,27,O,55,638461,3,O,70,517052,2,O,44,251,1
72,1132,26,O,52,632831,3,O,65,523349,2,O,35,265,1
63,1159,28,O,46,641651,3,O,69,534378,2,O,52,267,1
55,1056,27,O,54,679384,3,O,59,525388,3,O,38,229,1
57,1064,27,O,50,707418,3,O,65,581216,3,O,43,250,1
52,1085,26,O,43,726110,3,O,55,611053,2,O,66,416,1
53,1065,41,O,42,715216,3,O,72,651601,2,O,45,265,1
63,1158,26,O,53,720779,2,O,70,663038,3,O,36,276,1
54,1147,25,O,40,774891,3,O,63,659787,2,O,50,248,1
69,1116,26,O,48,795808,4,O,72,675741,2,O,44,333,1
53,1136,38,O,50,803781,3,O,64,623134,2,O,44,265,1
57,1056,25,O,44,830911,3,O,56,730992,2,O,44,275,1
47,1125,26,O,50,846088,52,O,70,739667,2,O,54,268,1
50,1113,26,O,47,877151,3,O,70,763590,2,O,41,286,1
58,1217,25,O,37,919301,3,O,70,814088,2,O,43,285,1
54,1214,25,O,53,984170,3,O,74,773327,2,O,69,315,1
55,1122,25,O,51,955240,3,O,69,829085,2,O,36,245,1
53,1184,54,O,54,972886,2,O,65,844570,2,O,44,292,1
67,1127,26,O,46,1039959,4,O,63,897196,2,O,65,271,1
56,1206,26,O,50,1054627,3,O,64,879999,2,O,45,284,1
58,1229,26,O,41,1074084,3,O,69,915826,2,O,34,264,1
62,1253,25,O,45,1075324,2,O,64,936676,2,O,43,260,1
54,1229,24,O,103,1072514,2,O,69,954361,2,O,44,249,1
57,1288,27,O,52,1116434,3,O,64,1010691,2,O,35,238,1
54,1252,25,O,46,1174592,3,O,54,1004733,3,O,33,269,1
43,1763,29,O,38,1242682,2,O,74,994642,2,O,43,317,1
